Method,MSE_mean,MSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,Coherence_mean,Coherence_std,Match_mean,Match_std,Runtime_mean,Runtime_std
Degraded input,0.029686001353801554,0.014413665015820983,15.857538236420224,2.3373188837432535,0.5015947867059413,0.14784949765975322,0.5653010061979293,0.1290696089737132,17.50733333333333,12.762468268470586,0.0,0.0
Global HE baseline,0.03547107532386537,0.018615066582673066,14.982377388695504,2.026219950404042,0.5023277532248902,0.13329016000680596,0.5619620577692985,0.12358577254813925,12.280666666666667,9.51872976992549,0.003487377800629474,0.0005010512211466939
M1 CLAHE baseline,0.09660365316115617,0.026162219805883506,10.308893006178758,1.1869234407635267,0.44894742627079387,0.12417570478162206,0.5480416740179062,0.12052275067662015,3.1206666666666667,2.5593588980977016,0.007623109599808231,0.0016235953423954753
M1 Wiener + CLAHE,0.04808039661444596,0.012421439940636202,13.333775312103896,1.1782950039405953,0.56702911031215,0.10253011695334581,0.692864961028099,0.07110636292995559,4.447333333333333,2.500880183510085,0.012094968599965795,0.0024242843451333673
Gabor,0.07797347998104737,0.021712122312817713,11.215144884780393,1.039990196446725,0.40139111022158847,0.09777090631837544,0.5728182656764984,0.1085276208751891,2.2293333333333334,1.8508952981157394,0.9655264261998237,0.10715821471830973
Hybrid,0.04609527680673508,0.011359802372956255,13.49699919236792,1.0892283366567515,0.5568686797825614,0.09588504695518955,0.6891377264261246,0.07063425904020072,4.179333333333333,2.4637328415606943,0.9480938652006443,0.10601702746681066
