Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Left_index_finger.BMP,0.35,Degraded input,0.013743376069934242,18.61906569427805,0.7534941369731343,0.7455171346664429,31.333333333333332,0.0,132,33
100__M_Left_index_finger.BMP,0.35,Global HE baseline,0.010382943297835345,19.836795177000173,0.7833854367270637,0.7462114095687866,33.333333333333336,0.0032834000303409994,132,33
100__M_Left_index_finger.BMP,0.35,M1 CLAHE baseline,0.05471759615885718,12.618729901964782,0.6915808759404435,0.729202151298523,6.333333333333333,0.007007799984421581,132,33
100__M_Left_index_finger.BMP,0.35,M1 Wiener + CLAHE,0.03895833344785425,14.093996295624473,0.7315918631040635,0.7779986262321472,5.0,0.011793699988629669,132,33
100__M_Left_index_finger.BMP,0.35,Gabor,0.0677488487947137,11.690980800306946,0.581677825011682,0.7283830642700195,4.333333333333333,0.9315304000047036,132,33
100__M_Left_index_finger.BMP,0.35,Hybrid,0.03873660632325025,14.118784300713582,0.7036018846744747,0.7725910544395447,4.666666666666667,0.9615263000014238,132,33
100__M_Left_little_finger.BMP,0.55,Degraded input,0.02899053114227728,15.377438277616974,0.4986737671315174,0.6290611624717712,23.333333333333332,0.0,123,58
100__M_Left_little_finger.BMP,0.55,Global HE baseline,0.02839025295049688,15.468307379949039,0.5074110611975067,0.6246761679649353,24.0,0.003676599997561425,123,58
100__M_Left_little_finger.BMP,0.55,M1 CLAHE baseline,0.1061227073724442,9.741916789505966,0.45723265206568925,0.6128778457641602,2.3333333333333335,0.00916369998594746,123,58
100__M_Left_little_finger.BMP,0.55,M1 Wiener + CLAHE,0.05149819314168187,12.882080082862473,0.5728728772175454,0.7301690578460693,3.3333333333333335,0.012443199986591935,123,58
100__M_Left_little_finger.BMP,0.55,Gabor,0.08208319115582402,10.857457677972564,0.3911398219502752,0.6243966817855835,3.0,0.9026054000132717,123,58
100__M_Left_little_finger.BMP,0.55,Hybrid,0.05085376836701805,12.93676859449924,0.5586947617109586,0.7304937243461609,5.0,0.9271043000044301,123,58
100__M_Left_middle_finger.BMP,0.75,Degraded input,0.046722813277117706,13.304710153403427,0.35951745683521324,0.45195692777633667,3.3333333333333335,0.0,124,45
100__M_Left_middle_finger.BMP,0.75,Global HE baseline,0.03301369130884601,14.813059138570207,0.4901502242472323,0.46774888038635254,4.0,0.004410299996379763,124,45
