method,images,PSNR_mean,PSNR_std,MSE_mean,MSE_std,SSIM_mean,SSIM_std,delta_PSNR_mean,delta_MSE_mean,delta_SSIM_mean,coherence_mean,contrast_mean,fragmentation_mean,runtime_seconds_mean
M1 NLM,24,29.376300489748782,0.32214801429123746,0.0011574658518964831,8.516482009485522e-05,0.9372253832246016,0.01696808859437644,2.13061165581061,-0.0007300361231915134,0.07913365009043614,0.7382071788112322,0.191310603171587,3.3959244917522273,0.1018641708336266
M3 TV,24,29.083800147043466,0.5231263440348662,0.0012431211371485027,0.00014084221748136898,0.9413625750069766,0.010530824477158151,1.8381113131052924,-0.000644380837939494,0.08327084187281132,0.6588915611306826,0.19034928207596144,5.2088432882671425,0.007466254159226082
M4 Directional Diffusion,24,27.877522845606126,0.2255898309166344,0.0016323081817430068,8.324485236769555e-05,0.8672758054675821,0.03681134987186915,0.6318340116679532,-0.0002551937933449897,0.009184072333416587,0.6205896486838659,0.19650151891012987,6.170108605238428,0.24727276249662586
M2 Modified Gabor,24,26.11889017807928,0.3240340909914446,0.0024505664942391313,0.0001822398465720408,0.8517870140650351,0.03781970666206003,-1.1267986558588927,0.0005630645191511349,-0.00630471906913041,0.6104176094134649,0.1929398657133182,6.516717200725871,1.611409691662023
