filename,noise_seed,degraded_mse,degraded_psnr,degraded_ssim,enhanced_mse,enhanced_psnr,enhanced_ssim,delta_mse,delta_psnr,delta_ssim,above_28_17
100__M_Left_index_finger.BMP,20260903,0.00194854966754118,27.102885197844788,0.9030805618406534,0.0012402378129979567,29.064950317973143,0.9442284409844875,-0.0007083118545432234,1.9620651201283543,0.04114787914383411,True
100__M_Left_little_finger.BMP,20260904,0.0017606265888876578,27.543327437384054,0.8360315830876828,0.001101119925085298,29.58165378606391,0.9451587182465792,-0.0006595066638023597,2.038326348679856,0.10912713515889638,True
100__M_Left_middle_finger.BMP,20260905,0.002006458207622953,26.975698817251885,0.9180676572268606,0.001347875801952291,28.703501233880505,0.9430396579003334,-0.0006585824056706622,1.72780241662862,0.024972000673472827,True
100__M_Left_ring_finger.BMP,20260906,0.0019426923923962264,27.11595960522663,0.8937056085785031,0.0012983696632889558,28.86601640455487,0.9433936305345297,-0.0006443227291072706,1.750056799328238,0.04968802195602662,True
100__M_Left_thumb_finger.BMP,20260907,0.001983613956844418,27.025428446442916,0.9183081810625792,0.0014395188401700582,28.417826467787087,0.9495651641521454,-0.0005440951166743597,1.392398021344171,0.03125698308956626,True
100__M_Right_index_finger.BMP,20260908,0.0018457277503645538,27.33832358149783,0.8629819838281274,0.0012865452569282743,28.90574931965478,0.936973811965704,-0.0005591824934362795,1.5674257381569525,0.07399182813757654,True
100__M_Right_little_finger.BMP,20260909,0.0017595979140681288,27.545865615333412,0.8104901290780604,0.0010597187237076167,29.748093922371076,0.9518756379239559,-0.0006998791903605121,2.2022283070376645,0.1413855088458955,True
100__M_Right_middle_finger.BMP,20260910,0.0019924821129826903,27.0060556868607,0.903213450398922,0.001389243413741668,28.572216534826083,0.9261454088122845,-0.0006032386992410224,1.5661608479653815,0.022931958413362485,True
100__M_Right_ring_finger.BMP,20260911,0.0020091650786519823,26.969843789300402,0.8954291673393547,0.0013560587099217011,28.677215074873395,0.9289068159766197,-0.0006531063687302812,1.707371285572993,0.03347764863726499,True
100__M_Right_thumb_finger.BMP,20260912,0.001922316166506854,27.161751816638727,0.892115608337462,0.001406075696340351,28.519912983645614,0.9526561815886497,-0.000516240470166503,1.3581611670068874,0.06054057325118778,True
101__M_Left_index_finger.BMP,20260913,0.0017161171127085856,27.65453077986383,0.815602342308253,0.0009497044242005326,30.22411538829462,0.9501352746617794,-0.000766412688508053,2.569584608430791,0.13453293235352637,True
101__M_Left_little_finger.BMP,20260914,0.0017915296607231772,27.467759972205773,0.828155792743802,0.0010403716838728691,29.828114766464005,0.9535602454493046,-0.000751157976850308,2.3603547942582317,0.1254044527055026,True
101__M_Left_middle_finger.BMP,20260915,0.0017759247500348746,27.50575440211125,0.8396039492769242,0.001007583436125518,29.96718980572907,0.9535405513384342,-0.0007683413139093567,2.46143540361782,0.11393660206151002,True
101__M_Left_ring_finger.BMP,20260916,0.0018434429238589794,27.34370304348522,0.8332831610777676,0.00106550507559681,29.724444771572532,0.958264880137682,-0.0007779378482621693,2.3807417280873118,0.1249817190599144,True
101__M_Left_thumb_finger.BMP,20260917,0.001920853083826639,27.16505850819402,0.9009023645392656,0.0012220004388619388,29.129286381235104,0.9541745571519137,-0.0006988526449647002,1.9642278730410858,0.05327219261264804,True
101__M_Right_index_finger.BMP,20260918,0.0018008184736603657,27.44530062783411,0.834343347489655,0.000949043100869227,30.227140636057804,0.934720324562788,-0.0008517753727911387,2.7818400082236927,0.10037697707313298,True
101__M_Right_little_finger.BMP,20260919,0.0017550390843495813,27.55713207444114,0.8194375643723607,0.000955429011919016,30.198015753563716,0.9582037154645919,-0.0007996100724305653,2.6408836791225774,0.13876615109223123,True
101__M_Right_middle_finger.BMP,20260920,0.0017472524015299683,27.57644353932978,0.8142187826405763,0.0009408961330505425,30.26458316352474,0.9568208952958583,-0.0008063562684794258,2.68813962419496,0.142602112655282,True
101__M_Right_ring_finger.BMP,20260921,0.0017119153211632555,27.665177212365858,0.7983425663143694,0.0009222275014930393,30.351619309470344,0.9464225896915197,-0.0007896878196702162,2.686442097104486,0.14808002337715032,True
101__M_Right_thumb_finger.BMP,20260922,0.0018469927225164113,27.335348157547728,0.858121281169951,0.0010377902206276754,29.83890426093826,0.9527476467959881,-0.0008092025018887358,2.503556103390533,0.0946263656260371,True
102__M_Left_index_finger.BMP,20260923,0.0018485978108354758,27.33157565603557,0.8681470317237377,0.0012612912495559264,28.99184617257251,0.9407151022911072,-0.0005873065612795494,1.66027051653694,0.07256807056736947,True
102__M_Left_little_finger.BMP,20260924,0.0018552723180370993,27.31592335353078,0.8486473994605244,0.0012269600073472014,29.111695928324806,0.9481673347270488,-0.0006283123106898979,1.7957725747940252,0.09951993526652447,True
102__M_Left_middle_finger.BMP,20260925,0.0018953804984295324,27.22303592144263,0.8928348465111852,0.0012389747902581626,29.069375302366524,0.9515430217782259,-0.0006564057081713697,1.8463393809238937,0.05870817526704075,True
102__M_Left_ring_finger.BMP,20260926,0.0018239373997427683,27.389900713874408,0.8663996163203717,0.0010702832748405884,29.705012611764268,0.9593402899105549,-0.0007536541249021798,2.31511189788986,0.09294067359018321,True
102__M_Left_thumb_finger.BMP,20260927,0.0018003151130394674,27.44651472742927,0.8509772991045713,0.0012865648762628722,28.90568309187351,0.9182711598286629,-0.0005137502367765952,1.4591683644442384,0.0672938607240916,True
102__M_Right_index_finger.BMP,20260928,0.0016266776109177482,27.886985107834285,0.7498933188058734,0.0010453739014747642,29.80728346582807,0.8696436045011282,-0.000581303709442984,1.9202983579937865,0.11975028569525481,True
102__M_Right_little_finger.BMP,20260929,0.0017674923692393605,27.52642452498187,0.802248267390132,0.0010195792751536373,29.91579000956684,0.9590553830225468,-0.0007479130940857232,2.389365484584971,0.15680711563241478,True
102__M_Right_middle_finger.BMP,20260930,0.001727623345817366,27.625509358521654,0.8108046016703844,0.001032111021495369,29.862735842693866,0.9232744814587831,-0.0006955123243219971,2.2372264841722114,0.11246987978839873,True
102__M_Right_ring_finger.BMP,20260931,0.0016593883430907736,27.800519650757877,0.7923192567611337,0.0009831031047651197,30.07400932338375,0.9217123071718216,-0.0006762852383256539,2.273489672625871,0.12939305041068794,True
102__M_Right_thumb_finger.BMP,20260932,0.0019214462860462555,27.163717517147358,0.9185971154282689,0.0012265508666322276,29.113144363368374,0.9509605321564675,-0.0006948954194140279,1.9494268462210158,0.032363416728198535,True
103__F_Left_index_finger.BMP,20260933,0.0018760420867329592,27.26757422976751,0.8847074074665904,0.0012118739295963897,29.165425571733714,0.9504221453597546,-0.0006641681571365695,1.8978513419662022,0.06571473789316418,True
103__F_Left_little_finger.BMP,20260934,0.0017167338692757334,27.65297024619617,0.7800264205748438,0.001075139256587446,29.68535280445473,0.9031302320783138,-0.0006415946126882874,2.0323825582585613,0.12310381150346994,True
103__F_Left_middle_finger.BMP,20260935,0.001942671373220636,27.116006594453502,0.8782442579433322,0.0012793318644771655,28.930167829521753,0.9464581314110756,-0.0006633395087434705,1.8141612350682514,0.06821387346774344,True
103__F_Left_ring_finger.BMP,20260936,0.00196769455809708,27.060423154718013,0.8824632970753908,0.001311982314734354,28.820720191257912,0.9282279291200638,-0.0006557122433627262,1.7602970365398996,0.04576463204467296,True
103__F_Left_thumb_finger.BMP,20260937,0.0018929159746588432,27.228686636653183,0.8606000508263111,0.0012181512927312446,29.14298769570229,0.9391283156030178,-0.0006747646819275986,1.9143010590491052,0.07852826477670671,True
103__F_Right_index_finger.BMP,20260938,0.0018427054616241309,27.345440769425615,0.8663069324684143,0.0011037164877473141,29.571424697404183,0.946577116314888,-0.0007389889738768167,2.225983927978568,0.08027018384647366,True
103__F_Right_little_finger.BMP,20260939,0.0015182991335278722,28.18642655817279,0.6677007785265445,0.0009401811504036578,30.26788460186417,0.7997481130149364,-0.0005781179831242144,2.0814580436913808,0.1320473344883919,True
103__F_Right_middle_finger.BMP,20260940,0.0019552759917005583,27.08791932276897,0.8843313550983667,0.001243680181359106,29.052912863077847,0.9526699934470654,-0.0007115958103414523,1.9649935403088783,0.06833863834869869,True
103__F_Right_ring_finger.BMP,20260941,0.001934721743265666,27.133814875205246,0.880372744738549,0.00126202457961986,28.989321865425033,0.9449666131696701,-0.000672697163645806,1.8555069902197872,0.06459386843112114,True
103__F_Right_thumb_finger.BMP,20260942,0.0018527363537319342,27.32186376830995,0.8584118941926658,0.001181472504182288,29.275763810319155,0.8865814198435545,-0.0006712638495496462,1.9539000420092059,0.028169525650888705,True
104__M_Left_index_finger.BMP,20260943,0.0018745322165342555,27.271070912025156,0.8862210293882489,0.0013208219696356895,28.791557159322725,0.9445675948016643,-0.0005537102468985661,1.520486247297569,0.05834656541341543,True
104__M_Left_little_finger.BMP,20260944,0.0019200194980609653,27.16694360954113,0.854877375469029,0.0012394256615164546,29.067795163034763,0.9404415710238219,-0.0006805938365445107,1.9008515534936343,0.08556419555479289,True
104__M_Left_middle_finger.BMP,20260945,0.0020319993247562033,26.920764407063782,0.872109222517103,0.0012644685593992092,28.980919647768218,0.9344502209380865,-0.0007675307653569941,2.060155240704436,0.06234099842098351,True
104__M_Left_ring_finger.BMP,20260946,0.0019310740865766895,27.14201063986416,0.8571610224673748,0.0012799026320660333,28.92823067824672,0.9419405587408543,-0.0006511714545106562,1.7862200383825595,0.08477953627347945,True
104__M_Left_thumb_finger.BMP,20260947,0.0019063904571996076,27.197881445998743,0.8948993438842595,0.0014090828419765224,28.510634733522053,0.9401386968823672,-0.0004973076152230852,1.3127532875233108,0.04523935299810766,True
104__M_Right_index_finger.BMP,20260948,0.0017727414811670172,27.513545929318745,0.8536608864407241,0.0010582981468378909,29.753919643560867,0.9268537940859795,-0.0007144433343291264,2.2403737142421214,0.07319290764525532,True
104__M_Right_little_finger.BMP,20260949,0.0018511942151954509,27.325480155188487,0.8675463790373206,0.0012396559188008415,29.06698841694695,0.938005592802763,-0.0006115382963946094,1.7415082617584616,0.0704592137654424,True
104__M_Right_middle_finger.BMP,20260950,0.001934105217901371,27.135199034117605,0.8971516556446553,0.0013774863821110705,28.609126859086643,0.952027088432312,-0.0005566188357903005,1.4739278249690386,0.05487543278765672,True
104__M_Right_ring_finger.BMP,20260951,0.0018494802506543687,27.329503018601432,0.8708009880930483,0.0012383539959810604,29.07155190109725,0.9430050207797289,-0.0006111262546733083,1.7420488824958191,0.07220403268668063,True
104__M_Right_thumb_finger.BMP,20260952,0.0018796589094311374,27.259209524339532,0.9085053022445142,0.0011303302698828586,29.46794641976173,0.9483914110836983,-0.0007493286395482788,2.2087368954221986,0.03988610883918409,True
105__M_Left_index_finger.BMP,20260953,0.0018860881737337407,27.24438008061628,0.8709610558123588,0.0012656723709405181,28.976787002484926,0.9379829879623651,-0.0006204158027932226,1.7324069218686446,0.06702193215000629,True
105__M_Left_little_finger.BMP,20260954,0.001719687744318285,27.645504038079608,0.7962354832362533,0.0010271788768155547,29.883539201326688,0.9568762893593311,-0.0006925088675027303,2.23803516324708,0.16064080612307785,True
105__M_Left_middle_finger.BMP,20260955,0.0019156796122659337,27.176771227417,0.892408282068491,0.0012793142349145261,28.93022767696822,0.9493871353538036,-0.0006363653773514076,1.7534564495512193,0.0569788532853126,True
105__M_Left_ring_finger.BMP,20260956,0.0017599883269132418,27.5449021262561,0.842911131609261,0.0010513006874958394,29.78273051580181,0.9352017925407886,-0.0007086876394174024,2.237828389545708,0.0922906609315276,True
105__M_Left_thumb_finger.BMP,20260957,0.0018790817088992838,27.260543348794904,0.8766202702115774,0.0013483373475760717,28.702014357966803,0.9372556384615898,-0.0005307443613232121,1.4414710091718987,0.06063536825001237,True
105__M_Right_index_finger.BMP,20260958,0.0017985336486025755,27.450814325934708,0.848561615553528,0.0011922853648043393,29.23619786938469,0.9075572551647425,-0.0006062482837982362,1.7853835434499814,0.05899563961121446,True
105__M_Right_little_finger.BMP,20260959,0.0016506971938018953,27.823325870171,0.7826177242683172,0.0009861216888977945,30.060694891603355,0.9228428536889554,-0.0006645755049041009,2.237369021432354,0.14022512942063814,True
105__M_Right_middle_finger.BMP,20260960,0.0018403757446950812,27.35093499170825,0.8401181998926998,0.0011252958360625752,29.487332881485365,0.9358853208143711,-0.000715079908632506,2.1363978897771148,0.09576712092167139,True
105__M_Right_ring_finger.BMP,20260961,0.0017476413675172752,27.575476838801546,0.8085184523175954,0.0011123927559264831,29.537418479914443,0.9050169041725397,-0.000635248611590792,1.9619416411128974,0.09649845185494421,True
