severity,count,mean_coherence_before,mean_contrast_before,mean_fragmentation_before,mean_continuity_before,mean_ridge_coverage_before,mean_coherence_after,mean_contrast_after,mean_fragmentation_after,mean_continuity_after,mean_ridge_coverage_after,mean_delta_coherence,mean_delta_contrast,mean_delta_fragmentation,mean_delta_continuity,mean_delta_ridge_coverage
Easy,500,0.6593229796290397,0.18571438397467135,4.474200766921346,26.026834660882674,0.37469588266595827,0.7137671369314194,0.18054788574576378,3.385060188578265,31.211227742782725,0.3701078169465258,0.05444415730237961,-0.005166498228907585,-1.0891405783430794,5.184393081900052,-0.004588065719432579
Medium,500,0.6557508100271225,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.712820958852768,0.17743497014045714,4.07553431918563,25.538937762757893,0.3647982372296919,0.05707014882564545,-0.00568315027654171,-1.1892416326235038,3.9925703339848977,-0.004900744433986091
Hard,500,0.6512216356396675,0.17909290754795074,5.729496480349586,19.61629385786768,0.36338146648119174,0.7114416652917862,0.17296035085618497,4.384397013820706,23.62712829448949,0.3578524510126974,0.06022002965211868,-0.006132556691765785,-1.3450994665288796,4.010834436621812,-0.005529015468494269
Overall,1500,0.6554318084319433,0.18264180397987365,5.156157733026689,22.396498649174454,0.36925877693694265,0.7126765870253245,0.1769810689141353,3.9483305071948678,26.7924312666767,0.3642528350629717,0.05724477859338124,-0.00566073506573836,-1.207827225831821,4.395932617502254,-0.0050059418739709805
