severity,count,paired_clean_reference_available,mean_coherence_before,mean_contrast_before,mean_fragmentation_before,mean_continuity_before,mean_ridge_coverage_before,mean_coherence_after,mean_contrast_after,mean_fragmentation_after,mean_continuity_after,mean_ridge_coverage_after,mean_delta_coherence,mean_delta_contrast,mean_delta_fragmentation,mean_delta_continuity,mean_delta_ridge_coverage
Easy,500,False,0.6593229817152023,0.18571438412368296,4.474200766921346,26.026834660882674,0.37469588266595827,0.7297699682712555,0.17767087388038635,3.2124687906414406,32.913184409331485,0.36780797795077774,0.07044698655605316,-0.008043510243296623,-1.2617319762799037,6.886349748448817,-0.0068879047151805236
Medium,500,False,0.6557508103251457,0.18311812041699888,5.264775951809135,21.546367428772996,0.36969898166367793,0.7288827799558639,0.17442514957487584,3.860249140380955,26.888116545640692,0.36224261052372764,0.07313196963071823,-0.008692970842123032,-1.4045268114281795,5.341749116867695,-0.007456371139950294
Hard,500,False,0.6512216365933419,0.17909290800988675,5.729496480349586,19.61629385786768,0.36338146648119174,0.7270618901252747,0.1698975108265877,4.148096666590866,24.886288726307345,0.3551089072033921,0.07584025353193283,-0.009195397183299064,-1.5813998137587209,5.269994868439662,-0.008272559277799598
Overall,1500,False,0.6554318095445633,0.18264180418352285,5.156157733026689,22.396498649174454,0.36925877693694265,0.7285715461174647,0.1739978447606166,3.740271532537754,28.22919656042651,0.36171983189263257,0.0731397365729014,-0.00864395942290624,-1.4158862004889348,5.832697911252058,-0.00753894504431014
