,degraded_psnr,enhanced_psnr,delta_psnr,degraded_ssim,enhanced_ssim,delta_ssim,degraded_mse,enhanced_mse,delta_mse
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,27.37203601655765,29.561229567572752,2.1891935510151024,0.8381264172115018,0.9307140259555174,0.09258760874401564,0.0018345094618431414,0.0011148614568626764,-0.0007196480049804649
std,0.2521079487539655,0.5458123190235138,0.4591888131829463,0.04992482021916263,0.034113193500725295,0.04737576747201244,0.00010509595078217521,0.00013570477317145733,0.00011922967024013483
median,27.345782823497125,29.464674039608585,2.1665852811300947,0.8435245497829914,0.9387888070081473,0.08296955539688466,0.0018425603395577524,0.0011311830810034763,-0.0007227316480247721
min,26.791870708145428,28.424849189057642,0.8346581688551424,0.6355032988785505,0.6468666466981172,-0.016395838998019774,0.0015045239639745875,0.0006966107780192363,-0.0010252318096654063
max,28.226008904502926,31.570098103858662,3.9132082013858387,0.9330197847118378,0.9711148458750248,0.2646848664178848,0.0020932106185506147,0.001437192959737983,-0.00028987638367384216
