filename,noise_seed,degraded_mse,degraded_psnr,degraded_ssim,enhanced_mse,enhanced_psnr,enhanced_ssim,delta_mse,delta_psnr,delta_ssim,above_28_17
478__M_Right_middle_finger.BMP,20260903,0.0017419179255867942,27.58972311615659,0.7864439971792698,0.0009272266452823674,30.328140967458936,0.9520046250801086,-0.0008146912803044268,2.7384178513023443,0.1655606279008388,True
150__M_Left_middle_finger.BMP,20260904,0.001895181035621344,27.223492980884842,0.8920450694169998,0.0011550030284967739,29.374168770205703,0.9528557634686231,-0.0007401780071245702,2.150675789320861,0.060810694051623315,True
237__M_Left_ring_finger.BMP,20260905,0.001856454192627572,27.313157623734597,0.858178865328908,0.0012211610830974594,29.132270445841005,0.9361012537401915,-0.0006352931095301127,1.8191128221064083,0.07792238841128352,True
239__M_Left_thumb_finger.BMP,20260906,0.0018500207864551891,27.32823391925596,0.8601043716965318,0.0011268549746972138,29.481319736979366,0.9378414575288295,-0.0007231658117579753,2.1530858177234045,0.07773708583229777,True
511__M_Right_little_finger.BMP,20260907,0.0017047107029743577,27.683493121331303,0.7294044929603338,0.0008263820708332463,30.82819113829498,0.9311855703806877,-0.0008783286321411113,3.1446980169636767,0.2017810774203539,True
328__M_Right_thumb_finger.BMP,20260908,0.0017363780194556383,27.603557204661104,0.831204832269609,0.0012402028180539756,29.06507286161217,0.8951059422159195,-0.0004961752014016627,1.4615156569510646,0.0639011099463106,True
68__M_Left_index_finger.BMP,20260909,0.0018511727825367458,27.325530436996928,0.8727200256654322,0.0014007426678338576,28.536416421622896,0.8962578733990192,-0.0004504301147028882,1.2108859846259676,0.023537847733587025,True
561__M_Right_index_finger.BMP,20260910,0.0018593492095216972,27.306390365188015,0.8683674479937553,0.0012353744348881108,29.082013902914316,0.9231277238548994,-0.0006239747746335865,1.7756235377263003,0.05476027586114407,True
505__M_Right_index_finger.BMP,20260911,0.0018673743008965626,27.28768622318075,0.8637823875809014,0.001184286005197925,29.265434027823346,0.9475005368759633,-0.0006830882956986375,1.977747804642597,0.08371814929506183,True
109__F_Left_ring_finger.BMP,20260912,0.0018224584436884498,27.39342365826206,0.815531946580708,0.0010537693639431605,29.772544317490333,0.942123776986599,-0.0007686890797452893,2.379120659228274,0.12659183040589095,True
217__M_Left_index_finger.BMP,20260913,0.001744515638566621,27.58325133001341,0.8119793121437728,0.0010789526518067765,29.669976132505717,0.9498258946278095,-0.0006655629867598446,2.0867248024923057,0.1378465824840367,True
537__M_Left_little_finger.BMP,20260914,0.0017621918384986837,27.539468145015654,0.7750523284527063,0.0009840974086107513,30.069619118040375,0.9222582979450226,-0.0007780944298879323,2.530150973024721,0.14720596949231624,True
197__M_Right_ring_finger.BMP,20260915,0.0017213730264181509,27.641250066274367,0.8230107141028643,0.0010400317439993403,29.829534048999196,0.9338535993897915,-0.0006813412824188106,2.1882839827248297,0.1108428852869272,True
156__F_Left_ring_finger.BMP,20260916,0.0017505268287957034,27.568312287957536,0.7870354463582336,0.0008882361676238919,30.51471546992466,0.9623219459403753,-0.0008622906611718115,2.946403181967124,0.1752864995821417,True
399__M_Left_little_finger.BMP,20260917,0.001700094247394835,27.695270021576384,0.7677007928235531,0.0008383194086897124,30.765904789811287,0.9590160630081892,-0.0008617748387051225,3.0706347682349033,0.19131527018463612,True
62__M_Left_ring_finger.BMP,20260918,0.0018675368705219231,27.287308152120833,0.8435661595129966,0.0011958766985871478,29.22313596170117,0.9390027045414447,-0.0006716601719347754,1.9358278095803385,0.09543654502844812,True
152__M_Left_little_finger.BMP,20260919,0.001820273490392431,27.398633557264493,0.8177701171936392,0.0011559411163967225,29.370642882989728,0.95339661901021,-0.0006643323739957084,1.9720093257252351,0.13562650181657077,True
273__M_Right_index_finger.BMP,20260920,0.0019471889746884492,27.105918981554666,0.9033796320898533,0.0012746204079554383,28.94619132308781,0.9494820248109103,-0.0006725685667330109,1.8402723415331437,0.046102392721056984,True
367__M_Right_ring_finger.BMP,20260921,0.0018467563740156715,27.335903933520243,0.8262615019884407,0.0012135705377648443,29.159349755976187,0.9374526440420151,-0.0006331858362508271,1.8234458224559447,0.11119114205357439,True
172__M_Left_middle_finger.BMP,20260922,0.0018123248671220948,27.41763950504458,0.8511269705229402,0.0010070351636614408,29.969553644836203,0.9618109932309389,-0.0008052897034606539,2.5519141397916236,0.11068402270799871,True
275__F_Right_middle_finger.BMP,20260923,0.0019168877279407159,27.174033229924127,0.8744430071414113,0.0012460433970370196,29.044668318618392,0.9420849979152679,-0.0006708443309036962,1.8706350886942644,0.06764199077385658,True
464__M_Left_middle_finger.BMP,20260924,0.0018815131734528287,27.25492736611806,0.9018264577862919,0.0010908316234669252,29.62242280248094,0.954837779661417,-0.0007906815499859035,2.36749543636288,0.05301132187512514,True
150__M_Right_middle_finger.BMP,20260925,0.0015045239639745875,28.226008904502926,0.6935206547138691,0.0008723288117164865,30.593197831898333,0.8415718456120491,-0.000632195152258101,2.367188927395407,0.14805119089817997,True
345__M_Right_ring_finger.BMP,20260926,0.0016769666712182954,27.754755686698942,0.8135161426087022,0.001066337440308666,29.721053419566346,0.9250647392342091,-0.0006106292309096294,1.9662977328674032,0.11154859662550687,True
368__M_Left_index_finger.BMP,20260927,0.0017680976489606814,27.52493753331037,0.854940704923749,0.0011510233429333776,29.389158687208948,0.9162640668103695,-0.0006170743060273038,1.8642211538985762,0.061323361886620575,True
136__F_Right_little_finger.BMP,20260928,0.0017850803182381067,27.48342238384922,0.8053367077868581,0.0009605841896157193,30.174645657494786,0.952271227866292,-0.0008244961286223875,2.6912232736455657,0.14693452007943397,True
97__M_Right_middle_finger.BMP,20260929,0.0018242299645185472,27.38920414896767,0.8501607318396568,0.001084324978657376,29.648405376446743,0.935241041822195,-0.0007399049858611711,2.259201227479071,0.08508030998253824,True
315__F_Left_little_finger.BMP,20260930,0.0018426999135935803,27.345453845214074,0.7740824673348069,0.000933537804856384,30.29868090025488,0.9271180421658755,-0.0009091621087371963,2.9532270550408057,0.15303557483106855,True
308__M_Left_index_finger.BMP,20260931,0.0019777806901131764,27.03821867619624,0.7564460653880238,0.0011947407163452894,29.22726335450966,0.850131492030859,-0.000783039973767887,2.1890446783134188,0.09368542664283519,True
465__F_Right_ring_finger.BMP,20260932,0.0019692492503564562,27.05699311183575,0.9051926938322187,0.001282322755111742,28.92002651008803,0.9504521053364277,-0.0006869264952447142,1.863033398252277,0.04525941150420898,True
49__M_Left_little_finger.BMP,20260933,0.0016835071185770235,27.737850428920588,0.8109751615924239,0.0010502040456354348,29.787263130402387,0.9218926984184981,-0.0006333030729415887,2.049412701481799,0.11091753682607419,True
486__M_Right_ring_finger.BMP,20260934,0.0019350039638078632,27.13318141002631,0.8779179030193687,0.0013446115624951862,28.714031585087337,0.9102993519849777,-0.000590392401312677,1.5808501750610269,0.03238144896560902,True
