candidate,images,PSNR_mean,PSNR_std,MSE_mean,SSIM_mean
C0 NLM,12,29.436598143337637,0.6457128748343711,0.0011497726485716249,0.9407858269775708
C1 TV -> NLM,12,28.943611487771225,0.34610189050418194,0.001279157174426658,0.9286094288691382
C3 NLM -> Directional Diffusion,12,28.296773826887687,0.9537024549587079,0.0015124901617653943,0.932010724043404
C4 TV -> NLM -> Directional Diffusion,12,26.60986093161829,0.9702758307664341,0.0022328178168154376,0.9105674522053699
C2 NLM -> Modified Gabor,12,25.227697896859894,0.8094500214178423,0.0030465340823905246,0.9091216544172469
