candidate,images,PSNR_mean,PSNR_std,MSE_mean,MSE_std,SSIM_mean,SSIM_std,coherence_mean,contrast_mean,fragmentation_mean,runtime_seconds_mean
M1 NLM (h=0.07),24,29.376300489748782,0.32214801429123746,0.0011574658518964831,8.516482009485522e-05,0.9372253832246016,0.01696808859437644,0.7382071788112322,0.191310603171587,3.3959244917522273,0.1143919499979044
M1 NLM (h=0.06),24,29.350719134944868,0.6053549924111206,0.0011716580580500456,0.00015352895247961745,0.9424486396805395,0.012549233666717426,0.7161412710944811,0.19480209797620773,3.723664026118115,0.1075788833356152
M1 NLM (h=0.05),24,28.892354512996175,0.6720882688619996,0.001304581865754875,0.00018581617542370044,0.9448209213580937,0.009658536712124178,0.6948315898577372,0.19735647831112146,4.36030542506283,0.09982015416608192
M1 NLM (h=0.08),24,28.7824084805895,0.30369889093149377,0.0013267373285538056,9.39899722696772e-05,0.9293023475469003,0.021635525283479985,0.7590082834164301,0.18728868632266918,3.2063165194304335,0.10841413332673255
M1 NLM (h=0.04),24,28.375353556929486,0.5052430712949062,0.0014628182368055494,0.0001622852762805876,0.943855214347134,0.011024783704316267,0.6741795664032301,0.19897754273066917,5.2520563388086465,0.09743454167134284
M1 NLM (h=0.03),24,27.936162360435148,0.374730883028831,0.0016139931754305427,0.00013522081666110582,0.9372265309215063,0.01926046799375345,0.65533630301555,0.2001762893050909,6.156525801838071,0.10374442500324221
