candidate,images,PSNR_mean,PSNR_std,MSE_mean,MSE_std,SSIM_mean,SSIM_std,coherence_mean,contrast_mean,fragmentation_mean,runtime_seconds_mean
"M4 Directional Diffusion (iterations=2, step=0.12)",24,27.877522845606126,0.2255898309166344,0.0016323081817430068,8.324485236769555e-05,0.8672758054675821,0.03681134987186915,0.6205896486838659,0.19650151891012987,6.170108605238428,0.5055955000013151
"M4 Directional Diffusion (iterations=4, step=0.16)",24,27.667474347586907,0.621007654937272,0.0017276525915661768,0.00024321403294659004,0.8752751596781762,0.03248288290908999,0.6337013940016428,0.18626044628520808,6.088348198330107,0.9175248375007262
"M4 Directional Diffusion (iterations=6, step=0.14)",24,27.19071536158508,0.8713196401085377,0.0019458370460881504,0.00037825162241316633,0.8762916729263092,0.030119776605995355,0.6391757900516192,0.18177571582297483,6.060847896827251,1.323999504170691
"M4 Directional Diffusion (iterations=4, step=0.22)",24,27.055927737831936,0.9382087086267897,0.0020130374344651328,0.0004191458397655019,0.876342349459165,0.029507763835592473,0.6406307568152746,0.1807082494099935,6.054001278638957,0.8473171125054554
