candidate,images,PSNR_mean,PSNR_std,MSE_mean,MSE_std,SSIM_mean,SSIM_std,delta_PSNR_mean,delta_MSE_mean,delta_SSIM_mean,coherence_mean,contrast_mean,fragmentation_mean,runtime_seconds_mean
C0 M1 NLM,24,29.376300489748782,0.32214801429123746,0.0011574658518964831,8.516482009485522e-05,0.9372253832246016,0.01696808859437644,2.13061165581061,-0.0007300361231915134,0.07913365009043614,0.7382071788112322,0.191310603171587,3.3959244917522273,0.36415816250034067
C3 NLM -> Directional Diffusion,24,29.01644702625407,0.37625229353193845,0.0012586592495056569,0.0001081660902608091,0.9342455997471015,0.017502175976122986,1.7707581923158964,-0.0006288427255823397,0.07615386661293606,0.7422425796588262,0.1850063024709622,3.4971836300244448,0.2784267666696299
C1 TV -> NLM,24,28.07555270289215,0.40486432143979706,0.0015641191594726073,0.00014814577924351127,0.9210716257024171,0.025302426217206606,0.8298638689539756,-0.00032338281561538934,0.06297989256825175,0.7731738537549973,0.1803631205111742,3.262640917751732,0.38743607915967004
C4 TV -> NLM -> Directional Diffusion,24,27.234412295413193,0.523727521580175,0.0019037060733310327,0.00023184259145348076,0.914581639247948,0.0256087074489911,-0.011276538524978156,1.620409824303599e-05,0.05648990611378257,0.7755485475063324,0.1745947909851869,3.3598829786191917,0.2833052958303597
C2 NLM -> Modified Gabor,24,26.707931706948386,0.5712088470490103,0.0021513188481991443,0.0002717423844823916,0.9170726666019152,0.019005992516617474,-0.5377571269897858,0.00026381687311114767,0.0589809334677498,0.7381085927287737,0.1804439276456833,3.680919257493169,4.89603232916852
