candidate,images,PSNR_mean,PSNR_std,MSE_mean,MSE_std,SSIM_mean,SSIM_std,coherence_mean,contrast_mean,fragmentation_mean,runtime_seconds_mean
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",24,26.11889017807928,0.3240340909914446,0.0024505664942391313,0.0001822398465720408,0.8517870140650351,0.03781970666206003,0.6104176094134649,0.1929398657133182,6.516717200725871,4.044907387493974
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, blend=0.18)",24,25.019297477385162,0.5467350180846426,0.003171980428001268,0.0003932997295368442,0.8472317013618892,0.037494643916690294,0.609019992252191,0.18798089244713387,6.693680670904487,6.246371708337392
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",24,24.975417788449192,0.5585899869503256,0.0032051956861130454,0.0004047526359476907,0.8470503613230949,0.03754445687913263,0.6090023393432299,0.18792883989711603,6.668144275520958,4.246376349998172
