experiment,result,PSNR_dB,SSIM,MSE,count
Member comparison - best individual,M1 NLM,29.376300489748782,0.9372253832246016,0.0011574658518964831,24
Compatibility - final selected,C0 M1 NLM,29.376300489748782,0.9372253832246016,0.0011574658518964831,24
100-image unseen holdout,100/100 above 28.17,29.505660630159046,0.9311762183829225,0.001127168589036423,100
500-image unseen robustness,500/500 above 28.17,29.561229567572752,0.9307140259555174,0.0011148614568626764,500
Altered structural validation,delta_coh=+0.07314; delta_frag=-1.41589; delta_contrast=-0.00864,,,,1500
