candidate,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,mean_absolute_change,runtime_seconds_total,runtime_seconds_mean
M3 TV (weight=0.02),500,29.28691050012446,0.56044589702264,29.196954007263244,28.285410892012877,31.76330879844596,0.9378851263134386,0.018631066136676467,0.9421116932262779,0.7763579992240668,0.9680368074426651,0.0011879232539246942,0.00014571323371417768,0.001203107957485494,0.000666298936618667,0.00148408546204499,1.9303278794016399,0.09639576996201277,-0.0006539233439910455,0.018068192530423403,136.86582570004248,0.27373165140008493
M3 TV (weight=0.01),500,28.81807685355684,0.42491909204865735,28.748531278489068,27.99442638544589,30.26942505794854,0.9076151545715712,0.025966841675250946,0.9125930149891972,0.7522148447955846,0.9523836019495726,0.0013189105936707766,0.00012454362684021877,0.0013339727636912703,0.0009398477243518413,0.0015869285060434901,1.461494232834018,0.06612579822014522,-0.0005229360042449632,0.01096156383305788,139.52004220004164,0.27904008440008327
M3 TV (weight=0.04),500,28.465575952745755,0.7386537363509866,28.34574889209008,27.169277685718942,32.014471127905615,0.9387715912536201,0.018825303064102548,0.9424874237089753,0.7708854279985428,0.9690112301197052,0.0014434506607794153,0.0002293050590045378,0.001463609244508203,0.0006288584301370847,0.0019189878782935837,1.1089933320229353,0.09728223490219413,-0.0003983959371363245,0.02710521985217929,71.26038450000488,0.14252076900000976
M3 TV (weight=0.06),500,27.046073005303114,0.9050823751678824,26.888009119375475,25.37986066102645,31.547932438515204,0.9247443966674028,0.0225973494455416,0.9293891728661954,0.7464500191259384,0.9606955035076141,0.00201503016503649,0.00038983797331694064,0.0020473829837435236,0.0007001752516393142,0.0028974365475188646,-0.31050961541970623,0.08325504031597697,0.00017318356712075,0.034178369663655755,110.44587329997739,0.22089174659995478
