filename,subject_id,variant,input_mean,input_std,enhanced_mean,enhanced_std,mean_absolute_change,psnr,ssim,mse,pct_pixels_changed_gt_0_05,pct_pixels_changed_gt_0_10
353__M_Right_thumb_finger.BMP,353,degraded_baseline,0.29902172088623047,0.3196995258331299,0.29902172088623047,0.3196995258331299,0.0,27.32793629146971,0.8724088980541229,0.0018501475751853827,0.0,0.0
353__M_Right_thumb_finger.BMP,353,legacy_modified_gabor,0.29902172088623047,0.3196995258331299,0.35487470030784607,0.291778564453125,0.059616345912218094,21.3963908777586,0.7792099595472534,0.007250382391146225,61.40899658203125,13.42926025390625
353__M_Right_thumb_finger.BMP,353,corrected_modified_gabor,0.29902172088623047,0.3196995258331299,0.29903915524482727,0.31977134943008423,0.0002939396072179079,27.334339448156847,0.8726066186200381,0.0018474217621108555,0.0,0.0
572__F_Left_middle_finger.BMP,572,degraded_baseline,0.5974118113517761,0.35429465770721436,0.5974118113517761,0.35429465770721436,0.0,27.320467020532956,0.8414032366846502,0.0018533323137710088,0.0,0.0
572__F_Left_middle_finger.BMP,572,legacy_modified_gabor,0.5974118113517761,0.35429465770721436,0.631081759929657,0.31509295105934143,0.04235304892063141,22.568645199397142,0.8188225270067323,0.005535227561264825,36.08245849609375,12.25738525390625
572__F_Left_middle_finger.BMP,572,corrected_modified_gabor,0.5974118113517761,0.35429465770721436,0.5973951816558838,0.3544546961784363,0.000342955143423751,27.336967314538157,0.8419952883214653,0.0018463042464034426,0.0,0.0
249__M_Left_little_finger.BMP,249,degraded_baseline,0.7350960969924927,0.3342856466770172,0.7350960969924927,0.3342856466770172,0.0,27.850348680485556,0.7587672882475555,0.0016404580610319855,0.0,0.0
249__M_Left_little_finger.BMP,249,legacy_modified_gabor,0.7350960969924927,0.3342856466770172,0.7565279006958008,0.2950723171234131,0.030981149524450302,23.4075128523085,0.7470156006881976,0.004562981571255929,23.6541748046875,10.82916259765625
249__M_Left_little_finger.BMP,249,corrected_modified_gabor,0.7350960969924927,0.3342856466770172,0.7350844144821167,0.3344210982322693,0.0002519925474189222,27.864495783732444,0.7592799250923395,0.0016351229780287406,0.0,0.0
218__M_Right_ring_finger.BMP,218,degraded_baseline,0.5060737133026123,0.3329492211341858,0.5060737133026123,0.3329492211341858,0.0,26.95709928583952,0.8327536396930217,0.002015069693990176,0.0,0.0
218__M_Right_ring_finger.BMP,218,legacy_modified_gabor,0.5060737133026123,0.3329492211341858,0.5451043248176575,0.30199378728866577,0.045158933848142624,22.83313715561225,0.8104987702211784,0.005208183585213515,44.2169189453125,6.64825439453125
218__M_Right_ring_finger.BMP,218,corrected_modified_gabor,0.5060737133026123,0.3329492211341858,0.5060709118843079,0.3330245316028595,0.0002110570203512907,26.96233868970152,0.8330110176489949,0.0020126401448243027,0.0,0.0
382__M_Right_middle_finger.BMP,382,degraded_baseline,0.5216307044029236,0.373311311006546,0.5216307044029236,0.373311311006546,0.0,27.363344701743767,0.8778663659537435,0.0018351244851289054,0.0,0.0
382__M_Right_middle_finger.BMP,382,legacy_modified_gabor,0.5216307044029236,0.373311311006546,0.575524091720581,0.32070961594581604,0.062047868967056274,20.574958169499844,0.834280332686889,0.008760001550758383,51.202392578125,29.0557861328125
382__M_Right_middle_finger.BMP,382,corrected_modified_gabor,0.5216307044029236,0.373311311006546,0.5216365456581116,0.373464971780777,0.0003690755693241954,27.37700961534435,0.8783321117222905,0.0018293594090597024,0.0,0.0
249__M_Right_little_finger.BMP,249,degraded_baseline,0.5808081030845642,0.39223018288612366,0.5808081030845642,0.39223018288612366,0.0,27.657119233589647,0.6353878059021234,0.001715094588497569,0.0,0.0
249__M_Right_little_finger.BMP,249,legacy_modified_gabor,0.5808081030845642,0.39223018288612366,0.6059952974319458,0.36263307929039,0.031446587294340134,23.819833390086483,0.624246039523432,0.004149699619670253,22.95684814453125,5.04913330078125
249__M_Right_little_finger.BMP,249,corrected_modified_gabor,0.5808081030845642,0.39223018288612366,0.5808098912239075,0.39236417412757874,0.0003009370411746204,27.67531574434827,0.6361982426955104,0.0017079235446827257,0.0,0.0
62__M_Right_middle_finger.BMP,62,degraded_baseline,0.5000931620597839,0.3494499623775482,0.5000931620597839,0.3494499623775482,0.0,27.108900613178943,0.8883837219081521,0.001945852598577628,0.0,0.0
62__M_Right_middle_finger.BMP,62,legacy_modified_gabor,0.5000931620597839,0.3494499623775482,0.5447531938552856,0.31154292821884155,0.05172925814986229,22.006349477702894,0.8524628033217965,0.006300355454307645,48.27117919921875,14.83001708984375
62__M_Right_middle_finger.BMP,62,corrected_modified_gabor,0.5000931620597839,0.3494499623775482,0.5000857710838318,0.34953510761260986,0.0002388416905887425,27.115036242641093,0.888657874884367,0.001943105476202586,0.0,0.0
388__F_Left_index_finger.BMP,388,degraded_baseline,0.6553637981414795,0.32964178919792175,0.6553637981414795,0.32964178919792175,0.0,27.434830134381247,0.7567465921532214,0.001805165341190282,0.0,0.0
388__F_Left_index_finger.BMP,388,legacy_modified_gabor,0.6553637981414795,0.32964178919792175,0.6768296360969543,0.2996126115322113,0.02840142510831356,23.885067908022176,0.7448819899638863,0.004087833601610318,17.31719970703125,5.80902099609375
388__F_Left_index_finger.BMP,388,corrected_modified_gabor,0.6553637981414795,0.32964178919792175,0.6553674936294556,0.32977810502052307,0.00025820243172347546,27.44991190968125,0.7573333252317608,0.0017989074029788564,0.0,0.0
