method,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,mean_absolute_change,runtime_seconds_total,runtime_seconds_mean
Degraded Baseline,500,27.356582620722826,0.2837859177202316,27.31771171947073,26.72595253228611,28.377701313850427,0.8414893563514259,0.050209350918148786,0.8487238802601993,0.6353878059021234,0.9380784341383577,0.00184184659791574,0.00011782937978301161,0.0018545085048318735,0.0014528804121575277,0.0021252241715175577,,,,0.0,0.0,0.0
M1 NLM,500,29.567541818568113,0.5566863052923838,29.504783151261435,28.386879728637684,31.56443580266505,0.9336020326251202,0.029910751362972745,0.9404759240171909,0.702582804509759,0.9641078342930078,0.001113537456915351,0.00013727087695326534,0.0011207834523583378,0.0006975196066311297,0.0014498131252726405,2.210959197845289,0.09211267627369428,-0.0007283091410003889,0.024554777689278127,129.4941298999911,0.2589882597999822
M3 TV,500,29.28691050012446,0.56044589702264,29.196954007263244,28.285410892012877,31.76330879844596,0.9378851263134386,0.018631066136676467,0.9421116932262779,0.7763579992240668,0.9680368074426651,0.0011879232539246942,0.00014571323371417768,0.001203107957485494,0.000666298936618667,0.00148408546204499,1.9303278794016399,0.09639576996201277,-0.0006539233439910455,0.018068192530423403,119.73107269983302,0.23946214539966604
M4 Directional Diffusion,500,27.98617931392083,0.258979995656532,27.955005632120436,27.343674576158342,28.9058091675987,0.8511204676696094,0.04824641293691659,0.8585468575349152,0.6530209121163487,0.9428466134756207,0.0015927362964380165,9.344308272787253e-05,0.001601398593820258,0.0012865275278156404,0.0018434550073798317,0.6295966931980076,0.009631111318183538,-0.0002491103014777233,0.006804485658649355,263.97183459989174,0.5279436691997834
M2 Modified Gabor,500,27.366765414296722,0.2860244346710172,27.327983167186968,26.731428319627874,28.402770719902946,0.8418659180114848,0.05014981258994404,0.8490904337832034,0.6361982426955104,0.938321193993926,0.0018375935323305238,0.00011845616517809457,0.0018501276283784695,0.0014445179005287661,0.00212254627834278,0.010182793573902315,0.0003765616600589148,-4.253065585215938e-06,0.00028286559847765603,234.12181959998998,0.46824363919997997
