candidate,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,runtime_seconds_total,runtime_seconds_mean
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",500,24.431191433142523,0.6798503259347772,24.485804876153264,22.598852030965297,26.119310144959634,0.8229565082572979,0.050464908877772725,0.829725882778395,0.5786300885973498,0.91412871053572,0.003649457903661842,0.0005797022731138658,0.0035597501535855128,0.0024438187102311915,0.005496861529981817,-2.9253911875796135,-0.018532848097933083,0.0018076113057458288,346.30276229971787,0.6926055245994357
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, blend=0.18)",500,22.444934800788086,0.9149772827124176,22.467427363192172,20.16116547466902,24.70147687366363,0.8098108818845278,0.05052478893341843,0.8175172668747352,0.5402950446087131,0.9003767952189288,0.005822547470898598,0.001233251666868188,0.005665748987283992,0.003387289474612264,0.00963570404727007,-4.911647819934051,-0.03167847447070321,0.003980700872982584,763.5544068995514,1.5271088137991027
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",500,22.419629282337976,0.9176120917827936,22.439843396810666,20.077991823473113,24.66156584993433,0.809727975550063,0.05048328126112964,0.8174253233431368,0.540447261458816,0.9002190958855786,0.005857342129076139,0.0012446874030681454,0.005701849969241688,0.0034185616395820033,0.009822020079788591,-4.93695333838416,-0.031761380805168,0.004015495531160126,499.105497999175,0.99821099599835
