method,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,mean_absolute_change
Degraded Baseline,500,27.35658262072214,0.283785917719631,27.31771171947073,26.72595253228611,28.377701313850427,0.841489356355231,0.05020935091944976,0.8487238802601993,0.6353878059021234,0.9380784341383577,0.0018418465979160134,0.00011782937978276482,0.0018545085048318735,0.0014528804121575277,0.0021252241715175577,,,,0.0
M1 NLM,500,29.567541818642823,0.5566863052120403,29.504783151261435,28.386879728637684,31.56443580266505,0.933602032624299,0.029910751362169287,0.9404759240171909,0.702582804509759,0.9641078342930078,0.0011135374568935444,0.00013727087692873746,0.0011207834523583378,0.0006975196066311297,0.0014498131252726405,2.210959197920684,0.09211267626906801,-0.0007283091410224691,0.024554777652025222
M3 TV,500,29.286910500163902,0.5604458970079359,29.196954007263244,28.285410892012877,31.76330879844596,0.9378851263312762,0.018631066165601784,0.9421116932262779,0.7763579992240668,0.9680368163614274,0.0011879232539134654,0.00014571323371043401,0.001203107957485494,0.000666298936618667,0.00148408546204499,1.9303278794417664,0.09639576997604513,-0.0006539233440025482,0.018068192468956114
M4 Directional Diffusion,500,27.986179313879145,0.2589799957554582,27.955005632120436,27.343674576158342,28.9058091675987,0.8511204678023304,0.0482464129770161,0.8585468575349152,0.6530209121163487,0.9428466134756207,0.001592736296455593,9.344308277280233e-05,0.001601398593820258,0.0012865275278156404,0.0018434550073798317,0.6295966931570058,0.009631111447099326,-0.0002491103014604206,0.006804485689383
M2 Modified Gabor,500,27.366765414444206,0.2860244346372873,27.327983166508776,26.731428319110133,28.40277071908407,0.8418659179281884,0.050149812721511075,0.8490904343244433,0.6361982426283359,0.9383211941824555,0.0018375935322672609,0.00011845616516263653,0.001850127628667379,0.0014445179008011338,0.0021225462785958186,0.010182793722069207,0.00037656157295733373,-4.253065648752515e-06,0.00028286560010747054
