filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,runtime_seconds
600__M_Left_middle_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.44947810926937,0.8171206154738665,0.0017990870980429466,24.287901880077378,0.801234106230896,0.003725716558632344,-3.1615762291919935,-0.015886509242970526,0.0019266294605893974,1.2856415000278503
600__M_Left_ring_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.310341456038962,0.8390093911606371,0.001857658394379474,24.709086622095136,0.8194986163735799,0.003381359431247374,-2.601254833943827,-0.019510774787057206,0.0015237010368679001,1.2895077000139281
600__M_Left_thumb_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.207857503343792,0.875479294952333,0.0019020163666061496,24.41755361988404,0.8625709387984722,0.003616135021065907,-2.790303883459753,-0.012908356153860767,0.0017141186544597576,1.3035196000128053
600__M_Right_index_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.305187216878938,0.8529470467790365,0.0018598643859407287,24.39674650275745,0.8363171818891316,0.003633501549423529,-2.9084407141214896,-0.01662986488990492,0.0017736371634828004,1.3074956000200473
600__M_Right_little_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.918805267842984,0.7369490548488498,0.001614802723510412,26.119310144959634,0.731110763543984,0.0024438187102311915,-1.79949512288335,-0.005838291304865795,0.0008290159867207795,1.118293099978473
600__M_Right_middle_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.34016167642271,0.8407204843213558,0.001844946735382432,24.564973283269435,0.8247174608226232,0.0034954465990493884,-2.7751883931532753,-0.016003023498732616,0.0016504998636669565,1.1206267999950796
600__M_Right_ring_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.513543547532386,0.804082875896126,0.0017727424533858249,24.933254584561265,0.7908021049149669,0.0032112531371248343,-2.580288962971121,-0.013280770981159096,0.0014385106837390095,1.0488056999747641
600__M_Right_thumb_finger.BMP,600,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.40887796153935,0.8515884021518827,0.0018159847780061798,25.425064339167953,0.8409110347015001,0.002867434895248368,-1.9838136223713967,-0.010677367450382613,0.0010514501172421882,1.2319183999788947
501__M_Left_index_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.43685245746518,0.8191895882745981,0.0018043249488174829,25.09850040166223,0.8113015663922392,0.003091362681180812,-2.3383520558029502,-0.007888021882358931,0.0012870377323633293,1.2653625999810174
501__M_Left_little_finger.BMP,501,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.58424679240497,0.7924946965949238,0.0017441158175301977,25.370492630749744,0.7852039654060415,0.0029036932628232056,-2.213754161655224,-0.007290731188882238,0.001159577445293008,1.1125237999949604
