candidate,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,runtime_seconds_total,runtime_seconds_mean
"M4 Directional Diffusion (iterations=2, step=0.12)",500,27.986179313879145,0.2589799957554582,27.955005632120436,27.343674576158342,28.9058091675987,0.8511204678023304,0.0482464129770161,0.8585468575349152,0.6530209121163487,0.9428466134756207,0.001592736296455593,9.344308277280233e-05,0.001601398593820258,0.0012865275278156404,0.0018434550073798317,0.6295966931570058,0.009631111447099326,-0.0002491103014604206,419.2323852991685,0.838464770598337
"M4 Directional Diffusion (iterations=4, step=0.16)",500,27.865794625564085,0.5685714774883759,27.8918253325972,24.70075853271784,29.435899718611562,0.8603339886178383,0.04449400305146651,0.8669728104080707,0.6781919005369544,0.9430775469008684,0.0016489807574095793,0.00022510127207153895,0.0016248658777525634,0.0011387018550046792,0.003387849792569407,0.5092120048419496,0.018844632262607214,-0.00019286584050643433,808.6583826999995,1.617316765399999
"M4 Directional Diffusion (iterations=6, step=0.14)",500,27.441023452607237,0.7972085222231602,27.445288451100744,23.446659503125986,29.584044207038126,0.8621078332599392,0.042503953285450057,0.8678403287701308,0.688788077649951,0.9401883404162824,0.001833831952135186,0.0003528393456760374,0.0018008235237680806,0.0011005140191799336,0.004522036356509973,0.08444083188510156,0.020618476904708142,-8.014645780827518e-06,1230.6504678000347,2.4613009356000695
"M4 Directional Diffusion (iterations=4, step=0.22)",500,27.320559243550075,0.8569243423591182,27.32514977816867,23.1091797310987,29.61744198852063,0.8623823118718162,0.04201359887392853,0.8677626814057827,0.6912946812453866,0.9393923089642227,0.001890430545945676,0.0003912823673420519,0.0018513351476468001,0.0010920833884359453,0.004887446617334508,-0.03602337717206079,0.020892955516585227,4.8583948029662496e-05,734.079242099775,1.46815848419955
