split,filename,subject_id,noise_seed,psnr,ssim,mse
development,380__M_Left_index_finger.BMP,380,20260903,27.39224514157606,0.8241426620333194,0.001822953059489075
development,380__M_Left_little_finger.BMP,380,20260904,27.71736251270148,0.7666588592921495,0.0016914678547986946
development,380__M_Left_middle_finger.BMP,380,20260905,27.121060618568507,0.8799680408276915,0.0019404119392070196
development,380__M_Left_ring_finger.BMP,380,20260906,27.285753289932494,0.8393499275820852,0.0018682056062418646
development,380__M_Left_thumb_finger.BMP,380,20260907,26.99028703291933,0.9075991768866778,0.001999729699585501
development,380__M_Right_index_finger.BMP,380,20260908,27.368707254437247,0.8433519870930314,0.0018328599206484284
development,380__M_Right_little_finger.BMP,380,20260909,27.631904571796152,0.757674889871031,0.0017250812023077028
development,380__M_Right_middle_finger.BMP,380,20260910,27.17154990964595,0.8700292221297026,0.0019179841285608963
development,380__M_Right_ring_finger.BMP,380,20260911,27.430048920692375,0.7953303607811034,0.0018071537693830535
development,380__M_Right_thumb_finger.BMP,380,20260912,27.05838210736847,0.8953427772864699,0.001968619529933384
development,600__M_Left_index_finger.BMP,600,20260913,27.35319272178306,0.8397514104789794,0.001839419252730077
development,600__M_Left_little_finger.BMP,600,20260914,27.75017516117653,0.7569456012638808,0.001678736309374416
development,600__M_Left_middle_finger.BMP,600,20260915,27.44947810926937,0.8171206154738665,0.0017990870980429466
development,600__M_Left_ring_finger.BMP,600,20260916,27.310341456038962,0.8390093911606371,0.001857658394379474
development,600__M_Left_thumb_finger.BMP,600,20260917,27.207857503343792,0.875479294952333,0.0019020163666061496
development,600__M_Right_index_finger.BMP,600,20260918,27.305187216878938,0.8529470467790365,0.0018598643859407287
development,600__M_Right_little_finger.BMP,600,20260919,27.918805267842984,0.7369490548488498,0.001614802723510412
development,600__M_Right_middle_finger.BMP,600,20260920,27.34016167642271,0.8407204843213558,0.001844946735382432
development,600__M_Right_ring_finger.BMP,600,20260921,27.513543547532386,0.804082875896126,0.0017727424533858249
development,600__M_Right_thumb_finger.BMP,600,20260922,27.40887796153935,0.8515884021518827,0.0018159847780061798
development,501__M_Left_index_finger.BMP,501,20260923,27.43685245746518,0.8191895882745981,0.0018043249488174829
development,501__M_Left_little_finger.BMP,501,20260924,27.58424679240497,0.7924946965949238,0.0017441158175301977
development,501__M_Left_middle_finger.BMP,501,20260925,27.52430149906059,0.8029155948780179,0.0017683566098870935
development,501__M_Left_ring_finger.BMP,501,20260926,27.358389124902512,0.8241556460552215,0.0018372196742751177
development,501__M_Left_thumb_finger.BMP,501,20260927,27.81660114041582,0.7769351523290873,0.0016532551565629702
development,501__M_Right_index_finger.BMP,501,20260928,27.4909620744602,0.8130318595907092,0.0017819839682411266
development,501__M_Right_little_finger.BMP,501,20260929,27.573768505254993,0.7845928464406728,0.0017483289520418919
development,501__M_Right_middle_finger.BMP,501,20260930,27.491269245747194,0.8174476757915616,0.0017818579351058632
development,501__M_Right_ring_finger.BMP,501,20260931,27.778547761307667,0.7602594677556157,0.0016678048170976419
development,501__M_Right_thumb_finger.BMP,501,20260932,27.340959923282963,0.8611186378437876,0.001844607659556476
development,443__M_Left_index_finger.BMP,443,20260933,27.135094969734823,0.8466296955327391,0.0019341515629242856
development,443__M_Left_little_finger.BMP,443,20260934,27.13340595635713,0.8394890675188899,0.0019349039195231878
development,443__M_Left_middle_finger.BMP,443,20260935,27.14151541310484,0.8253531774876117,0.0019312942998486661
development,443__M_Left_ring_finger.BMP,443,20260936,27.237265248598867,0.8298590763946772,0.0018891805912286746
development,443__M_Left_thumb_finger.BMP,443,20260937,26.800304933742755,0.8761664312357903,0.00208914943902406
development,443__M_Right_index_finger.BMP,443,20260938,27.35710649714296,0.896552869089663,0.0018377623514359127
development,443__M_Right_little_finger.BMP,443,20260939,27.00440155233622,0.8630209608132839,0.0019932411512218785
development,443__M_Right_middle_finger.BMP,443,20260940,27.064112289055643,0.8992271602718234,0.001966023800672798
development,443__M_Right_ring_finger.BMP,443,20260941,26.925258364749403,0.8801929126424491,0.0020298977562655464
development,443__M_Right_thumb_finger.BMP,443,20260942,27.180918571542815,0.9082978897159397,0.001913851085644088
development,572__F_Left_index_finger.BMP,572,20260943,27.6241298412811,0.7974931483537555,0.001728172204909599
development,572__F_Left_little_finger.BMP,572,20260944,27.812594150599153,0.7617954299381375,0.0016547812255908382
development,572__F_Left_middle_finger.BMP,572,20260945,27.320467020532956,0.8414032366846502,0.0018533323137710088
development,572__F_Left_ring_finger.BMP,572,20260946,27.400851017810083,0.8340889724407196,0.0018193443157140715
development,572__F_Left_thumb_finger.BMP,572,20260947,27.305828412733867,0.834587592176944,0.0018595898143411753
development,572__F_Right_index_finger.BMP,572,20260948,27.46236185610437,0.8347724638455808,0.0017937578488015497
development,572__F_Right_little_finger.BMP,572,20260949,27.974544939353972,0.7329479814072252,0.001594209915804351
development,572__F_Right_middle_finger.BMP,572,20260950,27.286906419383943,0.8481148620772362,0.0018677096301195127
development,572__F_Right_ring_finger.BMP,572,20260951,27.675962306992894,0.7896063315761983,0.0017076692938429667
development,572__F_Right_thumb_finger.BMP,572,20260952,27.222879613560988,0.8812139176847636,0.0018954487167133127
development,29__F_Left_index_finger.BMP,29,20260953,27.623691427691885,0.7954367920094132,0.0017283466700372958
development,29__F_Left_little_finger.BMP,29,20260954,27.41274074675311,0.8241425118806959,0.0018143702881231619
development,29__F_Left_middle_finger.BMP,29,20260955,27.14871397879486,0.8713243151237965,0.0019280957712296085
development,29__F_Left_ring_finger.BMP,29,20260956,27.068069623154493,0.8852838855306506,0.0019642331563697636
development,29__F_Left_thumb_finger.BMP,29,20260957,27.00724258759245,0.8884813020378352,0.0019919376539917696
development,29__F_Right_index_finger.BMP,29,20260958,27.13446795737326,0.8550214416386783,0.001934430826082868
development,29__F_Right_little_finger.BMP,29,20260959,27.241294751244425,0.8476442870678902,0.0018874285708654986
development,29__F_Right_middle_finger.BMP,29,20260960,27.250855791884682,0.83831398543185,0.0018832779466694744
development,29__F_Right_ring_finger.BMP,29,20260961,26.977191599302174,0.8919698833798766,0.002005768654746689
development,29__F_Right_thumb_finger.BMP,29,20260962,26.97520674425169,0.9095325257153511,0.0020066855602344016
development,236__M_Left_index_finger.BMP,236,20260963,27.230110186596267,0.8644258776392341,0.0018922956078444896
development,236__M_Left_little_finger.BMP,236,20260964,27.487337971316265,0.8122688657089174,0.001783471619891689
development,236__M_Left_middle_finger.BMP,236,20260965,27.268425888389103,0.8386161139320135,0.0018756742278643796
development,236__M_Left_ring_finger.BMP,236,20260966,27.080380833903757,0.8716979291836321,0.00195867290946392
development,236__M_Left_thumb_finger.BMP,236,20260967,27.252487499118946,0.8528684914248585,0.0018825705047901583
development,236__M_Right_index_finger.BMP,236,20260968,27.53921246464294,0.857044079580307,0.0017622955863351969
development,236__M_Right_little_finger.BMP,236,20260969,27.254971723082324,0.8556590841823817,0.0018814939565873446
development,236__M_Right_middle_finger.BMP,236,20260970,27.369746618381576,0.870484657946229,0.0018324213287117393
development,236__M_Right_ring_finger.BMP,236,20260971,27.35531229242566,0.8474338980606199,0.001838521744710349
development,236__M_Right_thumb_finger.BMP,236,20260972,27.43324241478733,0.8936245013394952,0.0018058254049184786
development,71__M_Left_index_finger.BMP,71,20260973,27.400723074409225,0.852191063885957,0.0018193979144903785
development,71__M_Left_little_finger.BMP,71,20260974,27.71066654139068,0.7914544510637522,0.0016940777788120003
development,71__M_Left_middle_finger.BMP,71,20260975,27.324002819836846,0.8594442137144804,0.0018518240412643122
development,71__M_Left_ring_finger.BMP,71,20260976,27.206743096008278,0.8708310496015549,0.0019025044899998523
development,71__M_Left_thumb_finger.BMP,71,20260977,27.216405175825415,0.8884816764104366,0.0018982765483447198
development,71__M_Right_index_finger.BMP,71,20260978,27.699973363822046,0.8149432333825231,0.0016982540681729117
development,71__M_Right_little_finger.BMP,71,20260979,27.569618878214843,0.8136471458607912,0.0017500002558434424
development,71__M_Right_middle_finger.BMP,71,20260980,27.378813624145167,0.8729499959701598,0.0018285996722272328
development,71__M_Right_ring_finger.BMP,71,20260981,27.672722631596756,0.8099496431675554,0.0017089436269009956
