candidate,images,mean_psnr,std_psnr,median_psnr,min_psnr,max_psnr,mean_ssim,std_ssim,median_ssim,min_ssim,max_ssim,mean_mse,std_mse,median_mse,min_mse,max_mse,mean_delta_psnr,mean_delta_ssim,mean_delta_mse,mean_absolute_change
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.1, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.386107906261984,0.2948088280308448,27.34291540307437,26.800537143283382,28.216036989388527,0.8334042927804255,0.05278784690242704,0.8503373051086665,0.700977593370527,0.9125277598647177,0.0018295549415191749,0.00011972749849944718,0.0018437779930309914,0.0015079824980769958,0.002089037738902895,0.0013267746865045637,3.033593701181836e-05,-5.533124944943597e-07,0.0001771493107662536
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=16, strength=0.08, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.385971803515044,0.29478632155621315,27.342580964456957,26.800685842044953,28.21594998264707,0.8333996188908678,0.05278797417972846,0.8503299115679861,0.7009731417400837,0.9125260291879773,0.001829611584171536,0.000119718465351495,0.0018439200385640972,0.0015080127093652076,0.0020889662132400843,0.0011906719395673093,2.566204745411804e-05,-4.96669842133036e-07,0.00014330133693874814
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, strength=0.08, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.38595431533975,0.29475565258746345,27.34260660148096,26.800451464590513,28.215678690389424,0.8333988869251543,0.052788829510757695,0.850329696588844,0.700966539614737,0.9125241309572756,0.0018296181973316641,0.00011971018720439399,0.0018439091024051273,0.0015081069138665024,0.0020890789523642286,0.001173183764274981,2.493008174060618e-05,-4.900566820050141e-07,0.000147750591422664
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.08, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.385886312319016,0.2947673520864238,27.3425592322424,26.800547359838205,28.215788532812724,0.8333984455050831,0.05278815388894184,0.8503287561887801,0.7009683526657522,0.9125242722413242,0.0018296471109806145,0.00011971437143670935,0.0018439292776392668,0.001508068771078588,0.0020890328245545945,0.0011051807435378436,2.4488661669490598e-05,-4.6114303305463956e-07,0.00014173647592542694
"M2 Modified Gabor (frequencies=0.07/0.085/0.105/0.125/0.15, orientation_bins=12, strength=0.08, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.385820549155692,0.2947667835455618,27.342446017199602,26.800497257706915,28.215668073436046,0.8333976584475822,0.052787837850948094,0.8503285432175101,0.7009685044742227,0.9125233488861323,0.0018296747635727336,0.00011971427911570384,0.0018439773772789593,0.0015081106006553135,0.0020890569246997605,0.0010394175802150585,2.3701604168411273e-05,-4.3349044093532465e-07,0.00013822335356962866
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.01, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.385667695319267,0.2947770613890311,27.34218884918494,26.800791297637492,28.21616286319985,0.8334054812125146,0.05278558972178467,0.8503198283690512,0.7009683481943906,0.9125361368315518,0.0018297392020364363,0.00011971201727511555,0.001844086627037905,0.001507938792075282,0.002088915489479036,0.0008865637437914842,3.152436910091483e-05,-3.690519772327292e-07,2.2876763250678777e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.06, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.38564284680765,0.29472655922342267,27.342181878013648,26.800529065261472,28.21551742195785,0.8333924945153511,0.05278844470820277,0.8503200677721501,0.7009591219749153,0.9125206595722437,0.0018297485197839778,0.00011970217236226425,0.0018440895747844025,0.0015081629160867585,0.0020890416245862315,0.0008617152321751576,1.8537671937344235e-05,-3.597342296914269e-07,0.00010631480006850324
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.04, orientation_offset=0, sigma_scale=0.5, gamma=0.5, detail_clip=0.1)",50,27.38543736508698,0.29471974691225916,27.34199522442635,26.800485293667432,28.215412146231383,0.8333879351682711,0.05278813491385988,0.8503121327576637,0.7009536483327746,0.9125178068528473,0.0018298348344541508,0.00011970174673231663,0.0018441688339127724,0.0015081994753518727,0.002089062679687448,0.0006562335115003748,1.3978324857339963e-05,-2.7341955951846496e-07,7.22142434824491e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=16, strength=0.04, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.385420658887924,0.2946956496042533,27.341963533459957,26.800553324719925,28.215304207950823,0.8333870028021967,0.052788659555641756,0.8503118519717455,0.700952107111007,0.9125178246231973,0.0018298412261267695,0.00011969282580223099,0.0018441822915177507,0.0015082369601664178,0.0020890299553435717,0.0006395273124485357,1.3045958783024502e-05,-2.670278868997485e-07,7.166833442170174e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, strength=0.04, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.3854151117248,0.29467994981797174,27.34197592507295,26.80043639924974,28.215170268107723,0.8333866484040034,0.05278908521942365,0.850311742062807,0.7009488951713443,0.9125168885718286,0.0018298431767261054,0.00011968846983207286,0.001844177002477148,0.0015082834761009668,0.0020890861992306346,0.0006339801493236763,1.2691560589663809e-05,-2.6507728756389704e-07,7.389286103716586e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.04, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.38537754608502,0.2946864854847939,27.341963606847834,26.800482408232916,28.21522315513551,0.8333864200761688,0.0527887463672046,0.8503112546927034,0.700949775167644,0.9125169333368838,0.0018298591553354603,0.00011969092444289216,0.0018441822617814528,0.001508265108806945,0.002089064067652482,0.0005964145095429529,1.2463232755057785e-05,-2.490986782086122e-07,7.088455982739106e-05
"M2 Modified Gabor (frequencies=0.07/0.085/0.105/0.125/0.15, orientation_bins=12, strength=0.04, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.38534357355079,0.29468661174488137,27.34195282910749,26.80045569824118,28.215163476427108,0.8333860163902027,0.052788594532072124,0.850311183212161,0.7009497932133376,0.912516564329952,0.0018298734536431052,0.00011969105721420628,0.0018441868346798932,0.0015082858348202423,0.0020890769158598394,0.0005624419753143429,1.2059546788918408e-05,-2.3480037056398517e-07,6.912808414199389e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.04, orientation_offset=0, sigma_scale=0.65, gamma=0.5, detail_clip=0.1)",50,27.38530379672261,0.294639188770593,27.341927723828086,26.80048465063811,28.214968140189704,0.8333848286205066,0.05278955465562445,0.850310478883803,0.7009450536785424,0.9125164263609051,0.0018298889750406177,0.0001196752920555667,0.001844197502855482,0.0015083536757710342,0.0020890629890002997,0.0005226651471325283,1.0871777092806844e-05,-2.1927897305122275e-07,6.929936236701906e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.02, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.385090369399517,0.29464726911126965,27.341738271378148,26.800407910718896,28.21490574670061,0.8333802317402114,0.05278903587456139,0.8503023268790544,0.7009402414278985,0.912513200761348,0.001829979040130577,0.00011968067972455249,0.0018442779495847752,0.0015083753458885643,0.002089099903109984,0.00030923782404180145,6.274896797540119e-06,-1.2921388309188995e-07,3.544630591932219e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0.01, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.384938510235497,0.29462799346035895,27.341619504045855,26.800360018130224,28.214738380079396,0.8333770992554128,0.05278917463550128,0.8502978054505288,0.7009355935719908,0.9125112580469846,0.0018300424801479147,0.00011967593621943066,0.001844328385666351,0.0015084334761573518,0.0020891229411540285,0.00015737866001970248,3.1424119990997036e-06,-6.577386575414273e-08,1.7724097306199836e-05
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.38478113157548,0.2946089157993494,27.341497067342367,26.800304933742755,28.214565289387025,0.8333739568434138,0.052789317786470995,0.8502932608374953,0.700930704194814,0.912509316891849,0.001830108254013669,0.00011967143875495371,0.0018443803816427901,0.0015084935968839085,0.00208914943902406,0.0,0.0,0.0,0.0
"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=1.5708, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",50,27.38478113157548,0.2946089157993494,27.341497067342367,26.800304933742755,28.214565289387025,0.8333739568434138,0.052789317786470995,0.8502932608374953,0.700930704194814,0.912509316891849,0.001830108254013669,0.00011967143875495371,0.0018443803816427901,0.0015084935968839085,0.00208914943902406,0.0,0.0,0.0,0.0
