filename,subject_id,variant,input_mean,input_std,enhanced_mean,enhanced_std,mean_absolute_change,psnr,ssim,mse,pct_pixels_changed_gt_0_05,pct_pixels_changed_gt_0_10
353__M_Right_thumb_finger.BMP,353,degraded_baseline,0.29902172088623047,0.3196995258331299,0.29902172088623047,0.3196995258331299,0.0,27.32793629146971,0.8724088980541229,0.0018501475751853827,0.0,0.0
353__M_Right_thumb_finger.BMP,353,legacy_modified_gabor,0.29902172088623047,0.3196995258331299,0.3548746705055237,0.291778564453125,0.05961634963750839,21.39639091757488,0.7792099575400651,0.007250382324674438,61.40899658203125,13.42926025390625
353__M_Right_thumb_finger.BMP,353,corrected_modified_gabor,0.29902172088623047,0.3196995258331299,0.2990391254425049,0.31977134943008423,0.0002939396072179079,27.334339447496948,0.8726066176816523,0.0018474217623915671,0.0,0.0
572__F_Left_middle_finger.BMP,572,degraded_baseline,0.5974118709564209,0.35429465770721436,0.5974118709564209,0.35429465770721436,0.0,27.320467020532956,0.8414032366846502,0.0018533323137710088,0.0,0.0
572__F_Left_middle_finger.BMP,572,legacy_modified_gabor,0.5974118709564209,0.35429465770721436,0.6310818195343018,0.31509295105934143,0.04235304892063141,22.568645180574187,0.8188225292141735,0.005535227585255313,36.08245849609375,12.25738525390625
572__F_Left_middle_finger.BMP,572,corrected_modified_gabor,0.5974118709564209,0.35429465770721436,0.5973952412605286,0.3544546961784363,0.00034295511431992054,27.33696731436293,0.8419952895109355,0.0018463042464779372,0.0,0.0
249__M_Left_little_finger.BMP,249,degraded_baseline,0.7350960969924927,0.3342856466770172,0.7350960969924927,0.3342856466770172,0.0,27.850348680485556,0.7587672882475555,0.0016404580610319855,0.0,0.0
249__M_Left_little_finger.BMP,249,legacy_modified_gabor,0.7350960969924927,0.3342856466770172,0.7565279603004456,0.2950722873210907,0.030981149524450302,23.40751285761295,0.7470156005084515,0.004562981565682725,23.6541748046875,10.82916259765625
249__M_Left_little_finger.BMP,249,corrected_modified_gabor,0.7350960969924927,0.3342856466770172,0.7350844144821167,0.3344210684299469,0.00025199257652275264,27.864495782553206,0.7592799233122468,0.001635122978472726,0.0,0.0
218__M_Right_ring_finger.BMP,218,degraded_baseline,0.5060737729072571,0.3329492211341858,0.5060737729072571,0.3329492211341858,0.0,26.95709928583952,0.8327536396930217,0.002015069693990176,0.0,0.0
218__M_Right_ring_finger.BMP,218,legacy_modified_gabor,0.5060737729072571,0.3329492211341858,0.5451043248176575,0.30199378728866577,0.04515893757343292,22.83313718321107,0.8104987732609995,0.0052081835521162224,44.2169189453125,6.64825439453125
218__M_Right_ring_finger.BMP,218,corrected_modified_gabor,0.5060737729072571,0.3329492211341858,0.5060709118843079,0.3330245316028595,0.0002110570203512907,26.962338689614455,0.8330110177524089,0.0020126401448646533,0.0,0.0
382__M_Right_middle_finger.BMP,382,degraded_baseline,0.5216306447982788,0.373311311006546,0.5216306447982788,0.373311311006546,0.0,27.363344701743767,0.8778663659537435,0.0018351244851289054,0.0,0.0
382__M_Right_middle_finger.BMP,382,legacy_modified_gabor,0.5216306447982788,0.373311311006546,0.575524091720581,0.32070961594581604,0.062047868967056274,20.574958157442843,0.834280334358125,0.008760001575078138,51.202392578125,29.0557861328125
382__M_Right_middle_finger.BMP,382,corrected_modified_gabor,0.5216306447982788,0.373311311006546,0.5216364860534668,0.373464971780777,0.0003690755693241954,27.377009618446017,0.8783321146969795,0.0018293594077532001,0.0,0.0
249__M_Right_little_finger.BMP,249,degraded_baseline,0.5808081030845642,0.39223015308380127,0.5808081030845642,0.39223015308380127,0.0,27.657119233589647,0.6353878059021234,0.001715094588497569,0.0,0.0
249__M_Right_little_finger.BMP,249,legacy_modified_gabor,0.5808081030845642,0.39223015308380127,0.605995237827301,0.36263307929039,0.031446587294340134,23.81983338302136,0.6242460432238719,0.004149699626421001,22.95684814453125,5.04913330078125
249__M_Right_little_finger.BMP,249,corrected_modified_gabor,0.5808081030845642,0.39223015308380127,0.5808098316192627,0.39236417412757874,0.0003009370411746204,27.6753157453157,0.6361982426283359,0.001707923544302273,0.0,0.0
62__M_Right_middle_finger.BMP,62,degraded_baseline,0.5000931024551392,0.3494499623775482,0.5000931024551392,0.3494499623775482,0.0,27.108900613178943,0.8883837219081521,0.001945852598577628,0.0,0.0
62__M_Right_middle_finger.BMP,62,legacy_modified_gabor,0.5000931024551392,0.3494499623775482,0.5447531938552856,0.31154292821884155,0.05172925814986229,22.006349490801874,0.8524628008134635,0.006300355435304819,48.27117919921875,14.83001708984375
62__M_Right_middle_finger.BMP,62,corrected_modified_gabor,0.5000931024551392,0.3494499623775482,0.500085711479187,0.34953510761260986,0.00023884170514065772,27.11503624297272,0.8886578748699426,0.0019431054760542094,0.0,0.0
388__F_Left_index_finger.BMP,388,degraded_baseline,0.6553637981414795,0.32964178919792175,0.6553637981414795,0.32964178919792175,0.0,27.434830134381247,0.7567465921532214,0.001805165341190282,0.0,0.0
388__F_Left_index_finger.BMP,388,legacy_modified_gabor,0.6553637981414795,0.32964178919792175,0.6768295764923096,0.2996126115322113,0.02840142324566841,23.885067922186565,0.7448819958594647,0.004087833588277967,17.31719970703125,5.80902099609375
388__F_Left_index_finger.BMP,388,corrected_modified_gabor,0.6553637981414795,0.32964178919792175,0.6553674936294556,0.32977813482284546,0.00025820243172347546,27.449911908960537,0.7573333241953552,0.001798907403277385,0.0,0.0
