method,images,PSNR_mean,PSNR_std,MSE_mean,MSE_std,SSIM_mean,SSIM_std
M1 NLM,12,29.436598143337637,0.6457128748343711,0.0011497726485716249,0.00016399090033700266,0.9407858269775708,0.014882360566361021
M3 TV,12,29.18502169570506,0.5626632406598429,0.0012154703819939451,0.00015140314537595806,0.9402025514252087,0.011314294479788772
M4 Directional Diffusion,12,27.802750362912548,0.6974693211888051,0.0016782286630514867,0.0002697405195947006,0.8683570369714398,0.036981921581671864
M2 Modified Gabor,12,25.000203966414404,0.5868530777562795,0.0031884416597303105,0.00042515258364333514,0.8373101190202507,0.042085936411796455
