Category,Family,Technique ID,Technique,Output domain,Purpose,Is enhancement technique,Images,Ridge coherence mean,Ridge coherence std,Local contrast mean,Local contrast std,Foreground/background separation proxy mean,Ridge coverage mean,Fragmentation mean,Small components mean,Ridge continuity mean,Detected endings mean,Detected bifurcations mean,Runtime mean,Delta coherence vs P0 mean,Delta contrast vs P0 mean,Delta fragmentation vs P0 mean,Delta continuity vs P0 mean
Overall,Input / Common Preprocessing Control,P0,Original Altered Input after P0,grayscale,"input condition and neutral preprocessing control, not enhancement",False,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.36491181271998246,3.215413666190462,2.0,25.461334624627174,219.375,106.5,0.0,0.0,0.0,0.0,0.0
Overall,M1 / Contrast or General Enhancement,M1-C1,CLAHE,grayscale,local contrast enhancement baseline,True,20,0.6985052302479744,0.06832514816135665,0.2232945623497168,0.02812803763422196,0.2232945623497168,0.38567225138346356,2.8132173777813807,0.8333333333333334,24.81902405591828,238.625,117.375,0.006627333335927688,0.04515659064054489,0.031772430365284286,-0.40219628840908134,-0.6423105687088945
Overall,M1 / Contrast or General Enhancement,M1-C2,Contrast Stretching,grayscale,global contrast expansion,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.36491181271998246,3.215413666190462,2.0,25.461334624627174,219.375,106.5,0.000974995840806514,0.0,0.0,0.0,0.0
Overall,M1 / Contrast or General Enhancement,M1-C3,Global Histogram Equalization,grayscale,global histogram redistribution baseline,True,20,0.6530852864185969,0.08297738267297347,0.16239442955702543,0.027502323598733246,0.16239442955702543,0.37199974060058594,3.1889444357843306,1.4166666666666667,22.54095672507404,243.04166666666666,105.04166666666667,0.0024255541599510857,-0.0002633531888326009,-0.029127702427407105,-0.026469230406131704,-2.9203778995531393
Overall,M2 / Ridge Enhancement,M2-R1,Ordinary Gabor,grayscale,ordinary fixed-frequency multi-orientation ridge filter,True,20,0.7177538375059763,0.056985459852567505,0.142825061455369,0.023332023674568304,0.14546836912631989,0.301191032549415,4.632731546380157,2.5833333333333335,19.92348849549111,233.5,66.625,0.9125481708348767,0.06440519789854686,-0.048697070529063545,1.4173178801896948,-5.537846129136066
Overall,M2 / Ridge Enhancement,M2-R2,Literature-Inspired Modified Gabor,grayscale,local orientation and local frequency Gabor; not exact paper replication,True,20,0.6649405087033907,0.07562796290231374,0.17643382710715136,0.028852319258485377,0.18689464785469076,0.35643045700806875,3.5093763257231267,2.0,24.010325135393387,227.04166666666666,100.83333333333333,1.916767345831128,0.011591869095961252,-0.015088304877281189,0.2939626595326646,-1.451009489233791
Overall,M2 / Ridge Enhancement,M2-R3,Coherence-Guided Directional Diffusion,grayscale,ridge-flow-preserving directional smoothing,True,20,0.6642124280333519,0.0827006065614791,0.17865666560828686,0.03006214826333761,0.18753599274593094,0.35953781450517436,3.230684133895491,1.7916666666666667,24.93453075690242,220.04166666666666,105.75,0.31028443749043316,0.010863788425922394,-0.012865466376145681,0.015270467705028887,-0.5268038677247562
Overall,M2 / Ridge Enhancement,M2-R4,Directional Oriented Filter-Bank,grayscale,orientation-selected ridge-flow filtering,True,20,0.6574595694740614,0.08347957054933555,0.18633507626752058,0.03183227468185302,0.19506465581556162,0.3626673017377422,3.2060149689579363,1.8333333333333333,25.447651547544456,218.75,105.375,0.09940564166754484,0.0041109298666318255,-0.005187055716911952,-0.009398697232525538,-0.013683077082716618
Overall,M3 / Morphological Ridge Restoration,M3-2,Closing,binary ridge map,binary ridge-structure restoration,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.3727249418320311,2.29630714355971,1.125,31.524309708550348,185.41666666666666,141.66666666666666,0.01137110749890174,0.0,0.0,-0.9191065226307523,6.06297508392317
Overall,M3 / Morphological Ridge Restoration,M3-3,Opening + Closing,binary ridge map,binary ridge-structure restoration,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.35487724403773546,4.437156780857039,18.833333333333332,19.23304523243801,242.75,81.20833333333333,0.01137110749890174,0.0,0.0,1.221743114666577,-6.2282893921891676
Overall,M3 / Morphological Ridge Restoration,M3-4,Morphological reconstruction,binary ridge map,binary ridge-structure restoration,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.3648584069582637,3.208480545772407,1.9583333333333333,25.48267163868887,219.04166666666666,106.5,0.01137110749890174,0.0,0.0,-0.006933120418054717,0.021337014061696486
Overall,M3 / Morphological Ridge Restoration,M3-6,Remove small objects / isolated noise,binary ridge map,binary ridge-structure restoration,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.36180527778196686,2.8564241855734256,0.0,26.648024667353948,202.79166666666666,105.75,0.01137110749890174,0.0,0.0,-0.35898948061703645,1.1866900427267717
Overall,M3 / Morphological Ridge Restoration,M3-8,Controlled ridge-restoration pipeline,binary ridge map,binary ridge-structure restoration,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.207855247448829,3.7170947620345847,4.75,33.469136217642124,158.66666666666666,108.25,0.01137110749890174,0.0,0.0,0.5016810958441227,8.007801593014948
Overall,M4 / Thinning,M4-T1,Morphological Skeleton,skeleton,skeletonised ridge analysis output,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.06913767903990764,11.309673458256528,24.416666666666668,33.469136217642124,158.66666666666666,108.25,0.047249681253257826,0.0,0.0,8.094259792066067,8.007801593014948
Overall,M4 / Thinning,M4-T2,Medial Axis,skeleton,medial-axis skeleton analysis output,True,20,0.6533486396074295,0.0839477375601108,0.19152213198443255,0.03303330411303706,0.20021545374765992,0.07131206433174064,10.738724539503167,22.0,31.176032712935623,174.54166666666666,126.5,0.047249681253257826,0.0,0.0,7.523310873312705,5.714698088308449
Overall,Restoration / Denoising Supporting Candidate,SUP-D1,Wiener Deconvolution,grayscale,supporting restoration; assumes mild Gaussian PSF because direct Altered blur is not known,True,20,0.6770674089590708,0.07900847150963276,0.19544333840409914,0.03376643774861024,0.2041060815875729,0.36712674259717554,3.2056350424905022,1.75,26.43505279604246,215.83333333333334,103.875,0.0024705999967409298,0.023718769351641338,0.003921206419666608,-0.009778623699960048,0.9737181714152818
Overall,Restoration / Denoising Supporting Candidate,SUP-D2,Wavelet Denoising,grayscale,supporting denoising without clean-reference use,True,20,0.6598423048853874,0.08505981932826896,0.19039924008150896,0.03256705872882112,0.19909139800195894,0.36399306645430235,3.2158311077954718,1.5833333333333333,25.722280913106918,217.70833333333334,105.83333333333333,0.0027237249960307963,0.006493665277957916,-0.001122891902923584,0.0004174416050094267,0.2609462884797413
Overall,Restoration / Denoising Supporting Candidate,SUP-D3,Total Variation Restoration,grayscale,supporting edge-preserving smoothing,True,20,0.6998388320207596,0.0739654335380722,0.17341467241446176,0.031330180762984015,0.2038143731188029,0.3589060946012959,3.300324209763551,1.75,24.77996497053398,208.95833333333334,90.33333333333333,0.010181770832180822,0.04649019241333008,-0.018107459569970768,0.08491054357308891,-0.6813696540931954
