severity,filename,relative_path,selection_seed,runtime_seconds,coherence_before,coherence_after,delta_coherence,contrast_before,contrast_after,delta_contrast,fragmentation_before,fragmentation_after,delta_fragmentation,continuity_before,continuity_after,delta_continuity,ridge_coverage_before,ridge_coverage_after,delta_ridge_coverage
Easy,456__M_Right_thumb_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\456__M_Right_thumb_finger_Zcut.BMP,20261903,0.0937040999999681,0.6724025011062622,0.7022127509117126,0.02981024980545044,0.21813654899597168,0.21467044949531555,-0.003466099500656128,6.116067322726019,6.180526728471934,0.06445940574591447,13.785714285714286,13.871473354231975,0.08575906851768877,0.331817626953125,0.3308258056640625,-0.0009918212890625
Easy,282__M_Left_middle_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\282__M_Left_middle_finger_Zcut.BMP,20261903,0.09547370000018418,0.8019586205482483,0.837692379951477,0.03573375940322876,0.25453779101371765,0.25041431188583374,-0.004123479127883911,1.003321339606975,0.9338682899833979,-0.06945304962357701,59.32673267326733,61.45360824742268,2.126875574155349,0.4410400390625,0.441162109375,0.0001220703125
Easy,339__M_Right_ring_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\339__M_Right_ring_finger_CR.BMP,20261903,0.08476289999998698,0.641867995262146,0.6911756992340088,0.04930770397186279,0.202852264046669,0.1970396488904953,-0.005812615156173706,4.66849584340063,4.537579407639633,-0.1309164357609971,14.956772334293948,15.631901840490798,0.6751295061968499,0.3726043701171875,0.369903564453125,-0.0027008056640625
Easy,287__M_Right_little_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Easy\287__M_Right_little_finger_Zcut.BMP,20261903,0.08764870000004521,0.6118664741516113,0.658254086971283,0.04638761281967163,0.19027358293533325,0.18681630492210388,-0.00345727801322937,3.3806934990177715,3.3006326212524066,-0.08006087776536486,19.64830508474576,20.136563876651984,0.48825879190622246,0.3339996337890625,0.332855224609375,-0.0011444091796875
Easy,404__M_Left_ring_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\404__M_Left_ring_finger_Obl.BMP,20261903,0.16260360000001128,0.6741719841957092,0.7191949486732483,0.04502296447753906,0.19788117706775665,0.19256092607975006,-0.005320250988006592,2.240999265246143,1.9873399087295744,-0.25365935651656835,25.347826086956523,27.831521739130434,2.4836956521739104,0.41534423828125,0.41461181640625,-0.000732421875
Easy,265__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\265__M_Left_thumb_finger_CR.BMP,20261903,0.1695927999999185,0.7280373573303223,0.8068146705627441,0.07877731323242188,0.1776353120803833,0.16955991089344025,-0.008075401186943054,4.705287123703516,4.285495637977655,-0.41979148572586134,19.75,21.373684210526317,1.6236842105263172,0.3015899658203125,0.2990875244140625,-0.00250244140625
Easy,294__M_Right_ring_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\294__M_Right_ring_finger_CR.BMP,20261903,0.14754450000009456,0.7567014694213867,0.8043299913406372,0.04762852191925049,0.22783750295639038,0.22209003567695618,-0.005747467279434204,1.801249377227609,1.6196205460434985,-0.18162883118411055,34.80128205128205,38.44604316546763,3.6447611141855774,0.3981475830078125,0.39569091796875,-0.0024566650390625
Easy,300__F_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\300__F_Left_thumb_finger_CR.BMP,20261903,0.12925970000014786,0.6037880778312683,0.6598585247993469,0.05607044696807861,0.18099826574325562,0.17625688016414642,-0.004741385579109192,9.826653417246328,9.759343462348896,-0.06730995489743208,9.89,10.0,0.10999999999999943,0.276397705078125,0.275177001953125,-0.001220703125
Easy,38__M_Left_thumb_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\38__M_Left_thumb_finger_Obl.BMP,20261903,0.13783889999990606,0.6893815994262695,0.735153079032898,0.04577147960662842,0.19697557389736176,0.1915745884180069,-0.005400985479354858,2.9738302934179224,3.037084398976982,0.06325410555905941,22.778688524590162,24.307692307692307,1.5290037831021444,0.38482666015625,0.3818359375,-0.00299072265625
Easy,593__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\593__M_Left_thumb_finger_CR.BMP,20261903,0.13693000000012034,0.7943320274353027,0.8304994702339172,0.0361674427986145,0.2504759728908539,0.24531973898410797,-0.005156233906745911,2.761728260474581,2.555397364290147,-0.20633089618443412,30.034825870646767,31.819148936170212,1.784323065523445,0.4199066162109375,0.4179840087890625,-0.001922607421875
