severity,count,mean_runtime_seconds,total_runtime_seconds,mean_coherence_before,mean_coherence_after,mean_delta_coherence,mean_contrast_before,mean_contrast_after,mean_delta_contrast,mean_fragmentation_before,mean_fragmentation_after,mean_delta_fragmentation,mean_continuity_before,mean_continuity_after,mean_delta_continuity,mean_ridge_coverage_before,mean_ridge_coverage_after,mean_delta_ridge_coverage
Easy,500,0.08249254960000144,41.24627480000072,0.6593229796290397,0.7137671369314194,0.05444415730237961,0.18571438397467135,0.18054788574576378,-0.005166498228907585,2.3006123016250473,2.2022115026042464,-0.09840079902080005,33.01393598598932,36.16583929528531,3.1519033092959914,0.37143665859192426,0.3676620126897266,-0.0037746459021976825
Medium,500,0.08319283480001104,41.59641740000552,0.6557508100271225,0.712820958852768,0.05707014882564545,0.18311812041699888,0.17743497014045714,-0.00568315027654171,2.7154758655381777,2.5934886242978483,-0.12198724124032956,27.48525087688944,30.17361271742377,2.6883618405343324,0.36529866877702466,0.3615128615635397,-0.003785807213485042
Hard,500,0.10250383739999507,51.25191869999753,0.6512216356396675,0.7114416652917862,0.06022002965211868,0.17909290754795074,0.17296035085618497,-0.006132556691765785,2.9484890259129157,2.785711998712114,-0.16277702720080148,25.250952586681173,28.111236120505083,2.8602835338239156,0.35824713518054624,0.3540797044963623,-0.004167430684183925
Overall,1500,0.08939640726666918,134.09461090000377,0.6554318084319433,0.7126765870253245,0.05724477859338124,0.18264180397987365,0.1769810689141353,-0.00566073506573836,2.6548590643587135,2.5271373752047364,-0.12772168915397705,28.58337981651998,31.483562711071393,2.9001828945514134,0.3649941541831651,0.3610848595832095,-0.00390929459995555
