Method ID,Member,Technique,Role,Is member technique,Is baseline,Fixed parameters,Images,MSE_mean,MSE_std,MSE_255_equivalent_mean,MSE_255_equivalent_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,Delta_PSNR_vs_degraded_mean,Delta_PSNR_vs_degraded_std,Runtime_mean,Runtime_std,PSNR_delta_to_28_17,Target_exceeded,Controlled PSNR rank
M1_NLM_h0.06,Member 1,Non-Local Means Denoising,Main frozen member technique,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",12,0.001149772648571575,0.00016399090033699043,74.7639664733699,10.663508294413598,29.436598143337637,0.6457128748343711,0.9407858269775708,0.014882360566360942,2.120384278668801,0.601043143686834,0.09506017501310753,0.004182050435664373,1.2665981433376352,True,1
M3_TV_w0.02,Member 3,Total Variation Restoration,Main frozen member technique,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",12,0.0012154703819939,0.0001514031453759564,79.03596158915629,9.84498952807167,29.18502169570506,0.5626632406598433,0.9402025514252087,0.011314294479788734,1.868807831036227,0.4800144121060659,0.008596616661331267,0.009686118988253887,1.0150216957050588,True,2
BL_WIENER,Baseline,Wiener Deconvolution,M3 restoration comparator,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}",12,0.0014394041680945166,0.0001287319921412844,93.59725603034882,8.370797788987716,28.433835734666555,0.3841087641217209,0.8852160537394235,0.03196248754135303,1.1176218699977183,0.22089363969704828,0.0023403583327307833,0.0006266484819206526,0.26383573466655363,True,3
M4_COH_DIFF,Member 4,Coherence-Guided Directional Diffusion,Main frozen member technique,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",12,0.00167822866305145,0.00026974051959471185,109.12681881492291,17.539877286645403,27.802750362912548,0.6974693211888038,0.8683570369714398,0.036981921581671864,0.48653649824371453,0.578243672518554,0.3098862750048283,0.01529856240072648,-0.36724963708745406,False,4
B0,Baseline,Degraded input / P0,Controlled degraded input or direct Altered P0 control,False,True,"{""operation"": ""P0 only; clip/float range only""}",12,0.0018571551394695584,9.00354109402317e-05,120.76151294401139,5.854552596388739,27.316213864668835,0.21117954332487662,0.8501936277312439,0.04389644243272363,0.0,0.0,0.0002659333404153,0.00023241888750473143,-0.8537861353311662,False,5
BL_CONTRAST_1_99,Baseline,Contrast Stretching,Global contrast baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}",12,0.0018571551394695584,9.00354109402317e-05,120.76151294401139,5.854552596388739,27.316213864668835,0.21117954332487662,0.8501936277312439,0.04389644243272363,0.0,0.0,0.0011348166541816833,0.00030099248852876256,-0.8537861353311662,False,5
M2_MOD_GABOR,Member 2,Literature-Inspired Modified / Orientation-Adaptive Gabor,Main frozen member technique,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",12,0.0031884416500583914,0.0004251526176133943,207.3284182950499,27.645548960311313,25.000203985492032,0.5868531257367249,0.8373101206947888,0.04208593625685065,-2.3160098791768062,0.6467624393615334,1.9221719166477367,0.037764071297445044,-3.1697960145079698,False,7
BL_CLAHE_c0.005,Baseline,CLAHE,Optional contrast baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}",12,0.003539835435994508,0.0004809577770486362,230.17779922554698,31.274279452587194,24.54622107543938,0.5822686386708456,0.8346457702811919,0.03816292498662404,-2.769992789229454,0.5221302970823554,0.006789791679087358,0.0008812937189919498,-3.6237789245606216,False,8
BL_ORD_GABOR,Baseline,Ordinary Gabor,M2 ordinary Gabor comparator,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}",12,0.016199320059663624,0.0035465781633518927,1053.3607868796305,230.61624507195674,18.000266637721563,0.9525548847968909,0.7783252898532332,0.048025457922631715,-9.315947226947271,0.9842723588228667,0.9304426666640211,0.028147277890670567,-10.16973336227844,False,9
