severity,count,mean_runtime_seconds,mean_coherence_before,mean_coherence_after,mean_delta_coherence,mean_contrast_before,mean_contrast_after,mean_delta_contrast,mean_fragmentation_before,mean_fragmentation_after,mean_delta_fragmentation,mean_continuity_before,mean_continuity_after,mean_delta_continuity,mean_ridge_coverage_before,mean_ridge_coverage_after,mean_delta_ridge_coverage
Easy,20,0.13478467500003716,0.6550240129232406,0.7009617030620575,0.045937690138816836,0.19191663414239885,0.1876510798931122,-0.004265554249286652,3.1484068348458254,3.077019820094681,-0.07138701475114355,29.847401790741706,31.388891900546685,1.5414901098049723,0.3648475120282778,0.36205157923210224,-0.00279593279617561
Medium,20,0.16753960999999434,0.6641775369644165,0.7206611126661301,0.05648357570171356,0.18960000947117805,0.1835877276957035,-0.006012281775474549,3.2097645144519347,3.110815997509836,-0.09894851694209861,24.97527069704733,27.79307118740403,2.8178004903567104,0.37538590202627586,0.3705334527650841,-0.0048524492611917965
Hard,20,0.15035056500001928,0.6744194239377975,0.7371446877717972,0.06272526383399964,0.17961854562163354,0.1739268809556961,-0.005691664665937424,2.724104178287996,2.606027349663083,-0.11807682862491327,27.46301529147521,30.163915733505736,2.7009004420305165,0.38207131484163137,0.37762854085874753,-0.004442773982883813
Overall,60,0.1508916166666836,0.6645403246084849,0.7195891678333283,0.055048843224843345,0.18704506307840346,0.18172189618150394,-0.0053231668968995415,3.0274251758619193,2.9312877224225335,-0.09613745343938514,27.42856259308808,29.78195960715215,2.3533970140640665,0.37410157629872837,0.37007119095197794,-0.004030385346750406
