Experiment,Protocol,Category,Candidate ID,Pipeline,Fixed parameters,Images,MSE_mean,MSE_std,MSE_255_equivalent_mean,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,Delta_PSNR_vs_degraded_mean,Delta_PSNR_vs_NLM_mean,Delta_MSE_vs_NLM_mean,Delta_SSIM_vs_NLM_mean,Runtime_mean,PSNR_delta_to_28_17,Target_exceeded,Member,Is member technique,Is baseline,Coherence_mean,Coherence_std,Local_contrast_mean,Local_contrast_std,Ridge_coverage_mean,Fragmentation_mean,Fragmentation_std,Small_components_mean,Ridge_continuity_mean,Delta_coherence_vs_P0_mean,Delta_contrast_vs_P0_mean,Delta_fragmentation_vs_P0_mean,Delta_continuity_vs_P0_mean,Delta_coherence_vs_NLM_mean,Delta_contrast_vs_NLM_mean,Delta_fragmentation_vs_NLM_mean,Delta_continuity_vs_NLM_mean
direct Altered compatibility,direct_altered_no_synthetic_degradation,Medium,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,0.0948409000023578,,,Compatibility candidate,False,False,0.7384540637334188,0.05554828103366649,0.18910219768683115,0.022937977227220824,0.3684806585087241,2.894550655164871,0.7530201393050868,1.6666666666666667,27.624324393089637,0.0499705870946248,-0.0048263370990753,-0.12476935530252142,1.244496034313909,0.0,0.0,0.0,0.0
direct Altered compatibility,direct_altered_no_synthetic_degradation,Medium,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",3,,,,,,,,,,,,0.09508363332133736,,,Compatibility candidate,False,False,0.7550655404726664,0.055392923050652895,0.18009837468465165,0.02152022473306507,0.36423605754207355,2.933099183670073,0.7977350797718543,0.3333333333333333,28.05448172489335,0.06658206383387247,-0.013830160101254735,-0.08622082679731957,1.6746533661176184,0.016611476739247566,-0.009003823002179433,0.03854852850520183,0.4301573318037093
direct Altered compatibility,direct_altered_no_synthetic_degradation,Medium,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,1.918614700009736,,,Compatibility candidate,False,False,0.750372032324473,0.045803530558648,0.17265943189462019,0.021397494557633213,0.3603261311848958,3.0935536570028894,0.69518713511719,1.0,26.790454482573775,0.061888555685679074,-0.021269102891286168,0.07423364653549692,0.4106261237980462,0.011917968591054234,-0.016442765792210868,0.19900300183801842,-0.833869910515863
direct Altered compatibility,direct_altered_no_synthetic_degradation,Medium,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,0.3858344666271781,,,Compatibility candidate,False,False,0.741706391175588,0.053255385620014875,0.1734190881252288,0.019034200735643318,0.3611399332682292,3.12017256127097,0.6671887227186977,1.0,26.214026035129795,0.053222914536793973,-0.02050944666067753,0.10085255080357726,-0.16580232364593073,0.003252327442169167,-0.015683109561602234,0.2256219061060987,-1.4102983579598398
direct Altered compatibility,direct_altered_no_synthetic_degradation,Medium,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",3,,,,,,,,,,,,0.40471419994719326,,,Compatibility candidate,False,False,0.7562722166379293,0.05303999477203436,0.16588346660137174,0.01782366968077953,0.35583418188336546,3.207939368839945,0.6928092850930004,1.3333333333333333,25.683752620545075,0.0677887399991353,-0.028045068184534668,0.18861935837255248,-0.6960757382306552,0.017818152904510467,-0.023218731085459368,0.3133887136750739,-1.9405717725445644
direct Altered compatibility,direct_altered_no_synthetic_degradation,Hard,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,0.09084223334987952,,,Compatibility candidate,False,False,0.6918314496676127,0.1155309875185033,0.1889910747607549,0.02461602593988832,0.3653055826822917,2.164563135595459,0.11201391197269853,0.3333333333333333,30.304485852311938,0.0394912958145141,-0.0042888522148131665,-0.005795867346569071,0.7085242190368722,0.0,0.0,0.0,0.0
direct Altered compatibility,direct_altered_no_synthetic_degradation,Hard,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",3,,,,,,,,,,,,0.09509443328715857,,,Compatibility candidate,False,False,0.709387481212616,0.11645635383541092,0.18021719157695767,0.022713555854883966,0.3633626302083333,2.1987307805533454,0.04595066871945138,0.0,31.02739655797959,0.0570473273595174,-0.013062735398610368,0.028371777611317244,1.4314349247045233,0.0175560315450032,-0.008773883183797166,0.03416764495788627,0.722910705667651
direct Altered compatibility,direct_altered_no_synthetic_degradation,Hard,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,1.906769233290106,,,Compatibility candidate,False,False,0.7071563005447388,0.09791761663175012,0.17379212379455558,0.024433429221641337,0.358734130859375,2.3520194985360496,0.1362710766966429,0.6666666666666666,29.960346593216446,0.054816146691640165,-0.019487803181012467,0.18166049559402142,0.3643849599413815,0.015324850877126033,-0.0151989509661992,0.18745636294059045,-0.34413925909549076
direct Altered compatibility,direct_altered_no_synthetic_degradation,Hard,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",3,,,,,,,,,,,,0.3678906000374506,,,Compatibility candidate,False,False,0.6972640752792358,0.10866755389064368,0.17514679829279578,0.020161054706177305,0.359466552734375,2.2509407948629403,0.3617998899545673,0.3333333333333333,29.66124361688878,0.044923921426137235,-0.0181331286827723,0.0805817919209123,0.06528198361371196,0.005432625611623067,-0.013844276467959033,0.08637765926748144,-0.6432422354231602
direct Altered compatibility,direct_altered_no_synthetic_degradation,Hard,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",3,,,,,,,,,,,,0.3748001000300671,,,Compatibility candidate,False,False,0.7119556665420532,0.11063881872661879,0.167422130703926,0.018540191551091722,0.3570149739583333,2.2904367986043326,0.17313811308705684,0.6666666666666666,30.361481328689138,0.05961551268895463,-0.02585779627164203,0.12007779566230432,0.7655196954140742,0.02012421687444047,-0.021568944056828767,0.12587366300887343,0.05699547637720196
direct Altered compatibility,direct_altered_no_synthetic_degradation,Overall,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",9,,,,,,,,,,,,0.09227628888200134,,,Compatibility candidate,False,False,0.7179807424545288,0.07949283066628567,0.1870947347746955,0.028921153155448482,0.36934279600030384,2.560953456295827,0.5396498596820462,0.7777777777777778,27.860039529147556,0.0474540789922078,-0.004962089988920367,-0.07569800484683192,1.2220149828430473,0.0,0.0,0.0,0.0
direct Altered compatibility,direct_altered_no_synthetic_degradation,Overall,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",9,,,,,,,,,,,,0.09582721110847257,,,Compatibility candidate,False,False,0.7359878354602389,0.07874336139302275,0.17803260352876446,0.02764875828225531,0.3656050476788342,2.6375623655176215,0.5905481678177034,0.2222222222222222,28.257095387203897,0.065461171997918,-0.014024221234851355,0.0009109043749627918,1.6190708408993846,0.01800709300571012,-0.009062131245930945,0.07660890922179465,0.39705585805633736
direct Altered compatibility,direct_altered_no_synthetic_degradation,Overall,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",9,,,,,,,,,,,,1.9375723222167127,,,Compatibility candidate,False,False,0.7322935594452752,0.0655827536228797,0.17213560061322314,0.025857917990734395,0.3618384467230903,2.788893172377468,0.5694525138372531,0.7777777777777778,27.140019249955913,0.061766895982954186,-0.01992122415039271,0.1522417112348093,0.5019947036514026,0.014312816990746368,-0.014959134161472277,0.2279397160816412,-0.7200202791916447
direct Altered compatibility,direct_altered_no_synthetic_degradation,Overall,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}",9,,,,,,,,,,,,0.38653208889688057,,,Compatibility candidate,False,False,0.721927629576789,0.0756092142050782,0.17224067615138156,0.02471318686313689,0.3621114095052083,2.7171047142181384,0.5841390464736764,0.6666666666666666,26.774502690375073,0.05140096611446799,-0.019816148612234286,0.08045325307547962,0.13647814407056164,0.003946887122260156,-0.014854058623313855,0.15615125792231155,-1.0855368387724857
direct Altered compatibility,direct_altered_no_synthetic_degradation,Overall,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}",9,,,,,,,,,,,,0.3913881666570281,,,Compatibility candidate,False,False,0.7372150818506876,0.07557900173630298,0.16439428428808844,0.023608505318775397,0.35768629609609204,2.821434599961901,0.5945121548445413,0.8888888888888888,26.522259579852594,0.06668841838836666,-0.027662540475527412,0.18478313881924216,-0.11576496645191704,0.01923433939615881,-0.022700450486606977,0.2604811436660741,-1.3377799492949645
