filename,index,noise_seed,degraded_psnr,enhanced_psnr,delta_psnr,degraded_mse,enhanced_mse,delta_mse,degraded_ssim,enhanced_ssim,delta_ssim,above_28_17,runtime_seconds,outlier_group,retained
100__M_Left_thumb_finger.BMP,4,20260907,27.025428446442916,28.417826467787087,1.392398021344171,0.001983613956844418,0.0014395188401700582,-0.0005440951166743597,0.9183081810625792,0.9495651641521454,0.03125698308956626,True,0.08789019999994707,lowest_10_enhanced_psnr,True
115__F_Right_thumb_finger.BMP,169,20261072,27.03774138478356,28.42830438520252,1.390563000418961,0.001977998060964654,0.0014360500005375254,-0.0005419480604271284,0.8935299827292561,0.9503650803455115,0.05683509761625538,True,0.08250459999999293,lowest_10_enhanced_psnr,True
124__M_Right_thumb_finger.BMP,269,20261172,27.042032917412783,28.465361613668332,1.423328696255549,0.001976044444034917,0.0014238486854846037,-0.0005521957585503134,0.9141064023610354,0.9510500344693661,0.03694363210833074,True,0.08137410000017553,lowest_10_enhanced_psnr,True
115__F_Left_thumb_finger.BMP,164,20261067,27.013736303828864,28.473329867405873,1.459593563577009,0.0019889614678411417,0.0014212386625071958,-0.0005677228053339459,0.8937097432590425,0.9480959823631048,0.05438623910406226,True,0.08265860000028624,lowest_10_enhanced_psnr,True
13__F_Right_thumb_finger.BMP,439,20261342,27.163656415587035,28.496818591801848,1.3331621762148131,0.0019214733193605015,0.0014135726728810483,-0.0005079006464794532,0.8880043315437436,0.9493577396759987,0.061353408132255094,True,0.08228550000012547,lowest_10_enhanced_psnr,True
104__M_Left_thumb_finger.BMP,44,20260947,27.197881445998743,28.510634733522053,1.3127532875233108,0.0019063904571996076,0.0014090828419765224,-0.0004973076152230852,0.8948993438842595,0.9401386968823672,0.04523935299810766,True,0.08096269999987271,lowest_10_enhanced_psnr,True
100__M_Right_thumb_finger.BMP,9,20260912,27.161751816638727,28.519912983645614,1.3581611670068874,0.001922316166506854,0.001406075696340351,-0.000516240470166503,0.892115608337462,0.9526561815886497,0.06054057325118778,True,0.08235490000015488,lowest_10_enhanced_psnr,True
115__F_Right_middle_finger.BMP,167,20261070,27.08820449927793,28.530511076989157,1.4423065777112285,0.001955147604051662,0.0014026486314028524,-0.0005524989726488096,0.8641413964313864,0.9255861660648584,0.06144476963347201,True,0.08213700000032986,lowest_10_enhanced_psnr,True
110__F_Right_index_finger.BMP,115,20261018,27.05088259183794,28.55657488139139,1.5056922895534512,0.0019720219326505063,0.0013942559671359213,-0.000577765965514585,0.8875640001668632,0.9396363996778726,0.05207239951100939,True,0.0812274999998408,lowest_10_enhanced_psnr,True
100__M_Right_middle_finger.BMP,7,20260910,27.0060556868607,28.572216534826083,1.5661608479653815,0.0019924821129826903,0.001389243413741668,-0.0006032386992410224,0.903213450398922,0.9261454088122845,0.022931958413362485,True,0.09215920000042388,lowest_10_enhanced_psnr,True
127__F_Left_index_finger.BMP,290,20261193,28.319145999367997,31.746031827579554,3.4268858282115566,0.0014726020477739293,0.0006689548661303979,-0.0008036471816435314,0.6710594350368977,0.947440254881382,0.27638081984448426,True,0.09539630000017496,highest_10_enhanced_psnr,True
