Controlled index,Image,Path,Severity,Seed,Protocol source,Experiment,Pipeline ID,Pipeline,Is finalist,Final output used for PSNR/MSE/SSIM,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s)
3,445__M_Left_ring_finger.BMP,data\SOCOFing\Real\445__M_Left_ring_finger.BMP,0.35,45,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.05612839328340123,12.50817389601815,0.6554476329109502,0.656891942024231,0.01004540000576526
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.027405958687992386,15.621550012683855,0.5191537437271285,0.48222148418426514,8.719996549189091e-05
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.07138675953381368,11.463823315660486,0.5812926288061289,0.48860979080200195,0.004681899969000369
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.04575727188540725,13.395398767070084,0.6666238998144334,0.6116700172424316,0.013314299983903766
4,576__M_Right_middle_finger.BMP,data\SOCOFing\Real\576__M_Right_middle_finger.BMP,0.55,46,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.06286414464727129,12.015969892411093,0.6286628821948763,0.5570629835128784,0.010716700053308159
5,533__M_Right_ring_finger.BMP,data\SOCOFing\Real\533__M_Right_ring_finger.BMP,0.75,47,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.037505378832330516,14.259064434807145,0.3472088247192675,0.3226686716079712,9.399995906278491e-05
5,533__M_Right_ring_finger.BMP,data\SOCOFing\Real\533__M_Right_ring_finger.BMP,0.75,47,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.09151947468892416,10.384864813434053,0.38618623513125794,0.3373492360115051,0.004734499962069094
5,533__M_Right_ring_finger.BMP,data\SOCOFing\Real\533__M_Right_ring_finger.BMP,0.75,47,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.05060780662924136,12.957824848500621,0.5615200293192787,0.5376518964767456,0.014916499960236251
5,533__M_Right_ring_finger.BMP,data\SOCOFing\Real\533__M_Right_ring_finger.BMP,0.75,47,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.07254969695529923,11.393643972981431,0.4802560224658041,0.41821080446243286,0.009775099984835833
6,158__M_Right_middle_finger.BMP,data\SOCOFing\Real\158__M_Right_middle_finger.BMP,0.35,48,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.013497373831101628,18.697507234760902,0.7171050518347732,0.6117162108421326,8.269998943433166e-05
6,158__M_Right_middle_finger.BMP,data\SOCOFing\Real\158__M_Right_middle_finger.BMP,0.35,48,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.07595365414312723,11.19451327317708,0.5953498587771745,0.5976994037628174,0.004691199981607497
6,158__M_Right_middle_finger.BMP,data\SOCOFing\Real\158__M_Right_middle_finger.BMP,0.35,48,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.05266368886281891,12.784887237210821,0.6655014139594333,0.6821703910827637,0.007052100030705333
6,158__M_Right_middle_finger.BMP,data\SOCOFing\Real\158__M_Right_middle_finger.BMP,0.35,48,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.06986676912103729,11.557293395472598,0.6212202361177186,0.6529238224029541,0.009818300022743642
7,148__M_Right_ring_finger.BMP,data\SOCOFing\Real\148__M_Right_ring_finger.BMP,0.55,49,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.028741822356150123,15.414856991757253,0.5234865874058405,0.49878770112991333,7.979996735230088e-05
7,148__M_Right_ring_finger.BMP,data\SOCOFing\Real\148__M_Right_ring_finger.BMP,0.55,49,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.08423035738651925,10.745313566079524,0.5398045567555331,0.5027504563331604,0.00439740001456812
7,148__M_Right_ring_finger.BMP,data\SOCOFing\Real\148__M_Right_ring_finger.BMP,0.55,49,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.054475023529899726,12.63802573492842,0.6153280929772924,0.6014626026153564,0.006859100016299635
7,148__M_Right_ring_finger.BMP,data\SOCOFing\Real\148__M_Right_ring_finger.BMP,0.55,49,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.07511035535085155,11.24300183345995,0.5778702539241847,0.5708841681480408,0.009474700025748461
8,112__M_Left_middle_finger.BMP,data\SOCOFing\Real\112__M_Left_middle_finger.BMP,0.75,50,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.03650229166639555,14.376798690551027,0.2948518343508618,0.2769134044647217,8.369999704882503e-05
8,112__M_Left_middle_finger.BMP,data\SOCOFing\Real\112__M_Left_middle_finger.BMP,0.75,50,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.11615965744760175,9.349446773674291,0.2579774535306684,0.2754737138748169,0.00483750004786998
8,112__M_Left_middle_finger.BMP,data\SOCOFing\Real\112__M_Left_middle_finger.BMP,0.75,50,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C4,P0 -> Total Variation Restoration -> CLAHE,True,CLAHE,0.05706495838667268,12.436304950972094,0.41840814753518374,0.4687580466270447,0.01387690007686615
8,112__M_Left_middle_finger.BMP,data\SOCOFing\Real\112__M_Left_middle_finger.BMP,0.75,50,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,C3,P0 -> CLAHE -> Total Variation Restoration,True,Total Variation Restoration,0.0970235759608729,10.131227227891685,0.3218480539906336,0.3423365354537964,0.0097843999392353
9,412__M_Left_middle_finger.BMP,data\SOCOFing\Real\412__M_Left_middle_finger.BMP,0.35,51,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B0,P0 only,False,P0,0.009071834659731591,20.423048736871216,0.7047279850341517,0.544333815574646,8.000002708286047e-05
9,412__M_Left_middle_finger.BMP,data\SOCOFing\Real\412__M_Left_middle_finger.BMP,0.35,51,screening24_metadata.json selected_relative_paths; same severity cycle and seed rule,Controlled aligned Real synthetic-degradation,B1,P0 -> CLAHE,True,CLAHE,0.06225500410720646,12.058257338900535,0.5514334962118628,0.528816819190979,0.004925200017169118
