Combination ID,Image,Quality band,Severity,Stage order,Stage,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs previous stage (dB),Delta SSIM vs previous stage,Delta coherence vs previous stage
R1->G7,533__M_Right_ring_finger.BMP,Higher quality,0.75,4,Team Final Output,0.03504632547972844,14.553575100092695,0.39410703016138693,0.410727322101593,0.32744319998892024,0.0,0.0,0.0
R1->G7,158__M_Right_middle_finger.BMP,Higher quality,0.35,0,Degraded,0.013497373831101628,18.697507234760902,0.7171050518347732,0.6117162108421326,0.0,,,
R1->G7,158__M_Right_middle_finger.BMP,Higher quality,0.35,1,Common Preprocessing P0,0.013497373831101628,18.697507234760902,0.7171050518347732,0.6117162108421326,0.0,0.0,0.0,0.0
R1->G7,158__M_Right_middle_finger.BMP,Higher quality,0.35,2,M1 Wiener deconvolution,0.012493608932786594,19.03312092194295,0.7397979672442115,0.6229068040847778,0.002111600013449788,0.33561368718204676,0.022692915409438297,0.011190593242645264
R1->G7,158__M_Right_middle_finger.BMP,Higher quality,0.35,3,M2 Coherence-guided directional diffusion,0.013587185550233395,18.6687049371549,0.7280690500905104,0.6521210074424744,0.324062799976673,-0.3644159847880495,-0.011728917153701168,0.029214203357696533
R1->G7,158__M_Right_middle_finger.BMP,Higher quality,0.35,4,Team Final Output,0.013587185550233395,18.6687049371549,0.7280690500905104,0.6521210074424744,0.32617439999012277,0.0,0.0,0.0
R1->G7,148__M_Right_ring_finger.BMP,Higher quality,0.55,0,Degraded,0.028741822356150123,15.414856991757253,0.5234865874058405,0.49878770112991333,0.0,,,
R1->G7,148__M_Right_ring_finger.BMP,Higher quality,0.55,1,Common Preprocessing P0,0.028741822356150123,15.414856991757253,0.5234865874058405,0.49878770112991333,0.0,0.0,0.0,0.0
R1->G7,148__M_Right_ring_finger.BMP,Higher quality,0.55,2,M1 Wiener deconvolution,0.026767183884943577,15.723973175528101,0.5628293700482917,0.530820369720459,0.002045000030193478,0.3091161837708487,0.03934278264245117,0.032032668590545654
R1->G7,148__M_Right_ring_finger.BMP,Higher quality,0.55,3,M2 Coherence-guided directional diffusion,0.027866946855910762,15.54910610628821,0.5471095111107072,0.5563859343528748,0.3235917999991216,-0.17486706923989104,-0.01571985893758454,0.02556556463241577
