severity,filename,coherence_before,contrast_before,fragmentation_before,continuity_before,ridge_coverage_before,coherence_after,contrast_after,fragmentation_after,continuity_after,ridge_coverage_after,delta_coherence,delta_contrast,delta_fragmentation,delta_continuity,delta_ridge_coverage
Easy,397__M_Right_thumb_finger_Zcut.BMP,0.8003575801849365,0.23702774941921234,1.3031103185761805,58.873684210526314,0.4449615478515625,0.8423031568527222,0.23216009140014648,1.2363061918335108,62.12359550561798,0.4443206787109375,0.041945576667785645,-0.004867658019065857,-0.06680412674266978,3.249911295091664,-0.000640869140625
Easy,464__M_Left_middle_finger_CR.BMP,0.7955702543258667,0.24819070100784302,1.1053540587219344,46.73170731707317,0.441741943359375,0.8335718512535095,0.24379296600818634,1.035160967530451,48.72649572649573,0.4422149658203125,0.03800159692764282,-0.004397734999656677,-0.07019309119148343,1.9947884094225543,0.0004730224609375
Easy,93__M_Right_middle_finger_Obl.BMP,0.7134913802146912,0.2064628005027771,3.0142044384160354,21.10843373493976,0.4049835205078125,0.7745272517204285,0.19973716139793396,2.7226318774815654,24.634615384615383,0.4035186767578125,0.061035871505737305,-0.00672563910484314,-0.2915725609344699,3.5261816496756246,-0.00146484375
Easy,512__M_Right_middle_finger_CR.BMP,0.6886999607086182,0.19032777845859528,1.186032720549761,50.37837837837838,0.4374237060546875,0.7434336543083191,0.18417654931545258,1.1872752034081782,56.34020618556701,0.4369659423828125,0.05473369359970093,-0.0061512291431427,0.0012424828584172154,5.961827807188634,-0.000457763671875
Easy,330__M_Left_index_finger_Zcut.BMP,0.6970418095588684,0.22204887866973877,3.0626216040931036,22.254752851711025,0.423492431640625,0.7442435622215271,0.21712204813957214,2.9254550707887894,23.235772357723576,0.4224853515625,0.04720175266265869,-0.004926830530166626,-0.13716653330431416,0.9810195060125508,-0.001007080078125
Easy,226__M_Left_index_finger_Obl.BMP,0.6688145399093628,0.25297310948371887,6.852268915616465,15.166666666666666,0.3184356689453125,0.7030172348022461,0.24940738081932068,6.807939399750695,15.195121951219512,0.318267822265625,0.0342026948928833,-0.0035657286643981934,-0.04432951586576994,0.028455284552846294,-0.0001678466796875
Easy,512__M_Right_thumb_finger_CR.BMP,0.7615007758140564,0.22367456555366516,2.3282456853542257,35.26086956521739,0.4128875732421875,0.8057255148887634,0.21787916123867035,2.34375,37.682432432432435,0.41015625,0.04422473907470703,-0.005795404314994812,0.015504314645774286,2.4215628672150444,-0.0027313232421875
Easy,147__M_Right_ring_finger_Zcut.BMP,0.6469290852546692,0.18604128062725067,1.0101738942203622,49.52845528455285,0.422943115234375,0.7071883678436279,0.18111316859722137,0.8641486335649732,56.66981132075472,0.4237823486328125,0.06025928258895874,-0.004928112030029297,-0.146025260655389,7.14135603620187,0.0008392333984375
Easy,229__M_Right_index_finger_Obl.BMP,0.5698185563087463,0.13563692569732666,0.5830703800246948,51.205882352941174,0.44488525390625,0.645548939704895,0.12949955463409424,0.5559223098571975,58.42857142857143,0.4443157959738175,0.07573038339614868,-0.006137371063232422,-0.027148070167497318,7.222689075630257,-0.0005694579324325155
Easy,554__M_Left_middle_finger_CR.BMP,0.7334933280944824,0.1794513463973999,1.079870415550134,39.714285714285715,0.3815155029296875,0.7932712435722351,0.17371545732021332,0.9748568179048702,45.57142857142857,0.3756561279296875,0.059777915477752686,-0.0057358890771865845,-0.10501359764526375,5.857142857142854,-0.005859375
Easy,277__M_Right_middle_finger_Zcut.BMP,0.7015490531921387,0.1955188661813736,2.2375005085228428,31.942528735632184,0.3750762939453125,0.7494062185287476,0.19049645960330963,2.117694970474445,33.6,0.3746795654296875,0.04785716533660889,-0.005022406578063965,-0.11980553804839777,1.6574712643678176,-0.000396728515625
Easy,19__M_Left_index_finger_Zcut.BMP,0.7114306688308716,0.21373578906059265,1.092395517654521,54.528301886792455,0.433013916015625,0.7543604373931885,0.20956233143806458,0.9820082067828709,59.114583333333336,0.4350738525390625,0.042929768562316895,-0.004173457622528076,-0.1103873108716501,4.58628144654088,0.0020599365234375
Easy,288__M_Right_index_finger_Obl.BMP,0.6856731176376343,0.1861131489276886,1.9285687794384898,26.82125603864734,0.4114227294921875,0.7397364377975464,0.18077726662158966,2.2865558268418402,27.147368421052633,0.4014344166653702,0.05406332015991211,-0.005335882306098938,0.3579870474033504,0.3261123824052916,-0.00998831282681728
Easy,131__M_Right_middle_finger_Zcut.BMP,0.6131801009178162,0.17953284084796906,1.0855324723937863,35.236363636363635,0.4076385498046875,0.6614493727684021,0.17527316510677338,1.1180263108858495,35.57142857142857,0.4094390869140625,0.04826927185058594,-0.004259675741195679,0.03249383849206322,0.33506493506493484,0.001800537109375
Easy,555__M_Right_middle_finger_Obl.BMP,0.5504295825958252,0.17050330340862274,3.9821459828461405,13.323809523809524,0.34869384765625,0.608314037322998,0.1636340320110321,3.725385843533795,14.552346570397113,0.34405517578125,0.05788445472717285,-0.006869271397590637,-0.25676013931234554,1.2285370465875882,-0.004638671875
Easy,589__M_Left_ring_finger_CR.BMP,0.5986950397491455,0.1501130312681198,1.5960138580715482,25.857142857142858,0.3919830322265625,0.7033889889717102,0.14662040770053864,1.465380388325803,32.738461538461536,0.3855582409994036,0.1046939492225647,-0.0034926235675811768,-0.1306334697457452,6.881318681318678,-0.006424791227158888
Easy,83__M_Left_index_finger_CR.BMP,0.7061266899108887,0.2104586809873581,4.215290411323601,18.186046511627907,0.3438873291015625,0.7493125200271606,0.20548409223556519,4.110445894021982,18.942622950819672,0.341522216796875,0.04318583011627197,-0.004974588751792908,-0.10484451730161926,0.7565764391917646,-0.0023651123046875
Easy,586__M_Right_ring_finger_Zcut.BMP,0.7274814248085022,0.22125022113323212,1.664145234493192,39.81294964028777,0.4034423828125,0.7728415727615356,0.21638654172420502,1.6271237749271579,42.2,0.4032440185546875,0.04536014795303345,-0.0048636794090271,-0.03702145956603409,2.3870503597122337,-0.0001983642578125
Easy,21__M_Right_index_finger_CR.BMP,0.7605681419372559,0.21514417231082916,0.5774088776614941,84.75,0.4281917359458541,0.8095758557319641,0.21020548045635223,0.5836433938863355,87.81666666666666,0.42530679367640445,0.04900771379470825,-0.004938691854476929,0.006234516224841391,3.066666666666663,-0.0028849422694496307
Easy,485__M_Left_index_finger_Obl.BMP,0.564229428768158,0.15334552526474,1.4939144953644712,28.630872483221477,0.3472747802734375,0.6090545058250427,0.15023870766162872,1.5176600441501105,32.62809917355372,0.3382384967177924,0.044825077056884766,-0.003106817603111267,0.02374554878563928,3.997226690332244,-0.00903628355564512
