Image,Seed,Stage order,Stage,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,MSE_255_equivalent after,SSIM after
576__M_Left_little_finger.BMP,20261912,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",20.40602521859448,15.747340787148275,-4.658684431446204,0.026623547376275255,1731.1961681422986,0.6696283375375569
576__M_Left_little_finger.BMP,20261912,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.747340787148275,15.39511225128753,-0.35222853586074443,0.028872791512568684,1877.4532681047785,0.5158723929719944
576__M_Left_little_finger.BMP,20261912,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.39511225128753,15.289163635492917,-0.10594861579461323,0.029585821755799106,1923.8180596708369,0.5066673801840244
576__M_Left_little_finger.BMP,20261912,5,smudge_occlusion,"{""smudge_centre"": [131, 158], ""smudge_radii"": [4, 14], ""smudge_rotation"": -0.13514933851855682, ""smudge_sigma"": 4.1}",15.289163635492917,15.278255112033104,-0.010908523459812969,0.029660228248803214,1928.656341878429,0.5053822430434486
537__M_Right_thumb_finger.BMP,20261913,0,clean_reference,{},inf,inf,,0.0,0.0,1.0
537__M_Right_thumb_finger.BMP,20261913,1,blur,"{""blur_sigma"": 1.34}",inf,19.571241724159684,,0.011037629895679572,717.7218839665642,0.8179898676157594
537__M_Right_thumb_finger.BMP,20261913,2,low_contrast_illumination,"{""contrast_scale"": 0.681, ""illumination_amplitude"": 0.08800000000000001}",19.571241724159684,15.469325764013961,-4.101915960145723,0.02838359645522887,1845.6433595012572,0.6454971171682365
537__M_Right_thumb_finger.BMP,20261913,3,gaussian_noise,"{""gaussian_noise_sigma"": 0.04825}",15.469325764013961,15.120380476138418,-0.3489452878755426,0.030758273362599946,2000.0567254030616,0.5280888896653112
537__M_Right_thumb_finger.BMP,20261913,4,salt_pepper_noise,"{""pepper_probability"": 0.0008250000000000001, ""salt_probability"": 0.0008250000000000001}",15.120380476138418,15.060435358341195,-0.059945117797223446,0.03118576946794474,2027.8546596531066,0.52301013864703
537__M_Right_thumb_finger.BMP,20261913,5,smudge_occlusion,"{""smudge_centre"": [114, 116], ""smudge_radii"": [4, 14], ""smudge_rotation"": -0.794982655161433, ""smudge_sigma"": 4.1}",15.060435358341195,15.040738934140771,-0.019696424200423834,0.03132752654029534,2037.0724132827045,0.5213228989905817
