filename,index,noise_seed,degraded_psnr,enhanced_psnr,delta_psnr,degraded_mse,enhanced_mse,delta_mse,degraded_ssim,enhanced_ssim,delta_ssim,above_28_17,runtime_seconds
100__M_Left_index_finger.BMP,0,20260903,27.102885197844788,29.064950317973143,1.9620651201283543,0.00194854966754118,0.0012402378129979567,-0.0007083118545432234,0.9030805618406534,0.9442284409844875,0.04114787914383411,True,0.08302510000021357
100__M_Left_little_finger.BMP,1,20260904,27.543327437384054,29.58165378606391,2.038326348679856,0.0017606265888876578,0.001101119925085298,-0.0006595066638023597,0.8360315830876828,0.9451587182465792,0.10912713515889638,True,0.08285070000010819
100__M_Left_middle_finger.BMP,2,20260905,26.975698817251885,28.703501233880505,1.72780241662862,0.002006458207622953,0.001347875801952291,-0.0006585824056706622,0.9180676572268606,0.9430396579003334,0.024972000673472827,True,0.09030089999987467
100__M_Left_ring_finger.BMP,3,20260906,27.11595960522663,28.86601640455487,1.750056799328238,0.0019426923923962264,0.0012983696632889558,-0.0006443227291072706,0.8937056085785031,0.9433936305345297,0.04968802195602662,True,0.08393040000009933
100__M_Left_thumb_finger.BMP,4,20260907,27.025428446442916,28.417826467787087,1.392398021344171,0.001983613956844418,0.0014395188401700582,-0.0005440951166743597,0.9183081810625792,0.9495651641521454,0.03125698308956626,True,0.08789019999994707
100__M_Right_index_finger.BMP,5,20260908,27.33832358149783,28.90574931965478,1.5674257381569525,0.0018457277503645538,0.0012865452569282743,-0.0005591824934362795,0.8629819838281274,0.936973811965704,0.07399182813757654,True,0.08225670000001628
100__M_Right_little_finger.BMP,6,20260909,27.545865615333412,29.748093922371076,2.2022283070376645,0.0017595979140681288,0.0010597187237076167,-0.0006998791903605121,0.8104901290780604,0.9518756379239559,0.1413855088458955,True,0.08478599999989456
100__M_Right_middle_finger.BMP,7,20260910,27.0060556868607,28.572216534826083,1.5661608479653815,0.0019924821129826903,0.001389243413741668,-0.0006032386992410224,0.903213450398922,0.9261454088122845,0.022931958413362485,True,0.09215920000042388
100__M_Right_ring_finger.BMP,8,20260911,26.969843789300402,28.677215074873395,1.707371285572993,0.0020091650786519823,0.0013560587099217011,-0.0006531063687302812,0.8954291673393547,0.9289068159766197,0.03347764863726499,True,0.08093229999985851
100__M_Right_thumb_finger.BMP,9,20260912,27.161751816638727,28.519912983645614,1.3581611670068874,0.001922316166506854,0.001406075696340351,-0.000516240470166503,0.892115608337462,0.9526561815886497,0.06054057325118778,True,0.08235490000015488
101__M_Left_index_finger.BMP,10,20260913,27.65453077986383,30.22411538829462,2.569584608430791,0.0017161171127085856,0.0009497044242005326,-0.000766412688508053,0.815602342308253,0.9501352746617794,0.13453293235352637,True,0.08719370000017079
101__M_Left_little_finger.BMP,11,20260914,27.467759972205773,29.828114766464005,2.3603547942582317,0.0017915296607231772,0.0010403716838728691,-0.000751157976850308,0.828155792743802,0.9535602454493046,0.1254044527055026,True,0.10280389999979889
101__M_Left_middle_finger.BMP,12,20260915,27.50575440211125,29.96718980572907,2.46143540361782,0.0017759247500348746,0.001007583436125518,-0.0007683413139093567,0.8396039492769242,0.9535405513384342,0.11393660206151002,True,0.08238299999993615
101__M_Left_ring_finger.BMP,13,20260916,27.34370304348522,29.724444771572532,2.3807417280873118,0.0018434429238589794,0.00106550507559681,-0.0007779378482621693,0.8332831610777676,0.958264880137682,0.1249817190599144,True,0.08358479999969859
101__M_Left_thumb_finger.BMP,14,20260917,27.16505850819402,29.129286381235104,1.9642278730410858,0.001920853083826639,0.0012220004388619388,-0.0006988526449647002,0.9009023645392656,0.9541745571519137,0.05327219261264804,True,0.08310250000022279
101__M_Right_index_finger.BMP,15,20260918,27.44530062783411,30.227140636057804,2.7818400082236927,0.0018008184736603657,0.000949043100869227,-0.0008517753727911387,0.834343347489655,0.934720324562788,0.10037697707313298,True,0.07993260000012015
101__M_Right_little_finger.BMP,16,20260919,27.55713207444114,30.198015753563716,2.6408836791225774,0.0017550390843495813,0.000955429011919016,-0.0007996100724305653,0.8194375643723607,0.9582037154645919,0.13876615109223123,True,0.08218729999998686
101__M_Right_middle_finger.BMP,17,20260920,27.57644353932978,30.26458316352474,2.68813962419496,0.0017472524015299683,0.0009408961330505425,-0.0008063562684794258,0.8142187826405763,0.9568208952958583,0.142602112655282,True,0.08163860000013301
101__M_Right_ring_finger.BMP,18,20260921,27.665177212365858,30.351619309470344,2.686442097104486,0.0017119153211632555,0.0009222275014930393,-0.0007896878196702162,0.7983425663143694,0.9464225896915197,0.14808002337715032,True,0.0808219000000463
101__M_Right_thumb_finger.BMP,19,20260922,27.335348157547728,29.83890426093826,2.503556103390533,0.0018469927225164113,0.0010377902206276754,-0.0008092025018887358,0.858121281169951,0.9527476467959881,0.0946263656260371,True,0.08084020000023884
102__M_Left_index_finger.BMP,20,20260923,27.33157565603557,28.99184617257251,1.66027051653694,0.0018485978108354758,0.0012612912495559264,-0.0005873065612795494,0.8681470317237377,0.9407151022911072,0.07256807056736947,True,0.08095559999992474
102__M_Left_little_finger.BMP,21,20260924,27.31592335353078,29.111695928324806,1.7957725747940252,0.0018552723180370993,0.0012269600073472014,-0.0006283123106898979,0.8486473994605244,0.9481673347270488,0.09951993526652447,True,0.08267100000011851
102__M_Left_middle_finger.BMP,22,20260925,27.22303592144263,29.069375302366524,1.8463393809238937,0.0018953804984295324,0.0012389747902581626,-0.0006564057081713697,0.8928348465111852,0.9515430217782259,0.05870817526704075,True,0.08306990000028236
102__M_Left_ring_finger.BMP,23,20260926,27.389900713874408,29.705012611764268,2.31511189788986,0.0018239373997427683,0.0010702832748405884,-0.0007536541249021798,0.8663996163203717,0.9593402899105549,0.09294067359018321,True,0.08335420000003069
102__M_Left_thumb_finger.BMP,24,20260927,27.44651472742927,28.90568309187351,1.4591683644442384,0.0018003151130394674,0.0012865648762628722,-0.0005137502367765952,0.8509772991045713,0.9182711598286629,0.0672938607240916,True,0.08298100000001796
102__M_Right_index_finger.BMP,25,20260928,27.886985107834285,29.80728346582807,1.9202983579937865,0.0016266776109177482,0.0010453739014747642,-0.000581303709442984,0.7498933188058734,0.8696436045011282,0.11975028569525481,True,0.08364179999989574
102__M_Right_little_finger.BMP,26,20260929,27.52642452498187,29.91579000956684,2.389365484584971,0.0017674923692393605,0.0010195792751536373,-0.0007479130940857232,0.802248267390132,0.9590553830225468,0.15680711563241478,True,0.08622460000015053
102__M_Right_middle_finger.BMP,27,20260930,27.625509358521654,29.862735842693866,2.2372264841722114,0.001727623345817366,0.001032111021495369,-0.0006955123243219971,0.8108046016703844,0.9232744814587831,0.11246987978839873,True,0.08247660000006363
102__M_Right_ring_finger.BMP,28,20260931,27.800519650757877,30.07400932338375,2.273489672625871,0.0016593883430907736,0.0009831031047651197,-0.0006762852383256539,0.7923192567611337,0.9217123071718216,0.12939305041068794,True,0.08167020000018965
102__M_Right_thumb_finger.BMP,29,20260932,27.163717517147358,29.113144363368374,1.9494268462210158,0.0019214462860462555,0.0012265508666322276,-0.0006948954194140279,0.9185971154282689,0.9509605321564675,0.032363416728198535,True,0.082275700000082
103__F_Left_index_finger.BMP,30,20260933,27.26757422976751,29.165425571733714,1.8978513419662022,0.0018760420867329592,0.0012118739295963897,-0.0006641681571365695,0.8847074074665904,0.9504221453597546,0.06571473789316418,True,0.08407599999964077
103__F_Left_little_finger.BMP,31,20260934,27.65297024619617,29.68535280445473,2.0323825582585613,0.0017167338692757334,0.001075139256587446,-0.0006415946126882874,0.7800264205748438,0.9031302320783138,0.12310381150346994,True,0.08236769999984972
103__F_Left_middle_finger.BMP,32,20260935,27.116006594453502,28.930167829521753,1.8141612350682514,0.001942671373220636,0.0012793318644771655,-0.0006633395087434705,0.8782442579433322,0.9464581314110756,0.06821387346774344,True,0.08132100000011633
103__F_Left_ring_finger.BMP,33,20260936,27.060423154718013,28.820720191257912,1.7602970365398996,0.00196769455809708,0.001311982314734354,-0.0006557122433627262,0.8824632970753908,0.9282279291200638,0.04576463204467296,True,0.08095609999963926
103__F_Left_thumb_finger.BMP,34,20260937,27.228686636653183,29.14298769570229,1.9143010590491052,0.0018929159746588432,0.0012181512927312446,-0.0006747646819275986,0.8606000508263111,0.9391283156030178,0.07852826477670671,True,0.0806812999999238
103__F_Right_index_finger.BMP,35,20260938,27.345440769425615,29.571424697404183,2.225983927978568,0.0018427054616241309,0.0011037164877473141,-0.0007389889738768167,0.8663069324684143,0.946577116314888,0.08027018384647366,True,0.0814061999999467
103__F_Right_little_finger.BMP,36,20260939,28.18642655817279,30.26788460186417,2.0814580436913808,0.0015182991335278722,0.0009401811504036578,-0.0005781179831242144,0.6677007785265445,0.7997481130149364,0.1320473344883919,True,0.08095719999982975
103__F_Right_middle_finger.BMP,37,20260940,27.08791932276897,29.052912863077847,1.9649935403088783,0.0019552759917005583,0.001243680181359106,-0.0007115958103414523,0.8843313550983667,0.9526699934470654,0.06833863834869869,True,0.08078100000011545
103__F_Right_ring_finger.BMP,38,20260941,27.133814875205246,28.989321865425033,1.8555069902197872,0.001934721743265666,0.00126202457961986,-0.000672697163645806,0.880372744738549,0.9449666131696701,0.06459386843112114,True,0.08429040000009991
103__F_Right_thumb_finger.BMP,39,20260942,27.32186376830995,29.275763810319155,1.9539000420092059,0.0018527363537319342,0.001181472504182288,-0.0006712638495496462,0.8584118941926658,0.8865814198435545,0.028169525650888705,True,0.0820661999996446
104__M_Left_index_finger.BMP,40,20260943,27.271070912025156,28.791557159322725,1.520486247297569,0.0018745322165342555,0.0013208219696356895,-0.0005537102468985661,0.8862210293882489,0.9445675948016643,0.05834656541341543,True,0.08111950000011348
104__M_Left_little_finger.BMP,41,20260944,27.16694360954113,29.067795163034763,1.9008515534936343,0.0019200194980609653,0.0012394256615164546,-0.0006805938365445107,0.854877375469029,0.9404415710238219,0.08556419555479289,True,0.08515780000016093
104__M_Left_middle_finger.BMP,42,20260945,26.920764407063782,28.980919647768218,2.060155240704436,0.0020319993247562033,0.0012644685593992092,-0.0007675307653569941,0.872109222517103,0.9344502209380865,0.06234099842098351,True,0.08173929999975371
104__M_Left_ring_finger.BMP,43,20260946,27.14201063986416,28.92823067824672,1.7862200383825595,0.0019310740865766895,0.0012799026320660333,-0.0006511714545106562,0.8571610224673748,0.9419405587408543,0.08477953627347945,True,0.08183019999978569
104__M_Left_thumb_finger.BMP,44,20260947,27.197881445998743,28.510634733522053,1.3127532875233108,0.0019063904571996076,0.0014090828419765224,-0.0004973076152230852,0.8948993438842595,0.9401386968823672,0.04523935299810766,True,0.08096269999987271
104__M_Right_index_finger.BMP,45,20260948,27.513545929318745,29.753919643560867,2.2403737142421214,0.0017727414811670172,0.0010582981468378909,-0.0007144433343291264,0.8536608864407241,0.9268537940859795,0.07319290764525532,True,0.08228820000022097
104__M_Right_little_finger.BMP,46,20260949,27.325480155188487,29.06698841694695,1.7415082617584616,0.0018511942151954509,0.0012396559188008415,-0.0006115382963946094,0.8675463790373206,0.938005592802763,0.0704592137654424,True,0.08339230000001407
104__M_Right_middle_finger.BMP,47,20260950,27.135199034117605,28.609126859086643,1.4739278249690386,0.001934105217901371,0.0013774863821110705,-0.0005566188357903005,0.8971516556446553,0.952027088432312,0.05487543278765672,True,0.08205190000035145
