Family,Technique ID,Technique,Metric domain,Role hint,Is image-processing technique,Images,MSE mean,MSE std,PSNR (dB) mean,PSNR (dB) std,SSIM mean,SSIM std,Ridge coherence mean,Ridge coherence std,Delta PSNR vs degraded (dB) mean,Delta PSNR vs degraded (dB) std,Delta PSNR vs common preprocessing (dB) mean,Delta PSNR vs common preprocessing (dB) std,PSNR delta to 28.17 dB mean,PSNR delta to 28.17 dB std,Runtime (s) mean,Runtime (s) std,Binary foreground/ridge ratio mean,Binary foreground/ridge ratio std,Connected components mean,Connected components std,Small components <20px mean,Small components <20px std,Largest component fraction mean,Largest component fraction std,Fragmentation per 1000 ridge pixels mean,Fragmentation per 1000 ridge pixels std,Skeleton pixels mean,Skeleton pixels std,Skeleton endpoints mean,Skeleton endpoints std,Skeleton bifurcations mean,Skeleton bifurcations std,Ridge continuity proxy mean,Ridge continuity proxy std,Structural coherence mean,Structural coherence std,Reference ROI IoU proxy mean,Reference ROI IoU proxy std,Table,Main Metric,Result,Metric column
Segmentation,S5,Orientation-confidence segmentation,foreground mask,M3 candidate,True,24.0,,,,,,,,,,,,,,,,,0.38797569274902344,0.04887132119120638,74.04166666666667,58.02584069538155,57.958333333333336,46.193806442240586,0.7382862443725268,0.22502340498066795,3.265035970238903,3.0195035960567407,3571.6666666666665,486.9800162551684,181.16666666666666,101.27477331569263,201.625,44.74741916288727,25.26058779865785,11.11022606935951,0.6348928213119507,0.11925657517552414,0.38844700537192284,0.04892043453734666,Technique summary,,,
Thinning / Feature Extraction,T1,Standard skeletonisation,skeleton,M4 candidate,True,24.0,,,,,,,,,,,,,,,,,0.04837354024251302,0.02047941015120394,57.0,27.313000567495326,34.583333333333336,20.043250336658748,0.2851389156033595,0.1828000580745195,22.065694056733182,12.816215873237491,3170.2083333333335,1342.1386236693015,151.75,57.96044378262007,54.208333333333336,32.953167251177206,23.508203751982688,14.190318403409382,0.5192300962905089,0.15480339093308446,,,Technique summary,,,
Thinning / Feature Extraction,T2,Zhang-Suen thinning,skeleton,M4 candidate,True,24.0,,,,,,,,,,,,,,,,,0.05162874857584635,0.022988530532075446,57.0,27.313000567495326,33.416666666666664,20.02154636486852,0.28395779244601727,0.18604879365377394,21.191842667591125,12.641376612971118,3094.5,1339.2160912752038,146.33333333333334,56.940599610980314,49.625,32.82604016696924,23.83888544682632,14.585102179206677,0.5199800754586855,0.15749230360267896,,,Technique summary,,,
Thinning / Feature Extraction,T3,Guo-Hall thinning,skeleton,M4 candidate,True,24.0,,,,,,,,,,,,,,,,,0.04966608683268229,0.020127884546018795,57.0,27.313000567495326,33.166666666666664,19.243670143185007,0.2773922849446535,0.1816088832218956,21.092701672423335,11.977065643178138,3222.875,1322.578387994944,158.04166666666666,60.434282789091526,60.25,32.64466132529909,23.046430752457173,13.94087373536088,0.5170500837266445,0.15547793470338642,,,Technique summary,,,
Thinning / Feature Extraction,T4,Morphological skeleton / medial axis,skeleton,M4 candidate,True,24.0,,,,,,,,,,,,,,,,,0.05155181884765625,0.020097377410248942,57.0,27.313000567495326,30.583333333333332,18.050452641961922,0.27197639861454564,0.18334210085254998,19.99128366338705,11.096774586924198,3378.5,1317.1017259580747,177.5,65.15399817555995,78.83333333333333,34.42151332684466,21.3351318949346,12.239232664463305,0.5175901042918364,0.15340397513381282,,,Technique summary,,,
Denoising,D6,Wavelet denoising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family winners,Best PSNR,15.923194625551028,PSNR (dB) mean
Restoration/Deblurring,R1,Wiener deconvolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family winners,Best PSNR,16.17071484500286,PSNR (dB) mean
Contrast Enhancement,C4,Contrast stretching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family winners,Best PSNR with trade-off checked,17.111871512767234,PSNR (dB) mean
Fingerprint Ridge Enhancement,G7,Coherence-guided directional diffusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family winners,Best ridge coherence,0.497794425735871,Ridge coherence mean
Segmentation,S3,Local variance foreground segmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family winners,Best foreground agreement proxy,0.8596797398964121,Reference ROI IoU proxy mean
Morphological Ridge Restoration,M3-2,Closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family winners,Lowest fragmentation,4.655810460399397,Fragmentation per 1000 ridge pixels mean
Thinning / Feature Extraction,T4,Morphological skeleton / medial axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Family winners,Fewest tiny skeleton components,30.583333333333332,Small components <20px mean
