Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Experiment,Pipeline ID,Pipeline,Stage order,Stage,Output domain,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs previous stage,Delta Local contrast vs previous stage,Delta Fragmentation per 1000 ridge pixels vs previous stage,Delta Small connected components <20px vs previous stage,Delta Ridge continuity proxy vs previous stage,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0,Delta Ridge coherence vs CLAHE,Delta Local contrast vs CLAHE,Delta Foreground/background separation proxy vs CLAHE,Delta Ridge coverage in foreground vs CLAHE,Delta Fragmentation per 1000 ridge pixels vs CLAHE,Delta Small connected components <20px vs CLAHE,Delta Ridge continuity proxy vs CLAHE,Controlled index,Severity,Seed,Protocol source,MSE,PSNR (dB),SSIM,Delta PSNR vs previous stage (dB),Delta MSE vs previous stage,Delta SSIM vs previous stage,Delta coherence vs previous stage
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C3,P0 -> CLAHE -> Total Variation Restoration,1,CLAHE,grayscale,0.005179500032681972,0.7708094716072083,0.25653764605522156,0.25653764605522156,1.0,0.4291229248046875,182.0,86.0,28123.0,59.0,1.0,0.5019023418426514,2.097926963695196,6075.0,182.0,86.0,33.379120879120876,0.009239137172698975,0.03173069655895233,-0.3138248451186607,0.0,1.9299230181583091,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C3,P0 -> CLAHE -> Total Variation Restoration,2,Total Variation Restoration,grayscale,0.03729619999649003,0.793487548828125,0.23311802744865417,0.23311802744865417,1.0,0.42364501953125,193.0,81.0,27764.0,65.0,1.0,0.5066633224487305,2.3411612159631177,5858.0,193.0,81.0,30.352331606217618,0.022678077220916748,-0.023419618606567383,0.24323425226792184,0.0,-3.026789272903258,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.006072998046875,-0.07059059285073888,0.0,-1.096866254744949,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.006072998046875,-0.07059059285073888,0.0,-1.096866254744949,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C4,P0 -> Total Variation Restoration -> CLAHE,0,P0,grayscale,8.040003012865782e-05,0.7615703344345093,0.22480694949626923,0.22480694949626923,1.0,0.417572021484375,187.0,98.0,27366.0,66.0,1.0,0.5232405066490173,2.4117518088138565,5881.0,187.0,98.0,31.449197860962567,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C4,P0 -> Total Variation Restoration -> CLAHE,1,Total Variation Restoration,grayscale,0.006351499992888421,0.7958945631980896,0.20261546969413757,0.20261546969413757,1.0,0.4139862060546875,187.0,84.0,27131.0,69.0,1.0,0.5279937982559204,2.543216247097416,5684.0,187.0,84.0,30.39572192513369,0.03432422876358032,-0.022191479802131653,0.13146443828355947,0.0,-1.053475935828878,0.03432422876358032,-0.022191479802131653,-0.022191479802131653,-0.0035858154296875,0.13146443828355947,0.0,-1.053475935828878,0.03432422876358032,-0.022191479802131653,-0.022191479802131653,-0.0035858154296875,0.13146443828355947,0.0,-1.053475935828878,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C4,P0 -> Total Variation Restoration -> CLAHE,2,CLAHE,grayscale,0.004645800043363124,0.7984113097190857,0.24683953821659088,0.24683953821659088,1.0,0.4251251220703125,188.0,76.0,27861.0,63.0,1.0,0.5043968558311462,2.26122536879509,5809.0,188.0,76.0,30.898936170212767,0.0025167465209960938,0.04422406852245331,-0.28199087830232594,0.0,0.5032142450790786,0.036840975284576416,0.022032588720321655,0.022032588720321655,0.0075531005859375,-0.15052644001876647,0.0,-0.5502616907497995,0.036840975284576416,0.022032588720321655,0.022032588720321655,0.0075531005859375,-0.15052644001876647,0.0,-0.5502616907497995,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,0,P0,grayscale,8.399999933317304e-05,0.7615703344345093,0.22480694949626923,0.22480694949626923,1.0,0.417572021484375,187.0,98.0,27366.0,66.0,1.0,0.5232405066490173,2.4117518088138565,5881.0,187.0,98.0,31.449197860962567,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,1,CLAHE,grayscale,0.004640200000721961,0.7708094716072083,0.25653764605522156,0.25653764605522156,1.0,0.4291229248046875,182.0,86.0,28123.0,59.0,1.0,0.5019023418426514,2.097926963695196,6075.0,182.0,86.0,33.379120879120876,0.009239137172698975,0.03173069655895233,-0.3138248451186607,0.0,1.9299230181583091,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,2,Coherence-Guided Directional Diffusion,grayscale,0.27564050001092255,0.7749226093292236,0.2325964868068695,0.2325964868068695,1.0,0.420135498046875,193.0,81.0,27534.0,63.0,1.0,0.5059199333190918,2.288080191762911,5966.0,193.0,81.0,30.911917098445596,0.004113137722015381,-0.02394115924835205,0.1901532280677154,0.0,-2.4672037806752805,0.013352274894714355,0.007789537310600281,0.007789537310600281,0.0025634765625,-0.12367161705094531,0.0,-0.5372807625169713,0.013352274894714355,0.007789537310600281,0.007789537310600281,0.0025634765625,-0.12367161705094531,0.0,-0.5372807625169713,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,3,Closing,binary ridge map,0.05424839997431263,0.7749226093292236,0.2325964868068695,0.2325964868068695,1.0,0.427490234375,162.0,109.0,28016.0,43.0,0.0,0.6644774675369263,1.53483723586522,6033.0,162.0,109.0,37.24074074074074,0.0,0.0,-0.7532429558976912,-1.0,6.328823642295145,0.013352274894714355,0.007789537310600281,0.007789537310600281,0.009918212890625,-0.8769145729486365,-1.0,5.791542879778174,0.013352274894714355,0.007789537310600281,0.007789537310600281,0.009918212890625,-0.8769145729486365,-1.0,5.791542879778174,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,0,P0,grayscale,8.910003816708922e-05,0.7615703344345093,0.22480694949626923,0.22480694949626923,1.0,0.417572021484375,187.0,98.0,27366.0,66.0,1.0,0.5232405066490173,2.4117518088138565,5881.0,187.0,98.0,31.449197860962567,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,1,CLAHE,grayscale,0.004775200039148331,0.7708094716072083,0.25653764605522156,0.25653764605522156,1.0,0.4291229248046875,182.0,86.0,28123.0,59.0,1.0,0.5019023418426514,2.097926963695196,6075.0,182.0,86.0,33.379120879120876,0.009239137172698975,0.03173069655895233,-0.3138248451186607,0.0,1.9299230181583091,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091,0.009239137172698975,0.03173069655895233,0.03173069655895233,0.0115509033203125,-0.3138248451186607,0.0,1.9299230181583091,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,2,Total Variation Restoration,grayscale,0.004912199976388365,0.793487548828125,0.23311802744865417,0.23311802744865417,1.0,0.42364501953125,193.0,81.0,27764.0,65.0,1.0,0.5066633224487305,2.3411612159631177,5858.0,193.0,81.0,30.352331606217618,0.022678077220916748,-0.023419618606567383,0.24323425226792184,0.0,-3.026789272903258,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.006072998046875,-0.07059059285073888,0.0,-1.096866254744949,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.006072998046875,-0.07059059285073888,0.0,-1.096866254744949,,,,,,,,,,,
Easy,0.0,100__M_Left_index_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\100__M_Left_index_finger_CR.BMP,data\SOCOFing\Real\100__M_Left_index_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,3,Closing,binary ridge map,0.055759600014425814,0.793487548828125,0.23311802744865417,0.23311802744865417,1.0,0.4290313720703125,166.0,102.0,28117.0,47.0,0.0,0.5040367245674133,1.6715865846285165,5930.0,166.0,102.0,35.72289156626506,0.0,0.0,-0.6695746313346012,-1.0,5.370559960047444,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.0114593505859375,-0.74016522418534,-1.0,4.273693705302495,0.03191721439361572,0.008311077952384949,0.008311077952384949,0.0114593505859375,-0.74016522418534,-1.0,4.273693705302495,,,,,,,,,,,
Easy,1.0,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B0,P0 only,0,P0,grayscale,8.600001456215978e-05,0.5187233686447144,0.15843753516674042,0.15843753516674042,1.0,0.236572265625,303.0,78.0,15504.0,117.0,7.0,0.3363003134727478,7.546439628482973,2932.0,303.0,78.0,9.676567656765677,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Easy,1.0,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B1,P0 -> CLAHE,0,P0,grayscale,8.129997877404094e-05,0.5187233686447144,0.15843753516674042,0.15843753516674042,1.0,0.236572265625,303.0,78.0,15504.0,117.0,7.0,0.3363003134727478,7.546439628482973,2932.0,303.0,78.0,9.676567656765677,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Easy,1.0,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B1,P0 -> CLAHE,1,CLAHE,grayscale,0.004854600003454834,0.5786245465278625,0.20286902785301208,0.20286902785301208,1.0,0.3397064208984375,447.0,154.0,22263.0,146.0,3.0,0.3512554466724396,6.5579661321475085,4284.0,447.0,154.0,9.583892617449665,0.05990117788314819,0.04443149268627167,-0.9884734963354642,-4.0,-0.09267503931601162,0.05990117788314819,0.04443149268627167,0.04443149268627167,0.1031341552734375,-0.9884734963354642,-4.0,-0.09267503931601162,0.05990117788314819,0.04443149268627167,0.04443149268627167,0.1031341552734375,-0.9884734963354642,-4.0,-0.09267503931601162,,,,,,,,,,,
Easy,1.0,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C1,P0 -> CLAHE -> Ordinary Gabor,0,P0,grayscale,7.840001489967108e-05,0.5187233686447144,0.15843753516674042,0.15843753516674042,1.0,0.236572265625,303.0,78.0,15504.0,117.0,7.0,0.3363003134727478,7.546439628482973,2932.0,303.0,78.0,9.676567656765677,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
Easy,1.0,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C1,P0 -> CLAHE -> Ordinary Gabor,1,CLAHE,grayscale,0.004608299990650266,0.5786245465278625,0.20286902785301208,0.20286902785301208,1.0,0.3397064208984375,447.0,154.0,22263.0,146.0,3.0,0.3512554466724396,6.5579661321475085,4284.0,447.0,154.0,9.583892617449665,0.05990117788314819,0.04443149268627167,-0.9884734963354642,-4.0,-0.09267503931601162,0.05990117788314819,0.04443149268627167,0.04443149268627167,0.1031341552734375,-0.9884734963354642,-4.0,-0.09267503931601162,0.05990117788314819,0.04443149268627167,0.04443149268627167,0.1031341552734375,-0.9884734963354642,-4.0,-0.09267503931601162,,,,,,,,,,,
