Category,Method ID,Technique,Member,Is member technique,Is baseline,Fixed parameters,Images,Coherence_mean,Coherence_std,Local_contrast_mean,Local_contrast_std,Ridge_coverage_mean,Fragmentation_mean,Fragmentation_std,Small_components_mean,Ridge_continuity_mean,Runtime_mean,Delta_coherence_vs_P0_mean,Delta_contrast_vs_P0_mean,Delta_fragmentation_vs_P0_mean,Delta_continuity_vs_P0_mean,Delta_coherence_vs_NLM_mean,Delta_contrast_vs_NLM_mean,Delta_fragmentation_vs_NLM_mean,Delta_continuity_vs_NLM_mean
Easy,B0,Degraded input / P0,Baseline,False,True,"{""operation"": ""P0 only; clip/float range only""}",3,0.6707563598950704,0.09516468123065948,0.18896201252937314,0.04556291617411181,0.3768513997395833,2.720275370018556,0.3303535112172235,1.0,23.93828364686274,0.0001853666423509,0.0,0.0,0.0,0.0,-0.0529003540674845,0.005771080652872633,0.09652879189140523,-1.7130246951783608
Easy,BL_CLAHE_c0.005,CLAHE,Baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}",3,0.6865443587303162,0.07569169417039408,0.20209655662377676,0.04774863147106408,0.3792266845703125,2.5041453226676764,0.40645186061541816,0.6666666666666666,25.17971839411266,0.005831266636960167,0.01578799883524573,0.013134544094403499,-0.21613004735087937,1.2414347472499199,-0.037112355232238735,0.018905624747276233,-0.11960125545947416,-0.4715899479284407
Easy,BL_CONTRAST_1_99,Contrast Stretching,Baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}",3,0.6707563598950704,0.09516468123065948,0.18896201252937314,0.04556291617411181,0.3768513997395833,2.720275370018556,0.3303535112172235,1.0,23.93828364686274,0.0010891666946311333,0.0,0.0,0.0,0.0,-0.0529003540674845,0.005771080652872633,0.09652879189140523,-1.7130246951783608
Easy,BL_ORD_GABOR,Ordinary Gabor,Baseline,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}",3,0.7368420958518982,0.040355910863048794,0.14182476947704947,0.029834478469996473,0.3130581546660554,4.662408219475203,1.4177168590314422,2.0,20.342331407572306,0.938687733374536,0.06608573595682778,-0.047137243052323634,1.9421328494566474,-3.5959522392904364,0.013185381889343262,-0.0413661623994509,2.0386616413480527,-5.308976934468797
Easy,BL_WIENER,Wiener Deconvolution,Baseline,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}",3,0.6964212656021118,0.08406945184792149,0.19866824150085446,0.048511002161635335,0.3822733561197917,2.6991781399820454,0.45937466653437026,1.3333333333333333,25.751274157413945,0.0021699666976928334,0.025664905707041368,0.009706228971481266,-0.021097230036510428,1.8129905105512047,-0.0272354483604431,0.015477309624354,0.07543156185489473,0.09996581537284392
Easy,M1_NLM_h0.06,Non-Local Means Denoising,Member 1,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}",3,0.7236567139625549,0.0845025522191647,0.18319093187650046,0.0466833410584809,0.3742421468098958,2.6237465781271503,0.4204383512045773,0.3333333333333333,25.6513083420411,0.09565076662693167,0.0529003540674845,-0.005771080652872633,-0.09652879189140523,1.7130246951783608,0.0,0.0,0.0,0.0
Easy,M2_MOD_GABOR,Literature-Inspired Modified / Orientation-Adaptive Gabor,Member 2,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}",3,0.6871332923571268,0.07171415029413518,0.17504112919171647,0.039672788500374534,0.3697001139322917,3.060249343024772,0.4202631140938224,1.3333333333333333,22.85854213356842,1.913638799994563,0.016376932462056466,-0.013920883337656634,0.3399739730062163,-1.0797415132943193,-0.036523421605428,-0.008149802684783899,0.43650276489762146,-2.79276620847268
Easy,M3_TV_w0.02,Total Variation Restoration,Member 3,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}",3,0.6934383908907572,0.0856581161060114,0.17962709565957383,0.04372215971024313,0.3746490478515625,2.840440987400953,0.39989686243752,1.6666666666666667,23.617082442385367,0.004671299985299466,0.022682030995686803,-0.009334916869799266,0.12016561738239756,-0.3212012044773758,-0.030218323071797632,-0.0035638362169265387,0.2166944092738028,-2.0342258996557363
Easy,M4_COH_DIFF,Coherence-Guided Directional Diffusion,Member 4,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}",3,0.677626391251882,0.09285185425982151,0.1739094108343124,0.039378435859632625,0.3696085611979167,2.832261261553654,0.4144366352675345,1.3333333333333333,23.134523034944184,0.2964452666152889,0.006870031356811467,-0.0150526016950607,0.11198589153509837,-0.8037606119185554,-0.04603032271067297,-0.009281521042187966,0.20851468342650362,-2.516785307096916
Medium,B0,Degraded input / P0,Baseline,False,True,"{""operation"": ""P0 only; clip/float range only""}",3,0.688483476638794,0.05535535678018638,0.19392853478590646,0.0233765322723377,0.3704376220703125,3.0193200104673927,0.7412402311995292,1.3333333333333333,26.37982835877573,0.00017566668490563332,0.0,0.0,0.0,0.0,-0.0499705870946248,0.0048263370990753,0.12476935530252142,-1.244496034313909
