Ablation type,Image,Severity,Stage,Operation,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,SSIM after,Ridge coherence after,Irreversible risk
Sequential current pipeline,412__M_Left_middle_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.002274,20.423048736871216,20.423048736871216,0.0,0.009071834659731591,0.7047279850341517,0.544333815574646,saturation is irreversible where clipping occurs
Independent component,412__M_Left_middle_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.159148593849107,,0.0012136267507942141,0.8867727229802609,0.5923289656639099,recoverable only statistically
Independent component,412__M_Left_middle_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,34.23527817360465,,0.00037711358941868584,0.9869695619736314,0.6736752390861511,pixel clipping at impulses
Independent component,412__M_Left_middle_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,27.64623294918279,,0.0017193991396142094,0.9299499098106623,0.7421824336051941,high-frequency detail loss
Independent component,412__M_Left_middle_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,23.33979656390241,,0.004634686294390293,0.9424902329512834,0.710951030254364,low contrast
Independent component,412__M_Left_middle_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,45.093853721168486,,3.094672016806799e-05,0.9992888553791046,0.6865206956863403,localized overwritten ridge detail
Sequential current pipeline,480__M_Right_thumb_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6720548272132874,reference only
Sequential current pipeline,480__M_Right_thumb_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,20.61771696987449,,0.008674177462562245,0.8286575679992437,0.7053198218345642,blur removes high-frequency ridge detail
Sequential current pipeline,480__M_Right_thumb_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,20.61771696987449,15.901772879103575,-4.715944090770915,0.025693467086597085,0.6108938735911772,0.7215223908424377,low contrast can bury weak ridges
Sequential current pipeline,480__M_Right_thumb_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,15.901772879103575,15.517171995030576,-0.38460088407299864,0.028072610532861482,0.5192963325300748,0.4948519766330719,noise can obscure ridge/valley boundaries
Sequential current pipeline,480__M_Right_thumb_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.517171995030576,15.428453412785313,-0.08871858224526363,0.028651981278980575,0.5134376040412625,0.48081427812576294,local clipping to 0/1 at impulse pixels
Sequential current pipeline,480__M_Right_thumb_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(136,156); radii=(4,14); rotation=0.6614; patch_blur_sigma=4.1000",15.428453412785313,15.42122241591465,-0.0072309968706623096,0.028699726523408173,0.5122240778470925,0.4813656508922577,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,480__M_Right_thumb_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000809,15.42122241591465,15.42122241591465,0.0,0.028699726523408173,0.5122240778470925,0.4813656508922577,saturation is irreversible where clipping occurs
Independent component,480__M_Right_thumb_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,27.16199476561112,,0.0019222086330948393,0.8916404054135084,0.6045134663581848,recoverable only statistically
Independent component,480__M_Right_thumb_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,32.182454585969005,,0.0006049988392314298,0.9879230054784268,0.6607565879821777,pixel clipping at impulses
Independent component,480__M_Right_thumb_finger.BMP,0.55,,Blur only,sigma=1.3400,inf,20.61771696987449,,0.008674177462562245,0.8286575679992437,0.7053198218345642,high-frequency detail loss
Independent component,480__M_Right_thumb_finger.BMP,0.55,,Contrast reduction + illumination only,contrast_scale=0.6810; illumination_amplitude=0.0880,inf,18.500065088758088,,0.014125163747416247,0.8359142385741248,0.6956622004508972,low contrast
Independent component,480__M_Right_thumb_finger.BMP,0.55,,Partial smudge/occlusion only,"radii=(4,14); patch_blur_sigma=4.1000",inf,39.99956526186912,,0.00010001001071643402,0.9981482295238226,0.6716803312301636,localized overwritten ridge detail
Sequential current pipeline,514__F_Left_middle_finger.BMP,0.75,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6954001188278198,reference only
Sequential current pipeline,514__F_Left_middle_finger.BMP,0.75,1.0,Optical/sensor Gaussian blur,sigma=1.7000,inf,20.019628568274754,,0.009954905533543485,0.7412801907601133,0.7465366721153259,blur removes high-frequency ridge detail
Sequential current pipeline,514__F_Left_middle_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,20.019628568274754,13.926082972526888,-6.093545595747866,0.040494095499499956,0.5292446797903646,0.841562032699585,low contrast can bury weak ridges
Sequential current pipeline,514__F_Left_middle_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,13.926082972526888,13.580550255224253,-0.34553271730263546,0.04384751390397415,0.33570026549050724,0.3469490706920624,noise can obscure ridge/valley boundaries
Sequential current pipeline,514__F_Left_middle_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,13.580550255224253,13.515433060698115,-0.06511719452613818,0.04450990772472939,0.3295816420291924,0.33369794487953186,local clipping to 0/1 at impulse pixels
Sequential current pipeline,514__F_Left_middle_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(150,149); radii=(6,19); rotation=-0.7610; patch_blur_sigma=4.5000",13.515433060698115,13.510897168331795,-0.004535892366320127,0.044556419395196015,0.3285024152864841,0.3337242603302002,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,514__F_Left_middle_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000763,13.510897168331795,13.510897168331795,0.0,0.044556419395196015,0.3285024152864841,0.3337242603302002,saturation is irreversible where clipping occurs
Independent component,514__F_Left_middle_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.632615032407724,,0.002733622225230093,0.8065088622354567,0.5962014198303223,recoverable only statistically
Independent component,514__F_Left_middle_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,30.46894990335234,,0.0008976458133551635,0.9757796130714603,0.6899356842041016,pixel clipping at impulses
Independent component,514__F_Left_middle_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,20.019628568274754,,0.009954905533543485,0.7412801907601133,0.7465366721153259,high-frequency detail loss
Independent component,514__F_Left_middle_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,15.34941028181848,,0.02917823191396682,0.8037777144915779,0.8103739619255066,low contrast
Independent component,514__F_Left_middle_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,36.79345164780257,,0.00020924487766286256,0.995157543788217,0.6942358613014221,localized overwritten ridge detail
Sequential current pipeline,457__M_Right_index_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6938312649726868,reference only
Sequential current pipeline,457__M_Right_index_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,25.198718277134077,,0.003020843123026916,0.942561846293807,0.7515702247619629,blur removes high-frequency ridge detail
Sequential current pipeline,457__M_Right_index_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,25.198718277134077,19.425569732647716,-5.773148544486361,0.011414135575572672,0.8182683278848752,0.792748212814331,low contrast can bury weak ridges
Sequential current pipeline,457__M_Right_index_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,19.425569732647716,18.921995002508865,-0.5035747301388511,0.012817416584724127,0.695441411250675,0.6089485883712769,noise can obscure ridge/valley boundaries
Sequential current pipeline,457__M_Right_index_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,18.921995002508865,18.791541420688468,-0.13045358182039735,0.01320826756243035,0.6904756018801919,0.6016290187835693,local clipping to 0/1 at impulse pixels
Sequential current pipeline,457__M_Right_index_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(127,123); radii=(3,8); rotation=0.0216; patch_blur_sigma=3.7000",18.791541420688468,18.777409222122316,-0.014132198566151999,0.013251318050460982,0.6898256189738503,0.6012032628059387,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,457__M_Right_index_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.004944,18.777409222122316,18.777409222122316,0.0,0.013251318050460982,0.6898256189738503,0.6012032628059387,saturation is irreversible where clipping occurs
Independent component,457__M_Right_index_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.68405645737892,,0.0010754602281227434,0.8959073657821417,0.6202948093414307,recoverable only statistically
Independent component,457__M_Right_index_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,32.57426936155562,,0.0005528064019042767,0.9847336523347795,0.6835969686508179,pixel clipping at impulses
Independent component,457__M_Right_index_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,25.198718277134077,,0.003020843123026916,0.942561846293807,0.7515702247619629,high-frequency detail loss
Independent component,457__M_Right_index_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,21.885917092890082,,0.006477512961935997,0.9017882563897371,0.7433936595916748,low contrast
Independent component,457__M_Right_index_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,40.75018616664255,,8.41359074792436e-05,0.9991593064627647,0.6931930780410767,localized overwritten ridge detail
Sequential current pipeline,195__M_Right_index_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.7098790407180786,reference only
Sequential current pipeline,195__M_Right_index_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,22.265360985523706,,0.005935590095227984,0.8840116666958332,0.7721303701400757,blur removes high-frequency ridge detail
Sequential current pipeline,195__M_Right_index_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,22.265360985523706,16.053989422717112,-6.211371562806594,0.024808531502227057,0.6552431008146181,0.7984659075737,low contrast can bury weak ridges
Sequential current pipeline,195__M_Right_index_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,16.053989422717112,15.671614950072303,-0.38237447264480906,0.027091840182367606,0.5466579545383192,0.5441724061965942,noise can obscure ridge/valley boundaries
Sequential current pipeline,195__M_Right_index_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.671614950072303,15.575890586142778,-0.09572436392952532,0.027695610407883486,0.5404466881630572,0.530623197555542,local clipping to 0/1 at impulse pixels
Sequential current pipeline,195__M_Right_index_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(117,123); radii=(4,14); rotation=-0.4076; patch_blur_sigma=4.1000",15.575890586142778,15.568568254884044,-0.0073223312587344935,0.02774234539963244,0.5394321414318124,0.5299065709114075,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,195__M_Right_index_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.001297,15.568568254884044,15.568568254884044,0.0,0.02774234539963244,0.5394321414318124,0.5299065709114075,saturation is irreversible where clipping occurs
Independent component,195__M_Right_index_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,27.373469290986115,,0.001830851292208618,0.8789140914399027,0.62872314453125,recoverable only statistically
Independent component,195__M_Right_index_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,30.97176066779721,,0.0007995100609276089,0.9816926896843873,0.6886816024780273,pixel clipping at impulses
Independent component,195__M_Right_index_finger.BMP,0.55,,Blur only,sigma=1.3400,inf,22.265360985523706,,0.005935590095227984,0.8840116666958332,0.7721303701400757,high-frequency detail loss
Independent component,195__M_Right_index_finger.BMP,0.55,,Contrast reduction + illumination only,contrast_scale=0.6810; illumination_amplitude=0.0880,inf,18.078362721608315,,0.015565523370049503,0.8107703972257301,0.7457570433616638,low contrast
Independent component,195__M_Right_index_finger.BMP,0.55,,Partial smudge/occlusion only,"radii=(4,14); patch_blur_sigma=4.1000",inf,38.178930222915774,,0.00015209221251577532,0.9978922440963983,0.7091566324234009,localized overwritten ridge detail
Sequential current pipeline,183__M_Left_ring_finger.BMP,0.75,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6902533173561096,reference only
Sequential current pipeline,183__M_Left_ring_finger.BMP,0.75,1.0,Optical/sensor Gaussian blur,sigma=1.7000,inf,17.956138591143706,,0.01600980863686776,0.716409036600329,0.7467641234397888,blur removes high-frequency ridge detail
Sequential current pipeline,183__M_Left_ring_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,17.956138591143706,13.301376458050747,-4.654762133092959,0.04675869202500319,0.5143891700285421,0.8375502824783325,low contrast can bury weak ridges
Sequential current pipeline,183__M_Left_ring_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,13.301376458050747,12.983154364867689,-0.31822209318305816,0.05031350393280451,0.3303833585972942,0.37600699067115784,noise can obscure ridge/valley boundaries
Sequential current pipeline,183__M_Left_ring_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,12.983154364867689,12.919378924515572,-0.06377544035211713,0.05105780114516405,0.32463815444293753,0.3609638512134552,local clipping to 0/1 at impulse pixels
Sequential current pipeline,183__M_Left_ring_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(145,124); radii=(6,19); rotation=0.4086; patch_blur_sigma=4.5000",12.919378924515572,12.910450679510072,-0.008928245005499491,0.05116287396425381,0.32278156574308914,0.3605555295944214,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,183__M_Left_ring_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000946,12.910450679510072,12.910450679510072,0.0,0.05116287396425381,0.32278156574308914,0.3605555295944214,saturation is irreversible where clipping occurs
Independent component,183__M_Left_ring_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.545384385993515,,0.0027890837887804497,0.8177251881682277,0.6160668730735779,recoverable only statistically
Independent component,183__M_Left_ring_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,30.4836258736491,,0.0008946175479822016,0.9790163718321919,0.678438663482666,pixel clipping at impulses
Independent component,183__M_Left_ring_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,17.956138591143706,,0.01600980863686776,0.716409036600329,0.7467641234397888,high-frequency detail loss
Independent component,183__M_Left_ring_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,15.313788220607819,,0.029418544228651096,0.8280164934949595,0.8039743304252625,low contrast
Independent component,183__M_Left_ring_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,34.85554172256996,,0.00032692326511482746,0.9953891348106824,0.6877598762512207,localized overwritten ridge detail
Sequential current pipeline,494__F_Left_thumb_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.7084993124008179,reference only
Sequential current pipeline,494__F_Left_thumb_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,24.674977957225902,,0.0034080205454917563,0.9429844226021766,0.7459393739700317,blur removes high-frequency ridge detail
Sequential current pipeline,494__F_Left_thumb_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,24.674977957225902,19.385899508052493,-5.2890784491734095,0.011518874568973457,0.8280140210317634,0.7981334924697876,low contrast can bury weak ridges
Sequential current pipeline,494__F_Left_thumb_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,19.385899508052493,18.887326674130374,-0.49857283392211826,0.012920143361006064,0.7216909414729978,0.6284786462783813,noise can obscure ridge/valley boundaries
Sequential current pipeline,494__F_Left_thumb_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,18.887326674130374,18.707484870883185,-0.17984180324718935,0.013466400077413966,0.71423757834687,0.6170695424079895,local clipping to 0/1 at impulse pixels
Sequential current pipeline,494__F_Left_thumb_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(115,108); radii=(3,8); rotation=-0.6356; patch_blur_sigma=3.7000",18.707484870883185,18.679621036724463,-0.02786383415872251,0.013553076706866908,0.7133231194557166,0.6164482831954956,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,494__F_Left_thumb_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.005905,18.679621036724463,18.679621036724463,0.0,0.013553076706866908,0.7133231194557166,0.6164482831954956,saturation is irreversible where clipping occurs
Independent component,494__F_Left_thumb_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.58110878528965,,0.0011012581144689087,0.9098620866763591,0.6495068669319153,recoverable only statistically
Independent component,494__F_Left_thumb_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,33.81417640479915,,0.0004155108411649242,0.9909082708343155,0.6990525722503662,pixel clipping at impulses
Independent component,494__F_Left_thumb_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,24.674977957225902,,0.0034080205454917563,0.9429844226021766,0.7459393739700317,high-frequency detail loss
Independent component,494__F_Left_thumb_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,22.305783164094194,,0.005880600595945916,0.9155118211597651,0.7673035264015198,low contrast
Independent component,494__F_Left_thumb_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,44.45976321451476,,3.581159617233043e-05,0.9993862246508598,0.7078922390937805,localized overwritten ridge detail
Sequential current pipeline,159__M_Right_thumb_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.520875871181488,reference only
Sequential current pipeline,159__M_Right_thumb_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,24.798674473216384,,0.0033123220270241563,0.8955579143229723,0.5585123300552368,blur removes high-frequency ridge detail
Sequential current pipeline,159__M_Right_thumb_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,24.798674473216384,15.741948991329064,-9.05672548188732,0.026656621219641175,0.7106229316088185,0.8188727498054504,low contrast can bury weak ridges
Sequential current pipeline,159__M_Right_thumb_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,15.741948991329064,15.384271085564365,-0.3576779057646995,0.028944955848233353,0.40530220984494036,0.383685439825058,noise can obscure ridge/valley boundaries
Sequential current pipeline,159__M_Right_thumb_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.384271085564365,15.276188014645397,-0.1080830709189673,0.029674348891846516,0.39656602293199406,0.371364951133728,local clipping to 0/1 at impulse pixels
Sequential current pipeline,159__M_Right_thumb_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(115,125); radii=(4,14); rotation=0.7976; patch_blur_sigma=4.1000",15.276188014645397,15.26256699638508,-0.013621018260316475,0.02976756429694738,0.3952516253058921,0.37059158086776733,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,159__M_Right_thumb_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.003479,15.26256699638508,15.26256699638508,0.0,0.02976756429694738,0.3952516253058921,0.37059158086776733,saturation is irreversible where clipping occurs
Independent component,159__M_Right_thumb_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,28.114162157844774,,0.00154377421996166,0.7417154424443841,0.47575923800468445,recoverable only statistically
Independent component,159__M_Right_thumb_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,31.702894755595807,,0.0006756324877713572,0.9782873771634698,0.5227491855621338,pixel clipping at impulses
Independent component,159__M_Right_thumb_finger.BMP,0.55,,Blur only,sigma=1.3400,inf,24.798674473216384,,0.0033123220270241563,0.8955579143229723,0.5585123300552368,high-frequency detail loss
Independent component,159__M_Right_thumb_finger.BMP,0.55,,Contrast reduction + illumination only,contrast_scale=0.6810; illumination_amplitude=0.0880,inf,16.610792869308966,,0.021823314583365935,0.8194209593101367,0.8006627559661865,low contrast
Independent component,159__M_Right_thumb_finger.BMP,0.55,,Partial smudge/occlusion only,"radii=(4,14); patch_blur_sigma=4.1000",inf,36.34828382921401,,0.00023183105793798606,0.9979224816464335,0.520393967628479,localized overwritten ridge detail
Sequential current pipeline,493__M_Left_little_finger.BMP,0.75,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.540737509727478,reference only
Sequential current pipeline,493__M_Left_little_finger.BMP,0.75,1.0,Optical/sensor Gaussian blur,sigma=1.7000,inf,21.74798788776732,,0.006686536370330163,0.7843354062983617,0.5941852331161499,blur removes high-frequency ridge detail
Sequential current pipeline,493__M_Left_little_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,21.74798788776732,13.999048011523964,-7.748939876243355,0.0398194446582956,0.6223983826057189,0.7635961771011353,low contrast can bury weak ridges
Sequential current pipeline,493__M_Left_little_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,13.999048011523964,13.634225079422661,-0.364822932101303,0.04330893378654694,0.32312485929990326,0.29061079025268555,noise can obscure ridge/valley boundaries
Sequential current pipeline,493__M_Left_little_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,13.634225079422661,13.55545770280264,-0.07876737662002142,0.044101588202377154,0.315532468395505,0.2819529175758362,local clipping to 0/1 at impulse pixels
Sequential current pipeline,493__M_Left_little_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(142,148); radii=(6,19); rotation=-0.3678; patch_blur_sigma=4.5000",13.55545770280264,13.54801887120194,-0.007438831600699913,0.044177192527388644,0.31363286437437116,0.28244054317474365,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,493__M_Left_little_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.001282,13.54801887120194,13.54801887120194,0.0,0.044177192527388644,0.31363286437437116,0.28244054317474365,saturation is irreversible where clipping occurs
Independent component,493__M_Left_little_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.75939060966848,,0.00265497807521971,0.7261437158585489,0.45893871784210205,recoverable only statistically
Independent component,493__M_Left_little_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,28.8802183046899,,0.001294130788373593,0.9571904453521553,0.5341124534606934,pixel clipping at impulses
Independent component,493__M_Left_little_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,21.74798788776732,,0.006686536370330163,0.7843354062983617,0.5941852331161499,high-frequency detail loss
Independent component,493__M_Left_little_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,14.941825216979584,,0.03204922103234111,0.8463689634871502,0.7430214881896973,low contrast
Independent component,493__M_Left_little_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,36.08114905364858,,0.0002465386960381413,0.9951695536664836,0.5408902168273926,localized overwritten ridge detail
Sequential current pipeline,543__M_Right_middle_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.5887178182601929,reference only
Sequential current pipeline,543__M_Right_middle_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,27.430548515386004,,0.0018069458937264216,0.9445166096040011,0.6442112922668457,blur removes high-frequency ridge detail
Sequential current pipeline,543__M_Right_middle_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,27.430548515386004,19.308718249651285,-8.121830265734719,0.011725413712232449,0.8747394993681162,0.7668570876121521,low contrast can bury weak ridges
Sequential current pipeline,543__M_Right_middle_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,19.308718249651285,18.812303470486523,-0.4964147791647626,0.013145274302180324,0.6310515079747886,0.4926568567752838,noise can obscure ridge/valley boundaries
Sequential current pipeline,543__M_Right_middle_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,18.812303470486523,18.67270556320523,-0.13959790728129207,0.01357467509429695,0.623083235930673,0.4848663806915283,local clipping to 0/1 at impulse pixels
Sequential current pipeline,543__M_Right_middle_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(131,151); radii=(3,8); rotation=0.2981; patch_blur_sigma=3.7000",18.67270556320523,18.666619434933,-0.006086128272229985,0.013593711746510157,0.622298704735867,0.4842648506164551,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,543__M_Right_middle_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.003876,18.666619434933,18.666619434933,0.0,0.013593711746510157,0.622298704735867,0.4842648506164551,saturation is irreversible where clipping occurs
Independent component,543__M_Right_middle_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.86916478464076,,0.0010305842986611656,0.8244232701568603,0.5142853260040283,recoverable only statistically
Independent component,543__M_Right_middle_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,34.08338288537803,,0.00039053657344985393,0.9867893318912387,0.5835987329483032,pixel clipping at impulses
Independent component,543__M_Right_middle_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,27.430548515386004,,0.0018069458937264216,0.9445166096040011,0.6442112922668457,high-frequency detail loss
Independent component,543__M_Right_middle_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,20.542329210086876,,0.008826064135973324,0.94438511954391,0.7216178178787231,low contrast
Independent component,543__M_Right_middle_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,44.12710218658419,,3.866248649780912e-05,0.9991850194091797,0.5886538028717041,localized overwritten ridge detail
Sequential current pipeline,471__M_Left_little_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6053917407989502,reference only
Sequential current pipeline,471__M_Left_little_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,21.50107097860568,,0.007077712251064641,0.8896893084543943,0.6525552868843079,blur removes high-frequency ridge detail
Sequential current pipeline,471__M_Left_little_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,21.50107097860568,15.594469324981324,-5.906601653624355,0.027577384065405684,0.7614700657895869,0.9071993827819824,low contrast can bury weak ridges
Sequential current pipeline,471__M_Left_little_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,15.594469324981324,15.238109708762446,-0.356359616218878,0.02993567320154744,0.4666499798215418,0.49697646498680115,noise can obscure ridge/valley boundaries
