Ablation type,Image,Severity,Stage,Operation,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,SSIM after,Ridge coherence after,Irreversible risk
Sequential current pipeline,184__M_Right_index_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,17.876648217947867,13.040222655411728,-4.836425562536139,0.049656686265725725,0.5356185461630942,0.8195244073867798,low contrast can bury weak ridges
Sequential current pipeline,184__M_Right_index_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,13.040222655411728,12.734613871593403,-0.30560878381832524,0.053276859032705,0.4003477392842474,0.4453558921813965,noise can obscure ridge/valley boundaries
Sequential current pipeline,184__M_Right_index_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,12.734613871593403,12.664597604157336,-0.07001626743606693,0.05414274115517198,0.3934924106210171,0.4285530149936676,local clipping to 0/1 at impulse pixels
Sequential current pipeline,184__M_Right_index_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(149,126); radii=(6,19); rotation=0.0389; patch_blur_sigma=4.5000",12.664597604157336,12.648002509662726,-0.016595094494610052,0.054350025105621494,0.3909409718803697,0.42632046341896057,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,184__M_Right_index_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.000214,12.648002509662726,12.648002509662726,0.0,0.054350025105621494,0.3909409718803697,0.42632046341896057,saturation is irreversible where clipping occurs
Independent component,184__M_Right_index_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.383549382792694,,0.0028949766268703994,0.8556538701777011,0.6675149202346802,recoverable only statistically
Independent component,184__M_Right_index_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,30.34819892981542,,0.0009229541076983304,0.9850498336527794,0.7355865240097046,pixel clipping at impulses
Independent component,184__M_Right_index_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,17.876648217947867,,0.01630553970127403,0.7544459449369907,0.7896723747253418,high-frequency detail loss
Independent component,184__M_Right_index_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,15.201871340838371,,0.030186507272207817,0.8293104458354413,0.7928149104118347,low contrast
Independent component,184__M_Right_index_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,33.29406016845248,,0.00046837529879424633,0.9953453238148717,0.747314453125,localized overwritten ridge detail
