Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Hybrid ID,Stage order,Stage,Stage family,Output domain,Stage note,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs previous stage,Delta Local contrast vs previous stage,Delta Foreground/background separation proxy vs previous stage,Delta Ridge coverage in foreground vs previous stage,Delta Fragmentation per 1000 ridge pixels vs previous stage,Delta Small connected components <20px vs previous stage,Delta Ridge continuity proxy vs previous stage
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,0,Original Altered,input,grayscale,Original Altered image after P0 neutral handling,0.0,0.7578345537185669,0.21485373377799988,0.21485373377799988,1.0,0.42950439453125,141.0,78.0,28148.0,44.0,0.0,0.7058761119842529,1.5631661219269575,5782.0,141.0,78.0,41.00709219858156,,,,,,,
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,1,M1 - CLAHE,M1,grayscale,selected from single-technique M1 evidence,0.007217500009573996,0.781429648399353,0.24591821432113647,0.24591821432113647,1.0,0.4262542724609375,164.0,91.0,27935.0,45.0,1.0,0.7182387709617615,1.6108824055843924,6049.0,164.0,91.0,36.88414634146341,0.023595094680786133,0.031064480543136597,0.031064480543136597,-0.0032501220703125,0.047716283657434966,1.0,-4.122945857118147
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,2,M2 - Ordinary Gabor,M2,grayscale,selected from single-technique M2 evidence,0.9969334999914281,0.7898809909820557,0.1770407259464264,0.1770407259464264,1.0,0.372283935546875,174.0,66.0,24398.0,59.0,1.0,0.5761537551879883,2.4182310025411917,5679.0,174.0,66.0,32.63793103448276,0.008451342582702637,-0.06887748837471008,-0.06887748837471008,-0.0539703369140625,0.8073485969567993,0.0,-4.246215306980652
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,3,M3 - Closing,M3,binary ridge map,selected binary ridge restoration branch,,0.7898809909820557,0.1770407259464264,0.1770407259464264,1.0,0.3803863525390625,150.0,89.0,24929.0,39.0,1.0,0.6236511468887329,1.5644430181716074,5695.0,150.0,89.0,37.96666666666667,0.0,0.0,0.0,0.0081024169921875,-0.8537879843695844,0.0,5.328735632183907
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,4,M4 - Medial Axis,M4,skeleton,downstream thinning/feature extraction branch,,0.7898809909820557,0.1770407259464264,0.1770407259464264,1.0,0.0916748046875,298.0,256.0,6008.0,39.0,9.0,0.5838881731033325,6.491344873501998,6008.0,298.0,256.0,20.161073825503355,0.0,0.0,0.0,-0.2887115478515625,4.9269018553303905,8.0,-17.805592841163314
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,0,Original Altered,input,grayscale,Original Altered image after P0 neutral handling,0.0,0.6662470698356628,0.20458516478538513,0.20458516478538513,1.0,0.3150482177734375,338.0,35.0,20647.0,148.0,11.0,0.3815082013607025,7.16811159006151,4164.0,338.0,35.0,12.319526627218934,,,,,,,
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,1,M1 - CLAHE,M1,grayscale,selected from single-technique M1 evidence,0.0054644999909214675,0.7059469223022461,0.24774275720119476,0.24774275720119476,1.0,0.421630859375,313.0,53.0,27632.0,124.0,1.0,0.4149898588657379,4.487550665894615,5191.0,313.0,53.0,16.584664536741215,0.03969985246658325,0.04315759241580963,0.04315759241580963,0.1065826416015625,-2.6805609241668957,-10.0,4.265137909522281
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,2,M2 - Ordinary Gabor,M2,grayscale,selected from single-technique M2 evidence,1.0472041000030003,0.7162551879882812,0.17910686135292053,0.17910686135292053,1.0,0.3766937255859375,336.0,45.0,24687.0,141.0,2.0,0.3475513458251953,5.711508081176327,4946.0,336.0,45.0,14.720238095238095,0.010308265686035156,-0.06863589584827423,-0.06863589584827423,-0.0449371337890625,1.2239574152817125,1.0,-1.8644264415031202
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,3,M3 - Closing,M3,binary ridge map,selected binary ridge restoration branch,,0.7162551879882812,0.17910686135292053,0.17910686135292053,1.0,0.384002685546875,265.0,58.0,25166.0,101.0,1.0,0.40455377101898193,4.0133513470555515,4999.0,265.0,58.0,18.864150943396226,0.0,0.0,0.0,0.0073089599609375,-1.6981567341207757,-1.0,4.143912848158131
Easy,3,332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Easy\332__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Real\332__M_Left_thumb_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",DIRECT24-H1,4,M4 - Medial Axis,M4,skeleton,downstream thinning/feature extraction branch,,0.7162551879882812,0.17910686135292053,0.17910686135292053,1.0,0.0837249755859375,437.0,241.0,5487.0,101.0,45.0,0.3619464039802551,18.407144158921085,5487.0,437.0,241.0,12.556064073226544,0.0,0.0,0.0,-0.3002777099609375,14.393792811865534,44.0,-6.3080868701696815
