Image,Quality band,Severity,Pipeline ID,Pipeline,Selected common preprocessing,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs degraded (dB),Delta SSIM vs degraded,Delta coherence vs degraded
158__M_Right_middle_finger.BMP,Higher quality,0.35,P2,P0 + mild bilateral filtering,False,0.014165243831265037,18.487759454173517,0.7254826685799509,0.6189960241317749,1.0999501682817936e-06,-0.20974778058738508,0.008377616745177674,0.007279813289642334
158__M_Right_middle_finger.BMP,Higher quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.013891491900326259,18.57251109965369,0.7413416138896384,0.6528085470199585,3.00002284348011e-07,-0.12499613510721375,0.02423656205486513,0.04109233617782593
148__M_Right_ring_finger.BMP,Higher quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.028741822356150123,15.414856991757253,0.5234865874058405,0.49878770112991333,5.00003807246685e-07,0.0,0.0,0.0
148__M_Right_ring_finger.BMP,Higher quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.029159508763415238,15.352197966481334,0.5658227324245889,0.6189250946044922,3.00002284348011e-07,-0.06265902527591827,0.04233614501874838,0.12013739347457886
148__M_Right_ring_finger.BMP,Higher quality,0.55,P2,P0 + mild bilateral filtering,False,0.030104739290054038,15.213651294726505,0.5181777206919947,0.5000098943710327,2.00001522898674e-07,-0.20120569703074764,-0.0053088667138457835,0.0012221932411193848
148__M_Right_ring_finger.BMP,Higher quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.028257260595178097,15.48869943197447,0.5619619663396105,0.5606522560119629,3.00002284348011e-07,0.0738424402172182,0.038475378933769955,0.06186455488204956
112__M_Left_middle_finger.BMP,Medium quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.03650229166639555,14.376798690551027,0.2948518343508618,0.2769134044647217,3.00002284348011e-07,0.0,0.0,0.0
112__M_Left_middle_finger.BMP,Medium quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.03410383472586888,14.671967850353633,0.3988258327757679,0.4386003911495209,3.00002284348011e-07,0.2951691598026063,0.10397399842490607,0.1616869866847992
112__M_Left_middle_finger.BMP,Medium quality,0.75,P2,P0 + mild bilateral filtering,False,0.036472376380987465,14.380359390298679,0.3009059123261272,0.28057020902633667,2.00001522898674e-07,0.003560699747652052,0.0060540779752653595,0.0036568045616149902
112__M_Left_middle_finger.BMP,Medium quality,0.75,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.034272605780649175,14.650528744690341,0.3659683919819492,0.3428594470024109,2.00001522898674e-07,0.27373005413931395,0.07111655763108737,0.06594604253768921
412__M_Left_middle_finger.BMP,Medium quality,0.35,P0,"grayscale + resize + float [0,1] only",True,0.009071834659731591,20.423048736871216,0.7047279850341517,0.544333815574646,5.00003807246685e-07,0.0,0.0,0.0
412__M_Left_middle_finger.BMP,Medium quality,0.35,P1,P0 + mild 3x3 median filtering,False,0.009082927048849703,20.417741739112824,0.736129466569867,0.6599098443984985,6.999471224844456e-07,-0.005306997758392384,0.031401481535715314,0.11557602882385254
412__M_Left_middle_finger.BMP,Medium quality,0.35,P2,P0 + mild bilateral filtering,False,0.009491586669055467,20.226611823022402,0.6953797395655206,0.5486099720001221,2.00001522898674e-07,-0.1964369138488138,-0.009348245468631111,0.004276156425476074
412__M_Left_middle_finger.BMP,Medium quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.008712381879445811,20.598630969229305,0.746944791964151,0.6033939123153687,1.00000761449337e-07,0.17558223235808867,0.042216806929999295,0.059060096740722656
480__M_Right_thumb_finger.BMP,Medium quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.028699726523408173,15.42122241591465,0.5122240778470925,0.4813656508922577,5.00003807246685e-07,0.0,0.0,0.0
480__M_Right_thumb_finger.BMP,Medium quality,0.55,P1,P0 + mild 3x3 median filtering,False,0.029250828167445786,15.338618333951285,0.5170714928689432,0.5990376472473145,4.00003045797348e-07,-0.08260408196336577,0.0048474150218507095,0.11767199635505676
480__M_Right_thumb_finger.BMP,Medium quality,0.55,P2,P0 + mild bilateral filtering,False,0.02979680667218594,15.258302768284448,0.49246357233965093,0.4917033314704895,9.00006853044033e-07,-0.1629196476302024,-0.019760505507441517,0.010337680578231812
480__M_Right_thumb_finger.BMP,Medium quality,0.55,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.02827723789593413,15.485630144345023,0.5300769102668152,0.5435705184936523,2.00001522898674e-07,0.06440772843037301,0.017852832419722797,0.06220486760139465
514__F_Left_middle_finger.BMP,Medium quality,0.75,P0,"grayscale + resize + float [0,1] only",True,0.044556419395196015,13.510897168331795,0.3285024152864841,0.3337242603302002,5.00003807246685e-07,0.0,0.0,0.0
514__F_Left_middle_finger.BMP,Medium quality,0.75,P1,P0 + mild 3x3 median filtering,False,0.04266480516623698,13.699302332827514,0.4135354795054701,0.5183311700820923,3.00002284348011e-07,0.18840516449571965,0.08503306421898599,0.1846069097518921
514__F_Left_middle_finger.BMP,Medium quality,0.75,P2,P0 + mild bilateral filtering,False,0.04506066276654725,13.462024248239622,0.3232655101607582,0.3328425884246826,3.00002284348011e-07,-0.04887292009217248,-0.005236905125725888,-0.0008816719055175781
514__F_Left_middle_finger.BMP,Medium quality,0.75,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.042529008994092475,13.713147370464178,0.3900609262207004,0.4186738133430481,4.00003045797348e-07,0.2022502021323831,0.06155851093421627,0.0849495530128479
457__M_Right_index_finger.BMP,Medium quality,0.35,P0,"grayscale + resize + float [0,1] only",True,0.013251318050460982,18.777409222122316,0.6898256189738503,0.6012032628059387,5.00003807246685e-07,0.0,0.0,0.0
457__M_Right_index_finger.BMP,Medium quality,0.35,P1,P0 + mild 3x3 median filtering,False,0.014134381997569582,18.49723175565888,0.7339739664324559,0.6884620785713196,3.00002284348011e-07,-0.2801774664634351,0.04414834745860563,0.08725881576538086
457__M_Right_index_finger.BMP,Medium quality,0.35,P2,P0 + mild bilateral filtering,False,0.013764056284259498,18.61253560121629,0.7139557950180899,0.6081911325454712,1.300009898841381e-06,-0.1648736209060253,0.024130176044239615,0.006987869739532471
457__M_Right_index_finger.BMP,Medium quality,0.35,P3,P0 + mild Gaussian filtering sigma=0.55,False,0.013550135097940032,18.680563747528684,0.729094014353021,0.6456385850906372,9.00006853044033e-07,-0.09684547459363202,0.039268395379170706,0.044435322284698486
195__M_Right_index_finger.BMP,Medium quality,0.55,P0,"grayscale + resize + float [0,1] only",True,0.02774234539963244,15.568568254884044,0.5394321414318124,0.5299065709114075,5.00003807246685e-07,0.0,0.0,0.0
