Combination ID,M1 Technique ID,M1 Technique,M2 Technique ID,M2 Technique,Uses conservative fusion,Images,MSE_mean,MSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,Coherence_mean,Coherence_std,Delta_PSNR_vs_degraded_mean,PSNR_delta_to_28_17_mean,Runtime_mean,M3_fragmentation_mean,M3_continuity_mean
R1->G7->fusion,R1,Wiener deconvolution,G7,Coherence-guided directional diffusion,True,24,0.027695969748067293,0.013463964310917481,16.149275869600462,2.384933875056088,0.5426969809877601,0.14977303566410205,0.501178873082002,0.11335307924142002,0.25226154090979613,-12.020724130399538,0.3318865291682111,6.832577479594558,24.62356304783295
R1->G2->fusion,R1,Wiener deconvolution,G2,Literature-inspired Modified Gabor,True,24,0.027667691947713416,0.0134082185675016,16.14922256140546,2.374530229764164,0.5437281356418852,0.1496926024253956,0.4991973464687665,0.11312139853599003,0.2522082327147914,-12.020777438594543,2.1048854041752443,6.852695588936012,24.250469815501216
R2->G7->fusion,R2,Richardson-Lucy deconvolution,G7,Coherence-guided directional diffusion,True,24,0.02831271039090727,0.01381158610967196,16.056897241175566,2.3910210642270506,0.5287022200745871,0.15337419433508925,0.48823870966831845,0.11507032453337195,0.15988291248489786,-12.113102758824438,0.34200587500041973,6.784980994890783,24.436104157284074
R2->G2->fusion,R2,Richardson-Lucy deconvolution,G2,Literature-inspired Modified Gabor,True,24,0.028290191295217575,0.013761421682390014,16.05614306672334,2.3812060407201607,0.5296321432453555,0.1533480520286398,0.48624379063646,0.11479825631589026,0.1591287380326729,-12.113856933276663,2.300715366664614,6.79047891869964,24.405543640147258
R1->G7,R1,Wiener deconvolution,G7,Coherence-guided directional diffusion,False,24,0.02828540540049966,0.013092332305179144,15.998714667055454,2.2552848270677512,0.5374487282741965,0.14314826816953127,0.5254895985126495,0.11172894841121728,0.10170033836478683,-12.171285332944548,0.35024860417130793,7.0128529508248745,24.147375288777152
R1->G1->fusion,R1,Wiener deconvolution,G1,Ordinary Gabor filter,True,24,0.028550030883362294,0.013247070495945232,15.962015247284066,2.2615379555280635,0.5362265830566845,0.14724658631670484,0.49836819991469383,0.11273539332011115,0.06500091859339974,-12.207984752715936,1.0275263708317652,7.152623133534733,24.16469214895345
R1->G2,R1,Wiener deconvolution,G2,Literature-inspired Modified Gabor,False,24,0.028263000030921494,0.012427770323078636,15.944810599770944,2.117357814968107,0.5438456528371388,0.14220765935879046,0.5035703877607981,0.11080364540693867,0.047796271080277584,-12.225189400229057,2.116118991667463,7.264755521766169,22.24359483175694
R2->G7,R2,Richardson-Lucy deconvolution,G7,Coherence-guided directional diffusion,False,24,0.02881235759645645,0.013421391879207717,15.925030661883019,2.269350476040049,0.52446800867096,0.1468504016151568,0.5133697539567947,0.11399359812808775,0.028016333192351972,-12.244969338116983,0.35889057499540894,6.862029802111717,23.99126412923802
R2->G1->fusion,R2,Richardson-Lucy deconvolution,G1,Ordinary Gabor filter,True,24,0.02913080947474979,0.013580238138829564,15.878942446383157,2.270660696888231,0.5224503731563506,0.15073910535533366,0.4853372412423293,0.11436408042218439,-0.018071882307511222,-12.291057553616845,1.0181550208241485,7.148049379908676,23.966568431516833
R2->G2,R2,Richardson-Lucy deconvolution,G2,Literature-inspired Modified Gabor,False,24,0.028807070639864155,0.012805644026226115,15.871962850467229,2.140201823778857,0.5302939934319265,0.1462931124707939,0.4916250879565875,0.11268000068801327,-0.025051478223438412,-12.298037149532773,2.581904183328637,7.312434534608815,22.061590330211576
R1->G1,R1,Wiener deconvolution,G1,Ordinary Gabor filter,False,24,0.043658850203109306,0.012389053896934017,13.791324821163967,1.3707908600268037,0.4692894403374221,0.11801398995388078,0.5239072106778622,0.10635216342953951,-2.105689507526702,-14.378675178836035,1.0390622458289727,12.047822851936386,15.753707793986878
R2->G1,R2,Richardson-Lucy deconvolution,G1,Ordinary Gabor filter,False,24,0.043890315988108775,0.012479382596085714,13.769001504831884,1.3730382319357577,0.45853332457649115,0.12047773970617477,0.5093558765947819,0.10813941334966432,-2.1280128238587843,-14.40099849516812,1.0188356791695696,12.158626056512913,15.256822392577426
