Experiment,Split,Scenario ID,Scenario,Image,Relative path,Seed,Method ID,Member,Technique,Role,Is member technique,Is baseline,Fixed parameters,Degradation parameters,Runtime (s),Input MSE,Input PSNR (dB),Input SSIM,MSE,MSE_255_equivalent,PSNR (dB),SSIM,Delta PSNR vs degraded input (dB),PSNR delta to 28.17 dB,Target exceeded
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,M1_NLM_h0.06,Member 1,Non-Local Means Denoising,Main frozen member technique,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}","{""gaussian_noise_sigma"": 0.04825}",0.09785340004600585,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0011049383090626825,71.84861354680093,29.56661968840023,0.9486580246226788,2.322311231875645,1.3966196884002287,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,M2_MOD_GABOR,Member 2,Literature-Inspired Modified / Orientation-Adaptive Gabor,Main frozen member technique,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}","{""gaussian_noise_sigma"": 0.04825}",1.9225713999476284,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.003568324035692237,232.03027042088772,24.475357146873794,0.8571414401060864,-2.7689513096507916,-3.694642853126208,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,M3_TV_w0.02,Member 3,Total Variation Restoration,Main frozen member technique,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}","{""gaussian_noise_sigma"": 0.04825}",0.005055299960076809,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0012875887130889062,83.72545606860612,28.902228389642826,0.9416207042701245,1.6579199331182402,0.7322283896428239,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,M4_COH_DIFF,Member 4,Coherence-Guided Directional Diffusion,Main frozen member technique,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}","{""gaussian_noise_sigma"": 0.04825}",0.2986282000783831,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0017914260342961625,116.48747788010797,27.46801118594814,0.8883476017622948,0.22370272942355385,-0.7019888140518624,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,BL_CLAHE_c0.005,Baseline,CLAHE,Optional contrast baseline,False,True,"{""clip_limit"": 0.005, ""kernel_size"": 32}","{""gaussian_noise_sigma"": 0.04825}",0.006524600088596344,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0040422420082627695,262.84678658728654,23.933776889140375,0.8446415255127847,-3.31053156738421,-4.236223110859626,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,BL_ORD_GABOR,Baseline,Ordinary Gabor,M2 ordinary Gabor comparator,False,True,"{""blend"": 0.3, ""frequency"": 0.115, ""orientations"": 8}","{""gaussian_noise_sigma"": 0.04825}",0.8907453999854624,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.020262432797224374,1317.5646926395148,16.933084125304994,0.7597976817129933,-10.311224331219591,-11.236915874695008,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,BL_WIENER,Baseline,Wiener Deconvolution,M3 restoration comparator,False,True,"{""balance"": 0.06, ""blend"": 0.35, ""psf_sigma"": 0.98}","{""gaussian_noise_sigma"": 0.04825}",0.001974900020286441,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0014605292057262502,94.97091160234942,28.354897541584684,0.9041238874599338,1.1105890850600986,0.1848975415846823,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,12__M_Left_middle_finger.BMP,data\SOCOFing\Real\12__M_Left_middle_finger.BMP,20260903,BL_CONTRAST_1_99,Baseline,Contrast Stretching,Global contrast baseline,False,True,"{""high_percentile"": 99.0, ""low_percentile"": 1.0}","{""gaussian_noise_sigma"": 0.04825}",0.0011656999122351408,0.0018861192794631205,27.244308456524585,0.8752719994213581,0.0018861192794631205,122.6449061470894,27.244308456524585,0.8752719994213581,0.0,-0.9256915434754163,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,B0,Baseline,Degraded input / P0,Controlled degraded input or direct Altered P0 control,False,True,"{""operation"": ""P0 only; clip/float range only""}","{""gaussian_noise_sigma"": 0.04825}",0.0002391999587416649,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.0018557971559027286,120.67321006257492,27.314694951895852,0.8329434325064421,0.0,-0.8553050481041495,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,M1_NLM_h0.06,Member 1,Non-Local Means Denoising,Main frozen member technique,True,False,"{""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}","{""gaussian_noise_sigma"": 0.04825}",0.09060660004615784,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.001201447204613965,78.12410448002306,29.20295308712431,0.9504642894906997,1.8882581352284582,1.0329530871243087,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,M2_MOD_GABOR,Member 2,Literature-Inspired Modified / Orientation-Adaptive Gabor,Main frozen member technique,True,False,"{""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}","{""gaussian_noise_sigma"": 0.04825}",1.8655214000027627,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.002745841276804413,178.54832902420694,25.613245707410254,0.8284443756299652,-1.7014492444855982,-2.5567542925897477,False
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,M3_TV_w0.02,Member 3,Total Variation Restoration,Main frozen member technique,True,False,"{""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}","{""gaussian_noise_sigma"": 0.04825}",0.004739800002425909,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.0012006194692185624,78.07028098593702,29.205946184134017,0.9429074383463859,1.8912512322381652,1.0359461841340156,True
member controlled comparison,dev,gaussian_noise_only_s055,Clean Real -> Gaussian noise severity 0.55 -> P0 -> fixed member technique,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904,M4_COH_DIFF,Member 4,Coherence-Guided Directional Diffusion,Main frozen member technique,True,False,"{""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}","{""gaussian_noise_sigma"": 0.04825}",0.29788559989538044,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.0015181397114287071,98.71703473565168,28.18688259329525,0.8535173744565845,0.8721876413993961,0.01688259329524655,True
