Category,Category order,Image,Path,Real pair candidate path,Real pair candidate exists,Pairing used for metrics,Selection rule,Experiment,Pipeline ID,Pipeline,Purpose,Final output domain,Has Closing stage,Is baseline,Is grayscale finalist candidate,Runtime (s),Ridge coherence,Local contrast,Foreground/background separation proxy,Foreground usable-area ratio,Ridge coverage in foreground,Detected ridge endings,Detected bifurcations,Ridge pixels,Connected components,Small connected components <20px,Largest component fraction,Fragmentation per 1000 ridge pixels,Skeleton pixels,Skeleton endpoints,Skeleton bifurcations,Ridge continuity proxy,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0,Delta Ridge coherence vs CLAHE,Delta Local contrast vs CLAHE,Delta Foreground/background separation proxy vs CLAHE,Delta Ridge coverage in foreground vs CLAHE,Delta Fragmentation per 1000 ridge pixels vs CLAHE,Delta Small connected components <20px vs CLAHE,Delta Ridge continuity proxy vs CLAHE
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,0.8713940000161529,0.6127731204032898,0.15381035208702087,0.15381035208702087,1.0,0.286163330078125,429.0,117.0,18754.0,156.0,6.0,0.34126052260398865,8.31822544523835,3853.0,429.0,117.0,8.981351981351981,0.09404975175857544,-0.0046271830797195435,-0.0046271830797195435,0.049591064453125,0.7717858167553766,-1.0,-0.6952156754136958,0.034148573875427246,-0.04905867576599121,-0.04905867576599121,-0.0535430908203125,1.7602593130908408,3.0,-0.6025406360976842
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,0.2815400999970734,0.586022138595581,0.19425231218338013,0.19425231218338013,1.0,0.33624267578125,436.0,153.0,22036.0,140.0,6.0,0.3533762991428375,6.353240152477763,4237.0,436.0,153.0,9.71788990825688,0.0672987699508667,0.03581477701663971,0.03581477701663971,0.09967041015625,-1.1931994760052094,-1.0,0.04132225149120394,0.007397592067718506,-0.008616715669631958,-0.008616715669631958,-0.0034637451171875,-0.20472597966974515,3.0,0.13399729080721556
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C3,P0 -> CLAHE -> Total Variation Restoration,test CLAHE followed by the best Direct24 supporting restoration candidate,grayscale,False,False,True,0.009938000002875924,0.6077860593795776,0.18451014161109924,0.18451014161109924,1.0,0.332763671875,415.0,135.0,21808.0,142.0,4.0,0.3580337464809418,6.511371973587674,3934.0,415.0,135.0,9.479518072289157,0.08906269073486328,0.026072606444358826,0.026072606444358826,0.09619140625,-1.0350676548952986,-3.0,-0.19704958447652032,0.029161512851715088,-0.018358886241912842,-0.018358886241912842,-0.0069427490234375,-0.0465941585598344,1.0,-0.1043745451605087
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C4,P0 -> Total Variation Restoration -> CLAHE,explicit order test for restoration before local contrast enhancement,grayscale,False,False,True,0.011657600058242679,0.621907651424408,0.19276465475559235,0.19276465475559235,1.0,0.3349761962890625,400.0,138.0,21953.0,131.0,3.0,0.3603607714176178,5.9672937639502575,3855.0,400.0,138.0,9.6375,0.1031842827796936,0.03432711958885193,0.03432711958885193,0.0984039306640625,-1.5791458645327152,-4.0,-0.03906765676567758,0.04328310489654541,-0.010104373097419739,-0.010104373097419739,-0.004730224609375,-0.590672368197251,0.0,0.05360738255033404
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C5,P0 -> CLAHE -> Coherence-Guided Directional Diffusion -> Closing,test whether morphology can repair ridge gaps after directional enhancement,morphology-assisted structural output,True,False,False,0.33422370004700497,0.586022138595581,0.19425231218338013,0.19425231218338013,1.0,0.352264404296875,303.0,224.0,23086.0,57.0,4.0,0.3383868932723999,2.4690288486528633,4398.0,303.0,224.0,14.514851485148515,0.0672987699508667,0.03581477701663971,0.03581477701663971,0.115692138671875,-5.077410779830109,-3.0,4.838283828382838,0.007397592067718506,-0.008616715669631958,-0.008616715669631958,0.0125579833984375,-4.088937283494645,1.0,4.93095886769885
Easy,1,179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\179__M_Left_little_finger_Obl.BMP,data\SOCOFing\Real\179__M_Left_little_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C6,P0 -> CLAHE -> Total Variation Restoration -> Closing,test whether morphology improves continuity after CLAHE plus TV restoration,morphology-assisted structural output,True,False,False,0.06225090002408251,0.6077860593795776,0.18451014161109924,0.18451014161109924,1.0,0.3451385498046875,306.0,202.0,22619.0,65.0,3.0,0.345638632774353,2.873690260400548,4122.0,306.0,202.0,13.470588235294118,0.08906269073486328,0.026072606444358826,0.026072606444358826,0.1085662841796875,-4.672749368082425,-4.0,3.794020578528441,0.029161512851715088,-0.018358886241912842,-0.018358886241912842,0.00543212890625,-3.6842758717469604,0.0,3.8866956178444525
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B0,P0 only,neutral common-preprocessing control,grayscale,False,True,False,0.0001480000209994614,0.7578345537185669,0.21485373377799988,0.21485373377799988,1.0,0.42950439453125,141.0,78.0,28148.0,44.0,0.0,0.7058761119842529,1.5631661219269575,5782.0,141.0,78.0,41.00709219858156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023595094680786133,-0.031064480543136597,-0.031064480543136597,0.0032501220703125,-0.047716283657434966,-1.0,4.122945857118147
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,B1,P0 -> CLAHE,main M1 enhancement baseline from Direct24,grayscale,False,True,True,0.004840700014028698,0.781429648399353,0.24591821432113647,0.24591821432113647,1.0,0.4262542724609375,164.0,91.0,27935.0,45.0,1.0,0.7182387709617615,1.6108824055843924,6049.0,164.0,91.0,36.88414634146341,0.023595094680786133,0.031064480543136597,0.031064480543136597,-0.0032501220703125,0.047716283657434966,1.0,-4.122945857118147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C1,P0 -> CLAHE -> Ordinary Gabor,measure exact trade-off of the Direct24 M2 coherence winner,grayscale,False,False,True,0.8732127000112087,0.7898809909820557,0.1770407259464264,0.1770407259464264,1.0,0.372283935546875,174.0,66.0,24398.0,59.0,1.0,0.5761537551879883,2.4182310025411917,5679.0,174.0,66.0,32.63793103448276,0.03204643726348877,-0.037813007831573486,-0.037813007831573486,-0.057220458984375,0.8550648806142342,1.0,-8.369161164098799,0.008451342582702637,-0.06887748837471008,-0.06887748837471008,-0.0539703369140625,0.8073485969567993,0.0,-4.246215306980652
Easy,2,255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Easy\255__M_Right_middle_finger_Obl.BMP,data\SOCOFing\Real\255__M_Right_middle_finger.BMP,True,False,"sorted category file list, 8 evenly spaced indexes",Direct Altered,C2,P0 -> CLAHE -> Coherence-Guided Directional Diffusion,test whether directional enhancement is more compatible with CLAHE than Ordinary Gabor,grayscale,False,False,True,0.28318049997324124,0.791003406047821,0.22320953011512756,0.22320953011512756,1.0,0.4201507568359375,162.0,89.0,27535.0,43.0,0.0,0.722026526927948,1.5616488106046849,6000.0,162.0,89.0,37.03703703703704,0.03316885232925415,0.008355796337127686,0.008355796337127686,-0.0093536376953125,-0.0015173113222726187,0.0,-3.970055161544522,0.009573757648468018,-0.02270868420600891,-0.02270868420600891,-0.006103515625,-0.049233594979707584,-1.0,0.15289069557362467
