Experiment,Protocol,Category,Image,Relative path,Seed,Candidate ID,Pipeline,Fixed parameters,Degradation parameters,Runtime (s),Input MSE,Input PSNR (dB),Input SSIM,MSE,MSE_255_equivalent,PSNR (dB),SSIM,Delta PSNR vs degraded input (dB),PSNR delta to 28.17 dB,Target exceeded,Delta PSNR vs NLM (dB),Delta MSE vs NLM,Delta SSIM vs NLM,Altered split,Member,Is member technique,Is baseline,Ridge coherence,Local contrast,Foreground/background separation proxy,Ridge coverage in foreground,Fragmentation per 1000 ridge pixels,Small connected components <20px,Ridge continuity proxy,Delta Ridge coherence vs P0,Delta Local contrast vs P0,Delta Foreground/background separation proxy vs P0,Delta Ridge coverage in foreground vs P0,Delta Fragmentation per 1000 ridge pixels vs P0,Delta Small connected components <20px vs P0,Delta Ridge continuity proxy vs P0,Delta Ridge coherence vs NLM,Delta Local contrast vs NLM,Delta Foreground/background separation proxy vs NLM,Delta Ridge coverage in foreground vs NLM,Delta Fragmentation per 1000 ridge pixels vs NLM,Delta Small connected components <20px vs NLM,Delta Ridge continuity proxy vs NLM
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.09521659999154508,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.001201447204613965,78.12410448002306,29.20295308712431,0.9504642894906997,1.8882581352284582,1.0329530871243087,True,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.10023480001837015,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.001151911547324313,74.90304836476346,29.385808681209703,0.9459552329577208,2.0711137293138506,1.215808681209701,True,0.18285559408539243,-4.953565728965182e-05,-0.00450905653297895,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",2.2714605999644846,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.002508870044588721,163.13927464938158,26.005218338546637,0.9289184866461139,-1.309476613349215,-2.1647816614533646,False,-3.1977347485776733,0.0013074228399747561,-0.02154580284458585,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.49168819992337376,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.0012469343864880025,81.08190848138237,29.041563984347714,0.9466662469103336,1.7268690324518623,0.8715639843477128,True,-0.1613891027765959,4.548718187403762e-05,-0.00379804258036609,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,379__F_Left_ring_finger.BMP,data\SOCOFing\Real\379__F_Left_ring_finger.BMP,20260904.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.48208680015522987,0.0018557971559027286,27.314694951895852,0.8329434325064421,0.001756296542000374,114.20318264357431,27.55402153759463,0.9329082058640122,0.23932658569877674,-0.6159784624053728,False,-1.6489315495296815,0.000554849337386409,-0.01755608362668748,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905.0,C0_NLM,NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.09989059995859861,0.0018068565174811926,27.430763334049047,0.8332492087816,0.0010697456180278188,69.56020881225892,29.707194838299948,0.9446846299544572,2.276431504250901,1.5371948382999463,True,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905.0,C1_TV_NLM,TV -> NLM,"{""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.12607569992542267,0.0018068565174811926,27.430763334049047,0.8332492087816,0.001328571852765662,86.39038472608718,28.766149527962035,0.9282780395185948,1.3353861939129885,0.5961495279620337,True,-0.9410453103379126,0.0002588262347378433,-0.016406590435862456,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905.0,C2_NLM_MOD_GABOR,NLM -> Modified / Orientation-Adaptive Gabor,"{""Modified Gabor"": {""bandwidth"": 1.8, ""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8, ""use_local_frequency"": true}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",2.129265599884093,0.0018068565174811926,27.430763334049047,0.8332492087816,0.003292925279279215,214.12246628513094,24.824181238780994,0.9061385151945576,-2.6065820952680525,-3.3458187612190073,False,-4.883013599518954,0.002223179661251396,-0.03854611475989966,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905.0,C3_NLM_COH_DIFF,NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}}","{""gaussian_noise_sigma"": 0.04825}",0.41281409992370754,0.0018068565174811926,27.430763334049047,0.8332492087816,0.0014241824849202213,92.60746608193739,28.464343596343795,0.9339912034713029,1.0335802622947483,0.2943435963437935,True,-1.2428512419561528,0.00035443686689240255,-0.0106934264831543,,,,,,,,,,,,,,,,,,,,,,,,,
controlled compatibility,gaussian_noise_only_s055,Controlled,216__M_Right_ring_finger.BMP,data\SOCOFing\Real\216__M_Right_ring_finger.BMP,20260905.0,C4_TV_NLM_COH_DIFF,TV -> NLM -> Coherence-Guided Directional Diffusion,"{""Directional Diffusion"": {""iterations"": 4, ""orientation_bins"": 8, ""oriented_kernel_sigma_x"": 1.35, ""oriented_kernel_sigma_y"": 0.5, ""oriented_kernel_size"": 9, ""step"": 0.16}, ""NLM"": {""backend"": ""cv2"", ""cv2_searchWindowSize"": 21, ""cv2_templateWindowSize"": 7, ""h"": 0.06, ""patch_distance"": 6, ""patch_size"": 5}, ""TV"": {""backend"": ""skimage.restoration.denoise_tv_chambolle"", ""weight"": 0.02}}","{""gaussian_noise_sigma"": 0.04825}",0.41888750006910414,0.0018068565174811926,27.430763334049047,0.8332492087816,0.002231297774184228,145.09013776632943,26.514424677908046,0.9088890426558256,-0.9163386561410007,-1.6555753220919556,False,-3.192770160391902,0.0011615521561564094,-0.03579558729863164,,,,,,,,,,,,,,,,,,,,,,,,,
