Method,MSE_mean,MSE_std,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,Coherence_mean,Coherence_std,Match_mean,Match_std,Runtime_mean,Runtime_std,Balanced enhancement rank
Global HE,0.02676400936812286,0.009659837599066756,16.01364931055274,1.6784397681216643,0.6074698435200788,0.10216136814404678,0.6749613881111145,0.08170163883602903,15.069444444444445,8.696147832089352,0.006082545833351105,0.0003122893808791819,1.6
Hybrid,0.04470841893722701,0.0089128911451623,13.57955169107226,0.8719852735438673,0.5888064592944843,0.08060391999849234,0.693789171675841,0.06491380880699082,4.458333333333333,2.449119924747888,0.4777982125001851,0.013159219991039433,2.6
M1 Wiener + CLAHE + Unsharp,0.046671756335490706,0.010044248226137045,13.408011529479568,0.9531808768947113,0.6019511231250151,0.08746987291041732,0.6956773276130358,0.06497751450775115,4.25,2.353433097199742,0.009842104166637,0.0005101247525820596,2.6
M1 Wiener + CLAHE,0.04886678481016565,0.01019359003596185,13.203706174382868,0.9336901115529487,0.597518496654065,0.08355935836093242,0.7080298364162445,0.06145996451236443,4.208333333333333,1.970341690370377,0.00888069166664233,0.0005189996655542827,3.2
M1 Median + CLAHE,0.06704470201550297,0.0171174975118727,11.872568135038838,1.1160445370588448,0.556721961295681,0.09974517730362474,0.6537403812011083,0.07867691791465095,4.166666666666667,2.2883869812261675,0.0087583458333332,0.000454881267929047,5.0
M1 CLAHE,0.08708608107452276,0.021936689538274348,10.738444554565307,1.1343537267856907,0.5027711998594877,0.10884353144013069,0.5845124597350756,0.10969929000644013,3.5972222222222228,2.3135374897732155,0.0059081791665676064,0.00030177166583341216,6.6
Gabor,0.0746650577666665,0.01243167569154469,11.324591498027013,0.7050795383395486,0.43338442924142595,0.08438775312239004,0.5983718894422054,0.10466364235549223,2.5,1.5634719199411433,0.4819440000001123,0.005011797917987269,6.8
M1 CLAHE + Unsharp,0.0933441389366323,0.02379843286079321,10.438726548894053,1.1381464277443083,0.46337775310369383,0.11624196418111916,0.5300934550662836,0.12516845831141432,2.5972222222222223,2.2543123819958866,0.0069755458334081295,0.00036589874694575186,7.6
Degraded input,0.03124027132651605,0.014715747703782762,15.589327888149823,2.2939785958044614,0.5195769705735203,0.14740490351508911,0.5953360398610433,0.12305148815285931,16.88888888888889,12.566986374538734,0.0,0.0,
